Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Bomb Ash,Gathering,5528,400,199,499,250,311.8614678899083,5351.5971755205055
Cobalt Ore,Gathering,5116,200,200,200,292,289.10588769143504,13524.715031174555
Coke,Gathering,5530,213,168,213,120,215.87583260838517,23633.13165662892
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,8848.47774328828
Fire Cluster,Gathering,14,82,70,84,84,80.96474873509516,27716.01327398174
Fire Crystal,Gathering,8,98,98,98,98,100.67036113120751,208253.27869879882
Fire Shard,Gathering,2,90,78,69,78,80.8500136110859,118357.74422265225
Ice Crystal,Gathering,9,79,70,80,53,73.98913932608632,93406.06498407751
Ice Shard,Gathering,3,84,65,84,90,93.63956943901674,142906.04743250288
Iron Ore,Gathering,5111,179,19,180,300,144.30030672658535,4301.733338812963
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,6762.9614989683605
Silver Ore,Gathering,5113,330,12,600,600,303.3012719849246,3908.024152987245
Wind Shard,Gathering,4,75,70,75,80,75.15144785300903,60655.223673286164
Walnut Lumber,Crafting,5371,499,99,500,501,545.6193353474321,304.69909069229624
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,85.61009314160789
Iron Nails,Crafting,7018,,190,443,70,69.8,30.684541260347604
Cobalt Ingot,Crafting,5059,999,800,1000,1299,1100.0972681800692,3987.4457677879077
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,104.94058303303265
Iron Ingot,Crafting,5057,150,60,1,998,428.19839857651243,344.8915443927891
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,44.18527673400278
Mythril Plate,Crafting,5079,1485,395,3495,1493,1977.6190476190477,6.4436689457881
Electrum Ingot,Crafting,5066,1199,785,1199,1199,943.0815939278938,323.409963223149
Horn Glue,Crafting,5505,1399,500,2000,2450,1455.9765166340508,156.79512174173374
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,285.05339340955743
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,499.53251606048883
Varnish,Crafting,7017,1000,1000,999,1050,1302.9290573372207,315.7356452436322
Steel Rivets,Crafting,5093,1200,249,900,600,784.8512,191.77282134758147
Steel Ingot,Crafting,5058,800,100,799,799,516.9366316502881,905.472196042189
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,32.52450041775408
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,357.15489265019244
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,174.89495881166357
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,308.0597779268256
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,7000,4152.5,1.8409897907952884
Darksteel Nugget,Crafting,5061,2888,1600,1800,3000,2161.253623188406,550.4544848642299
Cobalt Rivets,Crafting,5094,802,499,802,500,1306.28,76.70750007626707
Mythril Ingot,Crafting,5065,388,200,393,400,479.96056884292176,474.66473312640676
Rose Gold Nugget,Crafting,5068,500,500,1200,2002,1581.8808411214952,131.32246047010227
Linseed Oil,Crafting,5485,499,150,499,2000,592.5306718597858,315.11171361252156
Darksteel Ingot,Crafting,5060,6000,3995,5000,3000,3812.51197053407,333.2136447089858
Natron,Crafting,5522,500,100,649,1400,785.8114406779661,144.82176203621194
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,18.102672338731086
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.8409447931830283
Garlond Steel,Crafting,12913,6582,4000,7990,7990,4452.1875,9.818346695170984
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2278.1639344262294,93.58087085657007
Mythrite Nugget,Crafting,12518,1450,975,1199,2000,1479.0796089385474,219.68436222346872
Oak Lumber,Crafting,5373,399,331,399,350,616.6248794599807,318.1733041803646
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,33.75021334311661
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,47.863813903201965
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,6.443188955942426
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,36.20449021671447
Void Glue,Crafting,5506,7399,3002,3102,10003,5064.125,24.545353800871595
Wolfram Ingot,Crafting,7607,5000,2500,5000,5000,4655.928,38.35201512864954
Wyvern Leather,Crafting,12563,3998,1390,4000,1500,1824.8456375838925,137.14644276756985
Boar Leather,Crafting,5282,299,149,298,900,842.9524647887324,174.27064034820506
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,25.465537594492062
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,289.0177416750139
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,20.249597793917054
Hippogryph Leather,Crafting,5288,900,175,1000,1000,668.2785714285715,42.953578975543515
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,42.64665533729331
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,231.33445394572504
Cotton Yarn,Crafting,5334,100,20,90,20,117.52646239554318,220.28873077547252
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,34.055690851437255
Mahogany Lumber,Crafting,5374,201,95,500,500,478.0646448523544,384.4294457306128
Rosewood Lumber,Crafting,5376,60,44,140,895,305.81159420289856,508.0714455146943
