Ingredient,Total Quantity,Location Info
Aldgoat Horn,36.0,"Eastern Thanalan ( 18.2 / 22.7 ), Dropped by Myotragus Billy"
Alumen,18.0,Eastern Thanalan ( 18.3 / 20.9 )
Animal Fat,54.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Beehive Chip,90.0,North Shroud ( 26.3 / 27.6 )
Black Alumen,12.0,South Shroud ( 28.7 / 22.8 )
Boar Hide,18.0,"East Shroud ( 14.5 / 22.7 ), Dropped by Wild Boar"
Bomb Ash,258.0,Southern Thanalan ( 22.2 / 29.9 )
Cobalt Ore,264.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,189.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,36.0,Central Thanalan ( 19.0 / 26.2 )
Cotton Boll,60.0,Central Shroud ( 22.5 / 24.3 )
Darksteel Ore,405.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,18.0,
Earth Crystal,36.0,
Earth Shard,72.0,
Effervescent Water,12.0,South Shroud ( 16.0 / 19.7 )
Electrum Ore,72.0,Upper La Noscea ( 30.4 / 25.4 )
Fire Cluster,21.0,
Fire Crystal,405.0,
Fire Shard,2424.0,
Flax,156.0,South Shroud ( 17.6 / 28.6 )
Hippogryph Skin,12.0,"Mor Dhona ( 26.8 / 8.3 ), Dropped by Hippogryph"
Ice Crystal,108.0,
Ice Shard,474.0,
Iron Ore,1116.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,1116.0,Western Thanalan ( 27.2 / 17.4 )
Lightning Cluster,6.0,
Lightning Crystal,36.0,
Lightning Shard,270.0,
Mahogany Log,54.0,Eastern La Noscea ( 19.4 / 25.6 )
Mythril Ore,288.0,Southern Thanalan ( 25.2 / 39.9 )
Potash,54.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Raw Amber,36.0,Eastern Thanalan ( 12.7 / 19.1 )
Rosewood Log,63.0,East Shroud ( 16.7 / 23.3 )
Saurian Skin,6.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Shroud Tea Leaves,6.0,Central Shroud ( ??? )
Silkworm Cocoon,24.0,"East Shroud ( 21.6 / 26.6 ), Timed at 1:00am ET"
Silver Ore,180.0,South Shroud ( 16.1 / 19.7 )
Spruce Log,54.0,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Terebinth,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Tin Ore,18.0,Central Thanalan ( 19.9 / 22.2 )
Water Shard,228.0,
Wind Cluster,6.0,
Wind Crystal,54.0,
Wind Shard,462.0,
Yew Log,54.0,East Shroud ( 15.2 / 27.4 )
