Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Animal Fat,Gathering,5531,149,149,147,147,216.65361445783134,85.52115544983391
Beehive Chip,Gathering,5516,20,1,40,50,3.1253918495297808,82.1722545403211
Black Alumen,Gathering,5525,280,45,288,56,203.09345794392524,303.1866114200162
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3309.0281888897607
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11410.529821810504
Cotton Boll,Gathering,5343,50,50,50,65,170.46782178217822,104.06672911710044
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4605.973159689916
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27518.318417690247
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61224.83729082827
Effervescent Water,Gathering,5491,100,100,100,1000,556.4042553191489,169.49332998349468
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25195.461533407048
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,133188.1995034509
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,83016.41289160319
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1065.6349462514816
Hippogryph Skin,Gathering,5316,1,1,195,65,139.20560747663552,82.68505675123478
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2706.7061522140666
Lightning Cluster,Gathering,18,113,110,114,110,107.74088526189374,62843.71203610472
Lightning Crystal,Gathering,12,70,70,71,71,79.225644848834,45607.073347351296
Lightning Shard,Gathering,6,53,50,60,53,54.67285308330791,16044.107478224623
Potash,Gathering,5501,290,290,266,299,261.18059424326833,554.833773782881
Rosewood Log,Gathering,5393,,225,299,238,353.42504295532643,1199.3037545436564
Saurian Skin,Gathering,7599,222,200,802,802,413.40677966101697,15.197329105083437
Shroud Tea Leaves,Gathering,7591,261,49,300,100,161.33333333333334,10.045670243426969
Silkworm Cocoon,Gathering,5350,1000,899,569,569,702.7117163412128,501.2520955445325
