Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Black Alumen,Gathering,5525,280,45,288,56,182.4890768146582,375.0692076377445
Bomb Ash,Gathering,5528,400,199,499,220,311.5091774303195,4665.755587029117
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,12028.06490028633
Coerthan Tea Leaves,Gathering,12882,485,250,799,424,1099.659574468085,285.72735368478726
Coke,Gathering,5530,213,150,213,223,216.0039217179409,20826.06803806807
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,584.1393729687418
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7621.812142070454
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,35047.675927095144
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,74670.21930955222
Effervescent Water,Gathering,5491,100,100,100,1000,456.0701923076923,274.88666830128005
Electrum Ore,Gathering,5115,293,200,293,195,264.7865938537317,2468.42404002963
Ferberite,Gathering,7588,1,1,430,44,60.208681135225376,158.32345375341228
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,29708.443773000286
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,188960.9788368194
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,109090.9948891814
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1507.0988311534206
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,174.44458786186883
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2186.102990229522
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,11044.14350459001
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,33335.08092420199
Ice Crystal,Gathering,9,80,70,80,75,74.33984940890312,88669.38476919319
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,129409.47060072779
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3705.311823564869
Lightning Cluster,Gathering,18,113,110,114,110,106.83080327329633,79551.03869749892
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5825.287945700979
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1900.0861809928736
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1681.2382094520683
Oak Log,Gathering,5390,240,174,200,50,239.3551401869159,226.2437713476625
Peacock Ore,Gathering,5119,386,180,386,425,384.2556860784804,1057.4758683101477
Petrified Log,Gathering,7596,992,875,1600,932,945.9377431906614,203.77708485438873
Potash,Gathering,5501,290,290,266,299,272.0418569254186,694.584917476269
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,290.46675610462034
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1225.825090079574
Red Moko Grass,Gathering,12220,20,13,18,19,36.9375,186.0670379708682
Rock Salt,Gathering,5518,99,1,99,5,88.20771513353115,356.2753149987418
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.5908720456398,324.29439284996363
Scheelite,Gathering,7597,1394,1200,1000,1000,1362.2037037037037,228.3534694642151
Silex,Gathering,5523,300,139,480,1401,367.77777777777777,161.7500105849838
Spruce Log,Gathering,5395,661,600,663,663,688.0222047244094,3356.569632048199
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,265.3534192326702
Uraeus Skin,Gathering,5314,5897,3000,8000,1500,3446.1739130434785,24.31519830095502
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1367.4625559101537
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,138048.90940955252
Water Shard,Gathering,7,80,68,70,69,74.60634579843978,43331.23648630133
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,60564.3763096982
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,136822.61440373777
Wind Shard,Gathering,4,80,73,75,75,75.17970480726628,57264.64254648915
Wyvern Skin,Gathering,12569,900,400,999,999,488.1240105540897,300.49916466224823
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,267.9907379211133
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,73.73693259725444
Iron Nails,Crafting,7018,,190,443,70,69.8,26.428948901089868
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1103.928508707742,3611.7662583213914
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,90.38645859133293
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,302.34466976315065
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,38.05728561559199
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,7.1357252886522655
Electrum Ingot,Crafting,5066,1199,785,1199,5250,947.163981042654,278.8210623271862
Horn Glue,Crafting,5505,1399,850,2000,4995,1478.6878504672898,141.39226387968955
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,245.51984822993447
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,430.25340590143713
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,348.853332315729
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,185.26185266033357
Steel Ingot,Crafting,5058,800,100,799,100,516.7953929539295,780.1594484895627
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,28.013793073757373
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,307.6224871262025
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,150.63954613238297
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,265.33641054628646
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,4568.222222222223,2.3785083556536186
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2146.4332810047094,505.03552258551133
Cobalt Rivets,Crafting,5094,2000,499,802,500,1306.28,66.06938637878156
