Ingredient,Total Quantity,Location Info
Black Alumen,24.0,South Shroud ( 28.7 / 22.8 )
Bomb Ash,72.0,Southern Thanalan ( 22.2 / 29.9 )
Cobalt Ore,123.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Earth Cluster,9.0,
Earth Crystal,24.0,
Electrum Ore,96.0,Upper La Noscea ( 30.4 / 25.4 )
Fire Cluster,9.0,
Fire Shard,624.0,
Flax,36.0,South Shroud ( 17.6 / 28.6 )
Gelato Flesh,27.0,"Coerthas Western Highlands ( 9.4 / 18.8 ),  Dropped by Gelato"
Ice Cluster,24.0,
Ice Shard,72.0,
Iron Ore,264.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,264.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Lightning Cluster,9.0,
Oak Log,72.0,South Shroud ( 16.6 / 30.2 )
Petrified Log,24.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Potash,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Pudding Flesh,18.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Raw Amber,36.0,Eastern Thanalan ( 12.7 / 19.1 )
Red Moko Grass,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Scarlet Sap,24.0,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Spruce Log,72.0,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Terebinth,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Uraeus Skin,24.0,"Nowhere ( 0.0 / 0.0 ), Found in The Wanderer's Palace"
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,27.0,
Water Shard,144.0,
Wind Cluster,57.0,
Wind Crystal,72.0,
Wind Shard,192.0,
