Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Black Alumen,Gathering,5525,280,45,288,56,203.09345794392524,310.1244723032565
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3384.7493862139454
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,8090.339263002631
Coerthan Tea Leaves,Gathering,12882,485,250,799,424,1295.6370757180157,201.82986996102437
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11671.589446651584
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,422.6287894053076
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4711.351810223956
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,28147.89964048362
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,62625.574817627436
Effervescent Water,Gathering,5491,100,100,100,1000,556.4042553191489,173.3710764982548
Electrum Ore,Gathering,5115,293,200,293,195,258.88813857897827,1794.8345090656826
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,137.27344720592245
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25771.78082447794
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,136234.7251725625
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,84915.31317156034
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1090.0099991119484
Gelato Flesh,Gathering,12635,2,2,1002,700,792.5775862068965,61.12684494244082
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1733.4160439903742
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8656.78515653221
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,27198.884419127364
Ice Crystal,Gathering,9,80,70,80,75,76.32259312907043,71485.34239600458
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,94439.635898716
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2768.586758872237
Lightning Cluster,Gathering,18,113,110,114,110,107.74088526189374,64280.44331558901
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4252.717682216966
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,995.9257162584412
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,953.5045790295176
Oak Log,Gathering,5390,240,174,200,50,199.79302325581395,113.29264080112742
Peacock Ore,Gathering,5119,386,180,386,425,375.6617008069522,848.9024880544364
Petrified Log,Gathering,7596,992,875,1600,932,927.0458553791888,149.38753985255232
Potash,Gathering,5501,290,290,266,299,261.18059424326833,567.5133053852174
Pudding Flesh,Gathering,5558,470,200,477,400,454.1089258698941,174.15295136645605
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,837.8292656478172
Red Moko Grass,Gathering,12220,20,13,18,19,36.39333333333333,158.08064694691123
Rock Salt,Gathering,5518,99,1,99,5,93.26455696202531,208.13904411555
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.9346557759627,225.7908293569558
Scheelite,Gathering,7597,1394,1200,1000,1000,1180.9539170506912,171.5163360981766
Silex,Gathering,5523,300,139,480,1401,468.6323907455013,102.48802447861833
Spruce Log,Gathering,5395,661,600,663,663,697.6260252715584,2376.979021056203
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,242.12357018739954
Uraeus Skin,Gathering,5314,5897,3000,8000,1500,3404.7884615384614,13.700106494608832
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,714.2482081853589
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,94962.65452747144
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28776.880618438416
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,54912.16897672867
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,99378.93467164511
Wind Shard,Gathering,4,80,73,75,75,78.59073248361983,36752.15035894982
Wyvern Skin,Gathering,12569,900,400,999,999,468.2928475033738,195.22344109155512
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,202.599859446781
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,44.78790560456778
