Ingredient,Total Quantity,Location Info
Bomb Ash,48.0,Southern Thanalan ( 22.2 / 29.9 )
Cobalt Ore,153.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Darksteel Ore,162.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,27.0,
Effervescent Water,30.0,South Shroud ( 16.0 / 19.7 )
Ferberite,18.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,54.0,
Fire Crystal,270.0,
Fire Shard,1008.0,
Ice Crystal,54.0,
Ice Shard,150.0,
Iron Ore,150.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,150.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Mythril Ore,288.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,72.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,90.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Rock Salt,30.0,Central Thanalan ( 14.5 / 22.7 )
Scheelite,18.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Silex,30.0,Southern Thanalan ( 22.4 / 29.7 )
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Shard,150.0,
