Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aqueous Whetstone,Gathering,5261,441,274,449,350,284.97930514630303,3840.5806069418295
Bomb Ash,Gathering,5528,400,199,499,220,311.5091774303195,4645.63687829568
Cedar Log,Gathering,5384,263,224,264,264,348.66426642664266,1169.5651389368595
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,11976.173127478309
Coke,Gathering,5530,213,150,213,223,216.0039217179409,20736.2672689593
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,581.6205975707026
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7588.947371088472
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,34896.55379215998
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,29580.606172968142
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,188147.81714329784
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,108621.55685667625
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1500.6135851160757
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,173.69392818382767
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2176.695782842514
Holy Water,Gathering,12604,2744,1200,1000,1000,2032.3765432098764,42.63377471451691
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,33191.6364842181
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,128852.91453861543
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3689.37565224079
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5800.246862030904
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1891.918331636385
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1674.0110636981885
Peacock Ore,Gathering,5119,386,180,386,425,384.2556860784804,1052.9324975279658
Petrified Log,Gathering,7596,992,875,1600,932,945.9377431906614,202.90156595644748
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,289.21963130760776
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1220.5620647210771
Raw Celestine,Gathering,12223,15,10,28,75,29.675850340136055,773.7051493677814
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.5908720456398,322.9027776832416
Spruce Log,Gathering,5395,661,600,663,663,688.0222047244094,3342.181148285837
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,264.2159541964737
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1361.603930890774
Walnut Log,Gathering,5388,329,249,329,540,360.5289974172341,1120.8076216587299
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,137457.18936597893
Water Shard,Gathering,7,80,68,70,69,74.60634579843978,43145.50946473043
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,60304.7892005446
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,136236.2713930275
Wind Shard,Gathering,4,80,73,75,75,75.17970480726628,57019.244003535445
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,266.8429186414504
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,73.42106401676365
Iron Nails,Crafting,7018,,190,443,70,69.8,26.31573600125003
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1103.928508707742,3596.3006746366536
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,89.99942463448971
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,301.05001659002613
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,37.894326036898065
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,7.105170491063147
Electrum Ingot,Crafting,5066,1199,785,1199,5250,947.163981042654,277.62734907763974
Horn Glue,Crafting,5505,1399,850,2000,4995,1478.6878504672898,140.7870148106525
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,244.4688859534616
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,428.4116561153047
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,347.36001294409857
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,184.4688171656342
Steel Ingot,Crafting,5058,800,100,799,100,516.7953929539295,776.8198792276635
