Ingredient,Total Quantity,Location Info
Aqueous Whetstone,324.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Bomb Ash,270.0,Southern Thanalan ( 22.2 / 29.9 )
Cedar Log,180.0,Coerthas Western Highlands ( 31.3 / 32.1 )
Cobalt Ore,648.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,972.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,96.0,Central Thanalan ( 19.0 / 26.2 )
Darksteel Ore,648.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,36.0,
Fire Cluster,144.0,
Fire Crystal,1170.0,
Fire Shard,3228.0,
Flax,60.0,South Shroud ( 17.6 / 28.6 )
Gelato Flesh,36.0,"Coerthas Western Highlands ( 9.4 / 18.8 ),  Dropped by Gelato"
Gold Ore,288.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Holy Water,72.0,"Nowhere ( 0.0 / 0.0 ), Sold by Idyllshire Scrap Salvager"
Ice Cluster,12.0,
Ice Shard,720.0,
Iron Ore,882.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,882.0,Western Thanalan ( 27.2 / 17.4 )
Mythril Ore,156.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,264.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,330.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Peacock Ore,432.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Petrified Log,12.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Pudding Flesh,24.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Raw Amber,60.0,Eastern Thanalan ( 12.7 / 19.1 )
Raw Celestine,108.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Scarlet Sap,12.0,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Spruce Log,72.0,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Terebinth,30.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Vivianite,108.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Walnut Log,72.0,South Shroud ( 23.1 / 21.6 )
Water Crystal,36.0,
Water Shard,240.0,
Wind Cluster,108.0,
Wind Crystal,576.0,
Wind Shard,48.0,
