Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aqueous Whetstone,Gathering,5261,441,274,449,350,285.68454545454546,2605.273586202941
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3380.532403443412
Cedar Log,Gathering,5384,263,224,264,264,344.1607295525791,923.4206726225405
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,8080.241849264308
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11657.04834328063
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,422.1022476240568
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4705.4823668736735
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,28112.83170318263
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25739.90756524254
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,136066.23947996943
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,84810.29478529685
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1088.6619447166347
Gelato Flesh,Gathering,12635,2,2,1002,700,792.5775862068965,61.051246454229386
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1731.2726549620788
Holy Water,Gathering,12604,2744,1200,1000,1000,1927.9761904761904,22.104663801583257
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,27165.255837714834
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,94323.07635895218
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2765.169738949521
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4247.4787261573965
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,994.6989018214873
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,952.3298162054743
Peacock Ore,Gathering,5119,386,180,386,425,375.6617008069522,847.8584595068071
Petrified Log,Gathering,7596,992,875,1600,932,927.0458553791888,149.20380296506838
Pudding Flesh,Gathering,5558,470,200,477,400,454.1089258698941,173.93914603709808
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,836.8006857365081
Raw Celestine,Gathering,12223,15,10,28,75,37.503,263.14428463023364
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.9346557759627,225.5141350599882
Spruce Log,Gathering,5395,661,600,663,663,697.6260252715584,2374.0762893305923
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,241.82784726261875
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,713.3774270655912
Walnut Log,Gathering,5388,329,249,329,540,373.3720487433359,691.0088535315423
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,94846.6732620007
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28741.73496970572
