Ingredient,Total Quantity,Location Info
Aqueous Whetstone,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Bomb Ash,90.0,Southern Thanalan ( 22.2 / 29.9 )
Cobalt Ore,87.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,351.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Darksteel Ore,306.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,9.0,
Fire Cluster,48.0,
Fire Crystal,414.0,
Fire Shard,900.0,
Ice Cluster,12.0,
Iron Ore,210.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,210.0,Western Thanalan ( 27.2 / 17.4 )
Mythril Ore,102.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,48.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,60.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Petrified Log,12.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Raw Celestine,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Scarlet Sap,12.0,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Wind Cluster,33.0,
