Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aldgoat Horn,Gathering,5436,599,430,599,900,614.583305509182,915.5282691014752
Bomb Ash,Gathering,5528,400,199,499,250,311.8614678899083,5331.1425227474765
Cedar Log,Gathering,5384,263,224,264,264,348.66426642664266,1358.4595722356132
Cobalt Ore,Gathering,5116,200,200,200,292,289.10588769143504,13472.98600212617
Coke,Gathering,5530,213,168,213,120,215.87583260838517,23542.740711881
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,675.5563489183751
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,8814.612248070433
Earth Cluster,Gathering,17,72,49,71,71,54.15423779287025,31820.983559588865
Electrum Ore,Gathering,5115,293,200,293,195,264.9985930735931,2824.4760078181444
Fire Cluster,Gathering,14,82,70,84,84,80.96474873509516,27609.79305153175
Fire Crystal,Gathering,8,98,98,98,98,99.93466555922123,210511.63713869159
Fire Shard,Gathering,2,90,78,69,52,80.68691079231274,118576.63848139065
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1742.9647941548571
Gold Ore,Gathering,5118,55,50,60,180,132.97876617665537,2432.8694085683546
Hardened Sap,Gathering,5532,322,219,225,220,250.4572901678657,12746.62583829661
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,38552.175517750584
Ice Shard,Gathering,3,84,65,84,98,93.632153036849,143060.40910528606
Iron Ore,Gathering,5111,179,19,180,300,144.30030672658535,4285.216993934434
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,6736.995365054241
Peacock Ore,Gathering,5119,386,180,386,395,386.645492371706,1101.9421402540374
Petrified Log,Gathering,7596,992,875,1600,932,945.9377431906614,235.67134752533516
Raw Amber,Gathering,5143,499,201,145,435,365.06154208912994,1296.341921447516
Scarlet Sap,Gathering,7590,699,650,788,749,801.6284779050736,373.5264675029427
Silver Ore,Gathering,5113,330,12,600,600,303.3012719849246,3892.979382893767
Spruce Log,Gathering,5395,250,250,695,830,689.051737756714,3869.7386203570677
Terebinth,Gathering,5728,333,145,333,101,224.35464535464536,305.97142513955197
Vivianite,Gathering,12224,300,114,396,215,276.8909934286819,1581.510415721021
Walnut Log,Gathering,5388,329,249,329,540,360.5289974172341,1301.823533625439
Water Shard,Gathering,7,80,71,70,69,74.49660320495369,48277.38263634509
