Ingredient,Total Quantity,Location Info
Aldgoat Horn,36.0,"Eastern Thanalan ( 18.2 / 22.7 ), Dropped by Myotragus Billy"
Bomb Ash,291.0,Southern Thanalan ( 22.2 / 29.9 )
Cedar Log,45.0,Coerthas Western Highlands ( 31.3 / 32.1 )
Cobalt Ore,414.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,729.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,42.0,Central Thanalan ( 19.0 / 26.2 )
Darksteel Ore,333.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,36.0,
Electrum Ore,156.0,Upper La Noscea ( 30.4 / 25.4 )
Fire Cluster,81.0,
Fire Crystal,333.0,
Fire Shard,2718.0,
Flax,36.0,South Shroud ( 17.6 / 28.6 )
Gold Ore,126.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Hardened Sap,108.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Ice Cluster,18.0,
Ice Shard,522.0,
Iron Ore,969.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,969.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Mythril Ore,342.0,Southern Thanalan ( 25.2 / 39.9 )
Peacock Ore,189.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Petrified Log,18.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Raw Amber,36.0,Eastern Thanalan ( 12.7 / 19.1 )
Scarlet Sap,18.0,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Silver Ore,180.0,South Shroud ( 16.1 / 19.7 )
Spruce Log,126.0,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Terebinth,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Vivianite,108.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Walnut Log,54.0,South Shroud ( 23.1 / 21.6 )
Water Shard,198.0,
Wind Cluster,69.0,
Wind Crystal,279.0,
Wind Shard,351.0,
