Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aldgoat Horn,Gathering,5436,599,450,599,400,583.2422954303931,494.76242282267197
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3377.100728106229
Cedar Log,Gathering,5384,263,224,264,264,344.1607295525791,922.4832525443202
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,8072.039243549978
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11645.215129373233
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,421.6737837261253
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4700.705245751593
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,28084.29053625406
Electrum Ore,Gathering,5115,293,200,293,195,258.88813857897827,1790.7868366987068
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25713.716460415384
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,135927.78545246343
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,84723.997135958
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1087.5541887675317
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1729.514856199476
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8637.301754484904
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,27137.671702578977
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,94227.30186872896
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2762.361648884169
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4243.165273535723
Peacock Ore,Gathering,5119,386,180,386,425,375.6617008069522,847.0012823169924
Petrified Log,Gathering,7596,992,875,1600,932,927.0458553791888,149.05297253557433
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,835.9565931822281
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.9346557759627,225.2871728601514
Silver Ore,Gathering,5113,330,12,600,340,304.90916597853015,2228.41898772922
Spruce Log,Gathering,5395,661,600,663,663,697.6260252715584,2371.682336786568
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,241.58403735923113
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,712.6580816098364
Walnut Log,Gathering,5388,329,249,329,540,373.3720487433359,690.3119199487181
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28712.811698353664
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,54789.91388465651
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,99157.6749013678
Wind Shard,Gathering,4,80,73,75,75,78.59073248361983,36670.320041390216
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,202.14922899857996
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,44.688287059522914
Iron Nails,Crafting,7018,,190,443,70,69.8,26.287169077425478
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3506.1746590402568
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,54.67706662132399
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,226.59387155340121
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.205909359019561
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.9430313883453367
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,205.56290958215942
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,91.47792176297631
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,84.11744161212394
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,297.8276642272771
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,247.619629658088
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,161.13639880493358
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,658.4759874535747
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.360194287731184
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.914984025727524
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4225.797468354431,145.36318818808502
Silver Ingot,Crafting,5064,588,449,599,599,980.3305084745763,217.1242790072121
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,5039.6,1.3143087247903558
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2206.557965594615,351.4453731693886
Cobalt Rivets,Crafting,5094,2000,499,802,500,1305.0210970464136,62.29795605889101
Mythril Ingot,Crafting,5065,388,200,393,400,507.06855791962175,333.5693222806377
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1089.955835962145,83.32641500676074
Linseed Oil,Crafting,5485,499,150,499,2000,619.7424892703863,183.738263971987
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3752.8426035502957,222.115142186813
Natron,Crafting,5522,500,100,649,1400,779.345971563981,110.92589007591621
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.508559147272667
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.577137983539278
Garlond Steel,Crafting,12913,6582,4000,7990,7990,8659,0.7885672399256461
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2392.9847328244273,68.86805248237127
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1505.6303448275862,190.56957037869407
Oak Lumber,Crafting,5373,399,331,399,390,549.7515683814304,209.49463801900188
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,28.913876565039374
Steel Plate,Crafting,5073,1101,301,1000,1200,940.0980392156863,13.405494802891635
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,2500,0.2628522578271067
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11799.854545454546,28.913685068710013
Void Glue,Crafting,5506,7399,2500,3102,10003,5295.274509803921,13.405405245861507
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4753.887323943662,18.66238526056672
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1852.148148148148,63.87252737694722
Boar Leather,Crafting,5282,299,149,295,295,998.263440860215,97.77994709303337
Bronze Rivets,Crafting,5091,60,17,93,129,122.44186046511628,11.302495949605104
Bronze Ingot,Crafting,5056,1,1,100,749,86.76210526315789,124.8528765170368
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,609.1666666666666,15.770854726435086
Hippogryph Leather,Crafting,5288,900,150,1000,1000,589.3564356435644,26.547527128705354
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,36.53562384802731
Linen Yarn,Crafting,5336,157,46,990,399,189.83035714285714,147.19354499758333
Cotton Yarn,Crafting,5334,100,20,90,20,105.92611683848797,152.97580749396064
Beeswax,Crafting,5515,700,14,250,20,35.333333333333336,27.598666549959184
Mahogany Lumber,Crafting,5374,200,95,500,500,372.12831858407077,237.61084523282264
Rosewood Lumber,Crafting,5376,68,44,850,895,299.98069241011984,394.79058825955974
Saurian Leather,Crafting,7608,2500,200,1000,1890,1865.2333333333333,7.88528014199601
Silk Thread,Crafting,5338,790,281,500,375,376.3853658536585,53.882621282544186
Vanya Silk,Crafting,5330,1990,900,700,1000,1384.6216216216217,19.45026767322064
Yew Lumber,Crafting,5368,299,30,490,200,180.74318181818182,115.64997964676488
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.416923384585666
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,2240.3898305084745,15.50754078373641
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1675.7513661202186,96.19910678289223
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1230,214.21338167642352
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.3141895444022798
Gold Ingot,Crafting,5069,4,1,304,30,41.67107438016529,159.01658064604243
