Ingredient,Total Quantity,Location Info
Bomb Ash,108.0,Southern Thanalan ( 22.2 / 29.9 )
Cobalt Ore,195.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Darksteel Ore,54.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,9.0,
Fire Cluster,18.0,
Fire Crystal,54.0,
Fire Shard,948.0,
Ice Cluster,9.0,
Ice Shard,210.0,
Iron Ore,300.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,300.0,Western Thanalan ( 27.2 / 17.4 )
Mythril Ore,90.0,Southern Thanalan ( 25.2 / 39.9 )
Petrified Log,9.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Scarlet Sap,9.0,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Silver Ore,90.0,South Shroud ( 16.1 / 19.7 )
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Wind Cluster,18.0,
Wind Shard,60.0,
