Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,499.3485714285714,91.66494472788051
Animal Fat,Gathering,5531,149,149,147,147,236.11827956989248,97.42653100719534
Aqueous Whetstone,Gathering,5261,441,274,449,350,284.97930514630303,3821.8878659063603
Black Alumen,Gathering,5525,280,45,288,56,182.4890768146582,371.63344583539254
Bomb Ash,Gathering,5528,400,199,499,220,311.5091774303195,4623.015891509382
Chemically Treated Chimera Hide,Gathering,12222,65,11,69,69,69,1.8332788800408362
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,11917.85837414095
Coke,Gathering,5530,213,150,213,223,216.0039217179409,20635.297090670407
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,578.788547812432
Dark Chestnut Log,Gathering,12578,277,150,299,299,197.60063025210084,1246.618704156029
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7551.978274635558
Dhalmel Hide,Gathering,12570,1000,100,1000,1000,662.6831683168317,158.70746813417034
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1157.3242236024844,210.8238161240388
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,34726.394985770414
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,73985.70389427475
Ferberite,Gathering,7588,1,1,430,44,60.208681135225376,156.8727617176132
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,29436.232600377753
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,187229.57428357887
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,108091.41808864466
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1493.289733310023
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,635.3407133171057
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,33029.7894304471
Ice Crystal,Gathering,9,80,70,80,75,74.33984940890312,87857.34006301698
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,128224.3336717281
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3671.378555947839
Lightning Cluster,Gathering,18,113,110,114,110,106.83080327329633,78822.50999923667
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5771.939948702212
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1882.6854223439382
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1665.8416026164568
Petrified Log,Gathering,7596,992,875,1600,932,945.9377431906614,201.91182167719074
Potash,Gathering,5501,290,290,266,299,272.0418569254186,688.2271402618055
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1214.6082310509344
Raw Celestine,Gathering,12223,15,10,28,75,29.675850340136055,769.9309262610409
Red Moko Grass,Gathering,12220,20,13,18,19,36.9375,184.36400832378123
Rosewood Log,Gathering,5393,,225,299,238,352.59209750344013,1332.1841474360106
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.5908720456398,321.3262130326599
Scheelite,Gathering,7597,1394,1200,1000,1000,1362.2037037037037,226.2634487130173
Silver Ore,Gathering,5113,330,12,600,340,303.71522819000313,3374.0415914786104
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,262.9253497751205
