Ingredient,Total Quantity,Location Info
Ahriman Wing,18.0,"Northern Thanalan ( 24 / 21 ), Dropped by various Ahriman."
Animal Fat,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Aqueous Whetstone,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Black Alumen,54.0,South Shroud ( 28.7 / 22.8 )
Bomb Ash,90.0,Southern Thanalan ( 22.2 / 29.9 )
Chemically Treated Chimera Hide,54.0,"Nowhere ( 0.0 / 0.0 ), Gathered by Company Workshop Voyages"
Cobalt Ore,837.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,1053.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,48.0,Central Thanalan ( 19.0 / 26.2 )
Dark Chestnut Log,78.0,The Dravanian Forelands ( 26.6 / 27.1 )
Darksteel Ore,1107.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Dhalmel Hide,54.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Dhalmel Saliva,18.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Earth Cluster,63.0,
Earth Crystal,72.0,
Ferberite,9.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,153.0,
Fire Crystal,1656.0,
Fire Shard,3498.0,
Flax,48.0,South Shroud ( 17.6 / 28.6 )
Hardsilver Sand,165.0,The Churning Mists ( 15.9 / 28.5 )
Ice Cluster,36.0,
Ice Crystal,216.0,
Ice Shard,690.0,
Iron Ore,540.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,540.0,Western Thanalan ( 27.2 / 17.4 )
Lightning Cluster,18.0,
Mythril Ore,240.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,240.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,300.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Petrified Log,36.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Potash,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Raw Amber,48.0,Eastern Thanalan ( 12.7 / 19.1 )
Raw Celestine,54.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Red Moko Grass,54.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Rosewood Log,72.0,East Shroud ( 16.7 / 23.3 )
Scarlet Sap,36.0,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Scheelite,9.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Silver Ore,33.0,South Shroud ( 16.1 / 19.7 )
Terebinth,24.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Tin Ore,24.0,Central Thanalan ( 19.9 / 22.2 )
Vivianite,108.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,36.0,
Water Shard,192.0,
Wind Cluster,126.0,
Wind Crystal,180.0,
Wind Shard,144.0,
Wyvern Wing,27.0,"The Churning Mists ( 24 / 28 ), Dropped by various wyverns."
