Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,474.61538461538464,57.65832030915565
Animal Fat,Gathering,5531,149,149,147,147,216.65361445783134,86.61773922924556
Aqueous Whetstone,Gathering,5261,441,274,449,350,285.68454545454546,2582.872624683628
Black Alumen,Gathering,5525,280,45,288,56,203.09345794392524,307.07419378257475
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3351.4583570841187
Chemically Treated Chimera Hide,Gathering,12222,65,11,69,69,69,1.8262616378568428
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,8010.748556317954
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11556.79335277892
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,418.47203016438925
Dark Chestnut Log,Gathering,12578,277,150,299,299,184.9675257731959,1012.2617416095163
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4665.002260158066
Dhalmel Hide,Gathering,12570,1000,100,1000,1000,660.9539249146758,152.88207590413987
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1243.9196261682243,139.57632790595426
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27870.85358815449
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,62009.187260484236
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,135.9229750175978
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25518.24068953312
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,134894.46317657625
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,84079.92523660064
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1079.2858082979867
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,450.5493113146099
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26931.414823247775
Ice Crystal,Gathering,9,80,70,80,75,76.32259312907043,70782.36810509991
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,93510.92922925168
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2741.3609126782835
Lightning Cluster,Gathering,18,113,110,114,110,107.74088526189374,63648.32443678672
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4210.89758298694
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,986.1320866140206
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,944.1280926379807
Petrified Log,Gathering,7596,992,875,1600,932,927.0458553791888,147.91905330635413
Potash,Gathering,5501,290,290,266,299,261.18059424326833,561.9346303669223
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,829.5952550045828
Raw Celestine,Gathering,12223,15,10,28,75,37.503,260.8784104594024
Red Moko Grass,Gathering,12220,20,13,18,19,36.39333333333333,156.52670326924905
Rosewood Log,Gathering,5393,,225,299,238,353.42504295532643,1214.644464714347
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.9346557759627,223.57130121490306
Scheelite,Gathering,7597,1394,1200,1000,1000,1180.9539170506912,169.83032615908155
Silver Ore,Gathering,5113,330,12,600,340,304.90916597853015,2211.441595481635
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,239.74404711836854
Tin Ore,Gathering,5107,1,1,16,300,29.493775933609957,251.48287346630337
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,707.2287942616884
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,94029.39161203073
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28494.07174641446
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,54372.47593475864
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,98402.13722155757
Wind Shard,Gathering,4,80,73,75,75,78.59073248361983,36390.914839281984
Wyvern Wing,Gathering,12636,898,100,999,999,1362.1875,4.1739186062922276
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,200.60833123508675
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,44.34764414486821
Iron Nails,Crafting,7018,,190,443,70,69.8,26.086790870790384
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3479.448349675215
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,54.260279760809354
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,224.86655841135394
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.1738475175932885
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.912973504659854
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,203.99590232876656
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,90.78058421168552
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,83.4762153965362
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,295.557307041728
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,245.7319986247293
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,159.90805071626775
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,653.4563936868835
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.304087179030264
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.694564476599705
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4225.797468354431,144.25506584192257
Silver Ingot,Crafting,5064,588,449,599,599,980.3305084745763,215.46910419705773
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,5039.6,1.3042894865870953
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2206.557965594615,348.76623766679444
Cobalt Rivets,Crafting,5094,2000,499,802,500,1305.0210970464136,61.823050532533266
Mythril Ingot,Crafting,5065,388,200,393,400,507.06855791962175,331.02649924547245
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1089.955835962145,82.69122611619811
Linseed Oil,Crafting,5485,499,150,499,2000,619.7424892703863,182.337666967945
