Ingredient,Total Quantity,Location Info
Aqueous Whetstone,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Cobalt Ore,276.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,351.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Darksteel Ore,360.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,18.0,
Ferberite,9.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,66.0,
Fire Crystal,468.0,
Fire Shard,1230.0,
Hardsilver Sand,90.0,The Churning Mists ( 15.9 / 28.5 )
Ice Crystal,90.0,
Ice Shard,300.0,
Iron Ore,120.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,120.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Mythril Ore,198.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,72.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,90.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Raw Celestine,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Scheelite,9.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Silver Ore,18.0,South Shroud ( 16.1 / 19.7 )
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Wind Cluster,9.0,
Wind Crystal,72.0,
