Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Adamantite Ore,Gathering,12538,119,119,200,498,284.61085126286247,557.8177991071121
Animal Fat,Gathering,5531,149,149,147,147,236.11827956989248,97.05695502511985
Aqueous Whetstone,Gathering,5261,441,274,449,350,284.97930514630303,3807.390004989197
Aurum Regis Sand,Gathering,12533,270,132,200,450,213.62276422764228,160.45635358596252
Birch Log,Gathering,12579,1,1,100,100,194.04073033707866,557.2907475680679
Black Alumen,Gathering,5525,280,45,288,56,182.4890768146582,370.2215528965892
Cassia Log,Gathering,12221,22,22,70,216,94.06517509727627,268.20765909294454
Chemically Treated Chimera Hide,Gathering,12222,65,11,69,69,69,1.8263116021468908
Cloud Mica,Gathering,12539,245,145,200,190,204.79851439182914,561.9809441976873
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,11872.539590876404
Coke,Gathering,5530,213,150,213,223,216.0039217179409,20556.8294803411
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,576.5875950956411
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7523.277025104114
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,34594.55096465858
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,29324.608969421923
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,186519.58294132733
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,107681.53608241411
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1487.6271649164767
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,172.19075672458467
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2157.8584598972716
Grenade Ash,Gathering,5526,149,80,300,123,246.89145793192037,406.21155709050703
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,10901.421019916208
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,32904.2922242125
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,127737.4176043908
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3657.43695749988
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5750.0345916733495
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1875.540348007231
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1659.5195921585319
Peacock Ore,Gathering,5119,386,180,386,425,384.2556860784804,1043.8175292324747
Petrified Log,Gathering,7596,992,875,1600,932,945.9377431906614,201.1451090436383
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,286.7159310652057
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1209.995148515591
Raw Celestine,Gathering,12223,15,10,28,75,29.675850340136055,767.0068737019848
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.5908720456398,320.1072561095643
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,261.9290758325865
Titanium Ore,Gathering,12537,308,250,890,398,519.6080637599625,1112.935285328957
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1349.8158863274402
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,136267.44496547844
Water Shard,Gathering,7,80,68,70,69,74.60634579843978,42772.06845992468
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,59782.78045626368
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,135056.984148588
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,264.5336591874033
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,72.7857289660548
Iron Nails,Crafting,7018,,190,443,70,69.8,26.088018406140304
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1103.928508707742,3565.1809003277067
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,89.22057447820923
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,298.44476562007713
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,37.566392885999946
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,7.043683290465698
Electrum Ingot,Crafting,5066,1199,785,1199,5250,947.163981042654,275.22480876534814
Horn Glue,Crafting,5505,1399,850,2000,4995,1478.6878504672898,139.56867487100956
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,242.35330940873206
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,424.70432096986667
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,344.35386531846723
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,182.87237161882484
Steel Ingot,Crafting,5058,800,100,799,100,516.7953929539295,770.0969779597307
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,27.652472531935718
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,303.6548026300241
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,148.6966107998616
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,261.9141569639912
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,4568.222222222223,2.3478308179880307
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2146.4332810047094,498.52166259336127
Cobalt Rivets,Crafting,5094,2000,499,802,500,1306.28,65.2172373858587
Mythril Ingot,Crafting,5065,388,200,393,400,487.51937046004844,430.954567157703
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1584.7558139534883,112.1730807737475
Linseed Oil,Crafting,5485,499,150,499,2000,592.5306718597858,267.9104680632631
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3813.5412087912086,284.86620021011424
Natron,Crafting,5522,500,100,649,1400,785.8114406779661,123.12870755756124
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.391055352536181
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.5651876299586207
Garlond Steel,Crafting,12913,6582,4000,7990,7990,4452.1875,8.347649525440826
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2278.1639344262294,79.56336193877485
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1497.5261282660333,219.64641282439166
Oak Lumber,Crafting,5373,399,331,399,390,597.9973498233215,295.29596606746077
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,28.69475604507705
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,40.694289105319
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,5.478065287343181
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,30.781443735277403
Void Glue,Crafting,5506,7399,2500,3102,10003,5064.125,20.8687292442126
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4658.642857142857,32.86817794003292
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1834.9022222222222,117.38608331691792
Boar Leather,Crafting,5282,299,149,295,295,841.9894551845342,148.42785941988484
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,21.651115963045676
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,245.7265942858501
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,17.21647534837888
Hippogryph Leather,Crafting,5288,900,150,1000,1000,668.2785714285715,36.51971750983295
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,36.25878351741774
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,196.68391324687403
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,239.20259583288143
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,28.954663963357014
Mahogany Lumber,Crafting,5374,200,95,500,500,478.0646448523544,326.84788610340144
Rosewood Lumber,Crafting,5376,68,44,850,895,306.4680337756333,432.49212101591866
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,8.086385145821813
Silk Thread,Crafting,5338,790,281,500,375,520.1896551724138,75.6466603897332
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,38.34494784979232
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,174.76911235067948
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.3910348825185817
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,34.17112338126639
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1676.640326975477,95.73110672114694
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1229.1202749140894,227.7193937964241
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.30423197706925
Gold Ingot,Crafting,5069,4,1,304,30,39.29937106918239,207.37243354459446
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,773.1830708661417,132.50938135086005
Larimar,Crafting,12541,,450,1500,1500,2422.853242320819,76.42748828971669
Basilisk Whetstone,Crafting,5262,999,499,200,291,612.2325581395348,100.946667069406
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.3909658040109942
Titanium Ingot,Crafting,12525,,1500,1149,400,1918.7465753424658,114.24921658608204
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1273.3325991189427,118.42243907194872
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,890.019801980198,105.37986043333129
Adamantite Nugget,Crafting,12526,820,499,800,1499,851.832,97.8152508597583
Adamantite Rivets,Crafting,12530,6,6,506,250,562.8307692307692,33.90921187531061
Birch Lumber,Crafting,12583,600,150,600,600,2359.5,35.99585476926097
Cassia Block,Crafting,13758,4000,2096,2000,4650,4650,2.086711599047771
Astral Oil,Crafting,12606,3000,1001,900,969,1723.5116279069769,11.216050740933174
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.6083782053362685
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.26083724422992616
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
