Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Adamantite Ore,Gathering,12538,119,119,200,498,238.975916803503,476.19308017709415
Animal Fat,Gathering,5531,149,149,147,147,216.65361445783134,86.5329806790777
Aqueous Whetstone,Gathering,5261,441,274,449,350,285.68454545454546,2580.345230938933
Aurum Regis Sand,Gathering,12533,270,132,200,450,218.789156626506,129.79890488300978
Birch Log,Gathering,12579,1,1,100,100,139.27898550724638,143.873174946512
Black Alumen,Gathering,5525,280,45,288,56,203.09345794392524,306.77238485724484
Cassia Log,Gathering,12221,22,22,70,216,102.5215869311552,223.36734180887012
Chemically Treated Chimera Hide,Gathering,12222,65,11,69,69,69,1.8244666325257424
Cloud Mica,Gathering,12539,245,145,200,190,162.83870967741936,185.83453752270583
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,8002.856961414995
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11545.40867632999
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,418.05980133956206
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4660.418114011992
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27843.59685103911
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25493.39818701512
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,134763.1405134083
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,83998.07431603053
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1078.2357776099109
Gelato Flesh,Gathering,12635,2,2,1002,700,792.5775862068965,60.46655532225554
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1714.6922307918098
Grenade Ash,Gathering,5526,149,80,300,123,239.77895433487757,393.8127662385976
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8563.258702669926
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26905.034683430556
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,93419.53520780793
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2738.681576654244
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4206.790398022342
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,985.1702570503229
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,943.2071977495606
Peacock Ore,Gathering,5119,386,180,386,425,375.6617008069522,839.7366559629382
Petrified Log,Gathering,7596,992,875,1600,932,927.0458553791888,147.77454883636779
Pudding Flesh,Gathering,5558,470,200,477,400,454.1089258698941,172.27293554101996
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,828.7847538657526
Raw Celestine,Gathering,12223,15,10,28,75,37.503,260.62357349017486
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.9346557759627,223.35391243347166
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,239.51201513813533
Titanium Ore,Gathering,12537,308,250,890,398,495.34787735849056,663.0220384897402
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,706.5443436742062
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,93938.39653468758
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28466.496785432693
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,54319.89710400736
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,98307.05145360887
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,200.41557285782042
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,44.305035139592356
Iron Nails,Crafting,7018,,190,443,70,69.8,26.061726662925636
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3476.1054326735243
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,54.20814814545548
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,224.6505593580842
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.169838799488483
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.909215063035445
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,203.79996553787973
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,90.69338311144969
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,83.39603065453409
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,295.27342880856634
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,245.49598263567486
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,159.75446610496087
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,652.8287179747311
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.297071521445004
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.666995640410406
