Ingredient,Total Quantity,Location Info
Adamantite Ore,150.0,"Azys Lla ( 23.2 / 5.8 ), Timed at 12AM/PM ET"
Animal Fat,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Aqueous Whetstone,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Aurum Regis Sand,90.0,The Sea of Clouds ( 34.8 / 30.5 )
Black Alumen,27.0,South Shroud ( 28.7 / 22.8 )
Cassia Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cassia Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Chemically Treated Chimera Hide,27.0,"Nowhere ( 0.0 / 0.0 ), Gathered by Company Workshop Voyages"
Cloud Mica,72.0,The Churning Mists ( 27.6 / 19.2 )
Cobalt Ore,207.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,189.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Darksteel Ore,246.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,18.0,
Fire Cluster,30.0,
Fire Crystal,522.0,
Fire Shard,600.0,
Gold Ore,18.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Grenade Ash,18.0,"Nowhere ( 0.0 / 0.0 ), Purchased from Z'ranmaia (Limsa NPC)"
Hardened Sap,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Ice Cluster,9.0,
Ice Shard,300.0,
Iron Ore,108.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,108.0,Western Thanalan ( 27.2 / 17.4 )
Raw Celestine,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Titanium Ore,90.0,The Dravanian Forelands ( 30.3 / 15.1 )
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Wind Cluster,36.0,
Wind Crystal,90.0,
