Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Adamantite Ore,Gathering,12538,119,119,200,498,284.61085126286247,555.7979299673618
Ahriman Wing,Gathering,5553,897,89,800,400,499.3485714285714,90.98636791258293
Amphiptere Skin,Gathering,12572,950,100,325,648,550.9272976680384,189.5111970905292
Animal Fat,Gathering,5531,149,149,147,147,236.11827956989248,96.70509035561496
Aqueous Whetstone,Gathering,5261,441,274,449,350,284.97930514630303,3793.5868192605863
Astral Moraine,Gathering,5226,544,300,555,299,380.5133333333333,38.99381761371917
Aurum Regis Sand,Gathering,12533,270,132,200,450,213.62276422764228,159.87431028918536
Bear Fat,Gathering,12609,1002,200,400,2,589.7607655502393,217.32460422964107
Birch Log,Gathering,12579,1,1,100,100,194.04073033707866,555.268311406107
Black Alumen,Gathering,5525,280,45,288,56,182.4890768146582,368.87828415214443
Cassia Log,Gathering,12221,22,22,70,216,94.06517509727627,267.2347178093955
Chemically Treated Chimera Hide,Gathering,12222,65,11,69,69,69,1.8196876438448426
Cloud Mica,Gathering,12539,245,145,200,190,204.79851439182914,559.9426519902302
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,11829.47798437669
Coke,Gathering,5530,213,150,213,223,216.0039217179409,20482.270248712553
Dark Chestnut Log,Gathering,12578,277,150,299,299,197.60063025210084,1237.3768493608304
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7495.992138762016
Dawnborne Aethersand,Gathering,12937,4999,2000,5000,550,3389.4572368421054,79.02540723183188
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1157.3242236024844,209.2609141090335
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,34468.965258856704
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,73437.26399880805
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,29218.093964064516
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,185842.1039601929
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,107290.4274566427
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1482.2240731036688
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2150.0261047514505
Grenade Ash,Gathering,5526,149,80,300,123,246.89145793192037,404.7374530701019
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,10861.861162206169
Hardsilver Ore,Gathering,12535,299,200,350,100,276.0363516192994,393.2980657809937
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,630.6272436275246
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,32784.74587319558
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,127273.33388256494
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3644.149258473148
Lightning Cluster,Gathering,18,113,110,114,110,106.83080327329633,78237.91317874019
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5729.131776238882
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1868.722172304422
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1653.486669486218
Potash,Gathering,5501,290,290,266,299,272.0418569254186,683.1241333437404
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1205.6022884158212
Raw Celestine,Gathering,12223,15,10,28,75,29.675850340136055,764.2223030673642
Red Moko Grass,Gathering,12220,20,13,18,19,36.9375,182.99701789313576
Seventh Heaven,Gathering,12634,490,279,500,240,146.47908745247148,68.36379609704059
Silver Ore,Gathering,5113,330,12,600,340,303.71522819000313,3349.038882632826
Sphalerite,Gathering,13750,2999,899,2997,1555,1218.8260869565217,59.785568665347306
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,260.97644749450666
Titanium Ore,Gathering,12537,308,250,890,398,519.6080637599625,1108.887563327324
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1344.9066937271657
Water Cluster,Gathering,19,55,40,57,45,40.91338076478313,66310.72172307973
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,135771.5688788353
Water Shard,Gathering,7,80,68,70,69,74.60634579843978,42616.423176586446
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,59565.284003284454
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,134565.63640265405
Wyvern Wing,Gathering,12636,898,100,999,999,998.8775510204082,12.736678157449507
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,263.5706714069871
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,72.52076483566566
Iron Nails,Crafting,7018,,190,443,70,69.8,25.99304954147465
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1103.928508707742,3552.202333000783
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,88.8958343442477
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,297.3585240277508
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,37.429662793417414
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,7.018046507900349
Electrum Ingot,Crafting,5066,1199,785,1199,5250,947.163981042654,274.22306143141265
Horn Glue,Crafting,5505,1399,850,2000,4995,1478.6878504672898,139.06068816902814
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,241.4711800555578
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,423.1584766841699
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,343.1007257684246
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,182.2068787642268
Steel Ingot,Crafting,5058,800,100,799,100,516.7953929539295,767.2946622053403
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,27.551848690579256
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,302.54982966782757
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,148.1555276670637
