Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Adamantite Ore,Gathering,12538,119,119,200,498,238.975916803503,475.552287713313
Ahriman Wing,Gathering,5553,897,89,800,400,474.61538461538464,57.52425821042651
Amphiptere Skin,Gathering,12572,950,100,325,648,631.8867924528302,151.7491852923251
Animal Fat,Gathering,5531,149,149,147,147,216.65361445783134,86.41615241614724
Aqueous Whetstone,Gathering,5261,441,274,449,350,285.68454545454546,2576.861518008534
Astral Moraine,Gathering,5226,544,300,555,299,326.57575757575756,8.58951940202268
Aurum Regis Sand,Gathering,12533,270,132,200,450,218.789156626506,129.623370731305
Bear Fat,Gathering,12609,1002,200,400,2,474.44267515923565,163.46044346397784
Birch Log,Gathering,12579,1,1,100,100,139.27898550724638,143.6782912776095
Black Alumen,Gathering,5525,280,45,288,56,203.09345794392524,306.35683065776516
Cassia Log,Gathering,12221,22,22,70,216,102.5215869311552,223.0647593873211
Chemically Treated Chimera Hide,Gathering,12222,65,11,69,69,69,1.8219951521944644
Cloud Mica,Gathering,12539,245,145,200,190,162.83870967741936,185.582798523266
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7992.015843061689
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11529.768721482651
Dark Chestnut Log,Gathering,12578,277,150,299,299,184.9675257731959,1009.8969341435459
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4654.104918247637
Dawnborne Aethersand,Gathering,12937,4999,2000,5000,550,3394.315789473684,54.398846683835544
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1243.9196261682243,139.25032776704538
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27805.755069312127
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61864.35098590986
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25458.69493135331
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,134579.70169503326
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,83883.73832144454
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1076.7682658190233
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1712.3622363158324
Grenade Ash,Gathering,5526,149,80,300,123,239.77895433487757,393.2776525604034
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8551.623054496276
Hardsilver Ore,Gathering,12535,299,200,350,100,267.87738853503186,326.9057325224706
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,449.4944051111005
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26868.3576355484
