Ingredient,Total Quantity,Location Info
Adamantite Ore,30.0,"Azys Lla ( 23.2 / 5.8 ), Timed at 12AM/PM ET"
Amphiptere Skin,36.0,"The Churning Mists ( 11.3 / 31.8 ), Dropped by Amphiptere"
Astral Moraine,6.0,"Coerthas Western Highlands ( 37.2 / 16.4 ), Timed at 12AM/PM ET (Legendary)"
Bear Fat,3.0,"The Dravanian Hinterlands ( 4.7 / 27.8 ), Dropped by Sun Bear"
Cassia Log,9.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cassia Log,9.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cloud Mica,48.0,The Churning Mists ( 27.6 / 19.2 )
Cobalt Ore,72.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,108.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Dark Chestnut Log,12.0,The Dravanian Forelands ( 26.6 / 27.1 )
Darksteel Ore,24.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Dawnborne Aethersand,3.0,"Nowhere ( 0.0 / 0.0 ), Aetherial Reduction from Certain Items"
Earth Cluster,24.0,
Earth Crystal,60.0,
Fire Cluster,24.0,
Fire Crystal,216.0,
Fire Shard,240.0,
Grenade Ash,12.0,"Nowhere ( 0.0 / 0.0 ), Purchased from Z'ranmaia (Limsa NPC)"
Hardened Sap,27.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Ice Cluster,6.0,
Iron Ore,36.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,36.0,Western Thanalan ( 27.2 / 17.4 )
Lightning Cluster,9.0,
Mythril Ore,18.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,24.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,90.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Potash,54.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Red Moko Grass,18.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Seventh Heaven,6.0,"The Churning Mists ( 16.7 / 36.8 ), Timed at 4:00AM/PM ET"
Sphalerite,24.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Titanium Ore,60.0,The Dravanian Forelands ( 30.3 / 15.1 )
Vivianite,36.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Cluster,6.0,
Wind Cluster,18.0,
