ID,Time,Item Name,Location,Coordinates,Parsed Time,time_diff
33006,16:00,Rarefied Kelp,The Tempest,"(x37,y12)",1900-01-01 16:00:00,35
33008,16:00,Rarefied Coral,The Tempest,"(x37,y12)",1900-01-01 16:00:00,35
19857,16:00,Jhammel Ginger,The Lochs,"(x8,y8)",1900-01-01 16:00:00,35
32998,16:00,Rarefied Shiitake Mushroom,The Ruby Sea,"(x33,y9)",1900-01-01 16:00:00,35
12898,16:00,Morel,The Dravanian Hinterlands,"(x19,y36)",1900-01-01 16:00:00,35
12897,16:00,Cloud Banana,The Dravanian Hinterlands,"(x19,y36)",1900-01-01 16:00:00,35
32980,16:00,Rarefied Titancopper Ore,Lakeland,"(x36,y24)",1900-01-01 16:00:00,35
32982,16:00,Rarefied Raw Petalite,Lakeland,"(x36,y24)",1900-01-01 16:00:00,35
27728,16:00,Raw Lazurite,The Rak'tika Greatwood,"(x19,y21)",1900-01-01 16:00:00,35
32970,16:00,Rarefied Pyrite,The Dravanian Forelands,"(x31,y32)",1900-01-01 16:00:00,35
32971,16:00,Rarefied Chalcocite,The Dravanian Forelands,"(x31,y32)",1900-01-01 16:00:00,35
19971,16:00,Raw Azurite,Azim Steppe,"(x5,y29)",1900-01-01 16:00:00,35
32972,16:00,Rarefied Limonite,The Dravanian Forelands,"(x31,y32)",1900-01-01 16:00:00,35
10096,17:00,Rosemary,East Shroud,"(x22,y30)",1900-01-01 17:00:00,95
