ID,Item Type,Max Stack,Item Name
1,Normal/DummyItem,1,[en]
1000001,Money/MoneyStandard,999999999,Gil
1000002,Money/MoneyStandard,999,Crystal
1000003,Money/MoneyStandard,9999,Fire Shard
1000004,Money/MoneyStandard,9999,Ice Shard
1000005,Money/MoneyStandard,9999,Wind Shard
1000006,Money/MoneyStandard,9999,Earth Shard
1000007,Money/MoneyStandard,9999,Lightning Shard
1000008,Money/MoneyStandard,9999,Water Shard
1000009,Money/MoneyStandard,9999,Fire Crystal
1000010,Money/MoneyStandard,9999,Ice Crystal
1000011,Money/MoneyStandard,9999,Wind Crystal
1000012,Money/MoneyStandard,9999,Earth Crystal
1000013,Money/MoneyStandard,9999,Lightning Crystal
1000014,Money/MoneyStandard,9999,Water Crystal
1000015,Money/MoneyStandard,9999,Fire Cluster
1000016,Money/MoneyStandard,9999,Ice Cluster
1000017,Money/MoneyStandard,9999,Wind Cluster
1000018,Money/MoneyStandard,9999,Earth Cluster
1000019,Money/MoneyStandard,9999,Lightning Cluster
1000020,Money/MoneyStandard,9999,Water Cluster
1000101,Money/MoneyStandard,999999,Pugilists' Guild Mark
1000102,Money/MoneyStandard,999999,Gladiators' Guild Mark
1000103,Money/MoneyStandard,999999,Marauders' Guild Mark
1000104,Money/MoneyStandard,999999,[en]
1000105,Money/MoneyStandard,999999,[en]
1000106,Money/MoneyStandard,999999,Archers' Guild Mark
1000107,Money/MoneyStandard,999999,Lancers' Guild Mark
1000108,Money/MoneyStandard,999999,[en]
1000109,Money/MoneyStandard,999999,[en]
1000110,Money/MoneyStandard,999999,Thaumaturges' Guild Mark
1000111,Money/MoneyStandard,999999,Conjurers' Guild Mark
1000112,Money/MoneyStandard,999999,[en]
1000113,Money/MoneyStandard,999999,Carpenters' Guild Mark
1000114,Money/MoneyStandard,999999,Blacksmiths' Guild Mark
1000115,Money/MoneyStandard,999999,Armorers' Guild Mark
1000116,Money/MoneyStandard,999999,Goldsmiths' Guild Mark
1000117,Money/MoneyStandard,999999,Leatherworkers' Guild Mark
1000118,Money/MoneyStandard,999999,Weavers' Guild Mark
1000119,Money/MoneyStandard,999999,Alchemists' Guild Mark
1000120,Money/MoneyStandard,999999,Culinarians' Guild Mark
1000121,Money/MoneyStandard,999999,Miners' Guild Mark
1000122,Money/MoneyStandard,999999,Botanists' Guild Mark
1000123,Money/MoneyStandard,999999,Fishermen's Guild Mark
1000124,Money/MoneyStandard,999999,[en]
1000201,Money/MoneyStandard,999999,Storm Seal
1000202,Money/MoneyStandard,999999,Serpent Seal
1000203,Money/MoneyStandard,999999,Flame Seal
2000001,Important/ImportantItemStandard,1,Key
2000002,Important/ImportantItemStandard,1,Pendant
2000101,Important/ImportantItemStandard,1,Spinning Training
2000102,Important/ImportantItemStandard,1,Tailoring Training
2000103,Important/ImportantItemStandard,1,Glovemaking Training
2000104,Important/ImportantItemStandard,1,Hatting Training
2000105,Important/ImportantItemStandard,1,Dyeing Training
2000106,Important/ImportantItemStandard,1,Weaving Training
2000107,Important/ImportantItemStandard,1,Sheeting Training
