Ingredient,Total Quantity,Location Info
Cassia Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cloud Mica,120.0,The Churning Mists ( 27.6 / 19.2 )
Cobalt Ore,300.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,36.0,Central Thanalan ( 19.0 / 26.2 )
Darksteel Ore,288.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Fire Cluster,18.0,
Fire Crystal,846.0,
Fire Shard,900.0,
Gold Ore,108.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Grenade Ash,30.0,"Nowhere ( 0.0 / 0.0 ), Purchased from Z'ranmaia (Limsa NPC)"
Hardened Sap,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Ice Cluster,9.0,
Ice Shard,450.0,
Iron Ore,180.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,180.0,Western Thanalan ( 27.2 / 17.4 )
Mythril Ore,18.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,72.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,90.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Peacock Ore,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Titanium Ore,150.0,The Dravanian Forelands ( 30.3 / 15.1 )
Wind Cluster,36.0,
Wind Crystal,108.0,
