Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aqueous Whetstone,Gathering,5261,441,274,449,350,285.68454545454546,2548.013634669301
Aurum Regis Sand,Gathering,12533,270,132,200,450,218.789156626506,128.17253033149527
Basilisk Egg,Gathering,5263,485,80,495,500,222.1279317697228,120.7084111095952
Cassia Log,Gathering,12221,22,22,70,216,102.5215869311552,220.56905545279307
Cloud Mica,Gathering,12539,245,145,200,190,162.83870967741936,183.50688064440476
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7902.61781958124
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11400.797503880956
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,412.8234403182531
Dark Chestnut Log,Gathering,12578,277,150,299,299,184.9675257731959,998.5981289730647
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4602.034732831889
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27494.788655652632
Emery,Gathering,7601,1581,1291,2000,998,1005.8741721854304,77.72543475141391
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25173.978416239184
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,133074.63826321054
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,82945.63258795917
Gelato Flesh,Gathering,12635,2,2,1002,700,792.5775862068965,59.709094457515505
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1693.2124309850515
Grenade Ash,Gathering,5526,149,80,300,123,239.77895433487757,388.8795268264914
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8455.98748786441
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,444.4685422869493
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26567.93624282175
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,92249.05942486631
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2704.3681682354663
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4154.083763271857
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,972.827089205531
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,931.3898129983088
Native Gold,Gathering,7589,89,40,225,100,52.63157894736842,9.779700592661133
Peacock Ore,Gathering,5119,386,180,386,425,375.6617008069522,829.2138100160081
Platinum Ore,Gathering,5120,699,398,555,595,586.2600896860987,57.39115008909027
Pudding Flesh,Gathering,5558,470,200,477,400,454.1089258698941,170.11417216827496
Raw Celestine,Gathering,12223,15,10,28,75,37.503,257.3582298101984
Raw Larimar,Gathering,12551,400,300,250,250,365.075,82.3544426990707
Raw Topaz,Gathering,5149,519,498,999,999,189.83414634146342,105.51639419022804
Raziqsand,Gathering,7598,2500,798,1485,2000,969.7142857142857,1.801495483457512
Silver Ore,Gathering,5113,330,12,600,340,304.90916597853015,2181.606263575148
Titanium Ore,Gathering,12537,308,250,890,398,495.34787735849056,654.7120274994547
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,697.6888524978131
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,92761.00975503701
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,53639.19358330974
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,97075.12814137118
Wind Shard,Gathering,4,80,73,75,75,78.59073248361983,35900.16139398239
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,197.90364502469765
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,43.74973013359261
Iron Nails,Crafting,7018,,190,443,70,69.8,25.73507999110786
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3432.537470608119
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,53.52873196289785
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,221.8349389275121
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.1175767801825565
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.8602197099799693
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,201.2456691581242
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,89.55670358122339
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,82.35081101159048
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,291.57270239474553
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,242.41914861109646
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,157.75224109834878
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,644.6468341946273
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.2056171451375395
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.307720165927154
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4225.797468354431,142.31031844438087
Silver Ingot,Crafting,5064,588,449,599,599,980.3305084745763,212.56431863901565
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,5039.6,1.286706164061786
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2206.557965594615,344.06443814077454
Cobalt Rivets,Crafting,5094,2000,499,802,500,1305.0210970464136,60.98959982170961
Mythril Ingot,Crafting,5065,388,200,393,398,506.2157935887412,329.1372535989936
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1089.955835962145,81.57645328869546
Linseed Oil,Crafting,5485,499,150,499,2000,619.7424892703863,179.87955596679217
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3752.8426035502957,217.45049062069188
Natron,Crafting,5522,500,100,649,1400,779.345971563981,108.59634170629229
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.182868032602801
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.5440171924944617
Garlond Steel,Crafting,12913,6582,4000,7990,7990,8659,0.7720067447314187
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2392.9847328244273,67.42176048926974
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1505.6303448275862,186.56743980598227
Oak Lumber,Crafting,5373,399,331,399,390,549.7515683814304,205.0950697373603
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,28.30666169992162
Steel Plate,Crafting,5073,1101,301,1000,1200,940.0980392156863,13.123969532162173
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,2500,0.2573321717052794
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11799.854545454546,28.306476435922985
Void Glue,Crafting,5506,7399,2500,3102,10003,5295.274509803921,13.123883481686375
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4753.887323943662,18.27046442145337
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1852.148148148148,62.531171939600235
Boar Leather,Crafting,5282,299,149,295,295,998.263440860215,95.72652379945546
Bronze Rivets,Crafting,5091,60,17,93,129,122.44186046511628,11.06513733236312
Bronze Ingot,Crafting,5056,1,1,100,749,86.76210526315789,122.23090003636196
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,609.1666666666666,15.439657224979078
Hippogryph Leather,Crafting,5288,900,150,1000,1000,589.3564356435644,25.990031952018384
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,35.76838178088301
Linen Yarn,Crafting,5336,157,46,990,399,189.83035714285714,144.10251789911513
Cotton Yarn,Crafting,5334,100,20,90,20,105.92611683848797,149.76334650714688
Beeswax,Crafting,5515,700,14,250,20,35.333333333333336,27.019099890537913
Mahogany Lumber,Crafting,5374,200,95,500,500,372.12831858407077,232.62107562018562
Rosewood Lumber,Crafting,5376,68,44,850,895,299.98069241011984,386.50010773446996
Saurian Leather,Crafting,7608,2500,200,1000,1890,1865.2333333333333,7.719691931845845
Silk Thread,Crafting,5338,790,281,500,375,376.3853658536585,52.751114941945936
Vanya Silk,Crafting,5330,1990,900,700,1000,1384.6216216216217,19.041824465031393
Yew Lumber,Crafting,5368,299,30,490,200,180.74318181818182,113.2214106470782
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.345170771678895
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,2240.3898305084745,15.181896167761732
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1675.7513661202186,94.17900584052481
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1230,209.71506791835242
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.286592730792802
Gold Ingot,Crafting,5069,4,1,304,30,41.67107438016529,155.67738209362963
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,744.3826530612245,100.86842084717979
Larimar,Crafting,12541,,450,1500,1500,2441.342560553633,74.3645684857649
Basilisk Whetstone,Crafting,5262,999,499,200,291,602.7486338797814,94.17776053094383
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.34510444733395
Titanium Ingot,Crafting,12525,,1500,1149,400,1929.3556581986143,111.41746637100778
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1315.024193548387,95.72102867152988
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,773.0505050505051,76.42210014722008
Adamantite Nugget,Crafting,12526,820,499,800,1499,869.8023255813954,88.51563938077285
Adamantite Rivets,Crafting,12530,6,6,506,250,573.9527559055118,32.678667920568536
Birch Lumber,Crafting,12583,600,150,600,600,3133.207920792079,25.988491122720582
Cassia Block,Crafting,13758,4000,2096,2000,4650,,
Astral Oil,Crafting,12606,3000,1001,900,969,1054.3333333333333,1.5438639104980125
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.5731009988342337
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.25730954144960727
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,4000,3987,3850,3850,3842.75,2.0584674411693307
