Ingredient,Total Quantity,Location Info
Aqueous Whetstone,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Aurum Regis Sand,240.0,The Sea of Clouds ( 34.8 / 30.5 )
Basilisk Egg,12.0,Northern Thanalan ( 22.4 / 24.4 )
Cassia Log,54.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cassia Log,54.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cloud Mica,480.0,The Churning Mists ( 27.6 / 19.2 )
Cobalt Ore,831.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,243.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,66.0,Central Thanalan ( 19.0 / 26.2 )
Dark Chestnut Log,150.0,The Dravanian Forelands ( 26.6 / 27.1 )
Darksteel Ore,666.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Cluster,9.0,
Emery,6.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Fire Cluster,69.0,
Fire Crystal,3276.0,
Fire Shard,2610.0,
Gelato Flesh,36.0,"Coerthas Western Highlands ( 9.4 / 18.8 ),  Dropped by Gelato"
Gold Ore,261.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Grenade Ash,120.0,"Nowhere ( 0.0 / 0.0 ), Purchased from Z'ranmaia (Limsa NPC)"
Hardened Sap,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Sand,240.0,The Churning Mists ( 15.9 / 28.5 )
Ice Cluster,18.0,
Ice Shard,1080.0,
Iron Ore,522.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,522.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Mythril Ore,162.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,648.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,810.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Native Gold,15.0,"Central Thanalan ( 25.2 / 15.8 ), Timed at 4:00am ET"
Peacock Ore,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Platinum Ore,36.0,"Southern Thanalan ( 16.7 / 10.7 ), Timed at 4:00am ET"
Pudding Flesh,24.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Raw Celestine,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Raw Larimar,36.0,Coerthas Western Highlands ( 31.3 / 12.6 )
Raw Topaz,6.0,"Northern Thanalan ( 18.0 / 20.0 ), Timed at 3:00am ET"
Raziqsand,15.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Silver Ore,48.0,South Shroud ( 16.1 / 19.7 )
Titanium Ore,600.0,The Dravanian Forelands ( 30.3 / 15.1 )
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,36.0,
Wind Cluster,129.0,
Wind Crystal,798.0,
Wind Shard,60.0,
