Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aqueous Whetstone,Gathering,5261,441,274,449,350,284.97930514630303,4371.50858407228
Aurum Regis Sand,Gathering,12533,270,132,200,450,213.62276422764228,184.23017214473145
Basilisk Egg,Gathering,5263,495,80,498,500,180.10733695652175,220.47651477554936
Cassia Log,Gathering,12221,23,23,70,216,94.06517509727627,307.9473862190749
Cloud Mica,Gathering,12539,245,145,200,190,204.79851439182914,645.2499283924327
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,13631.69401627702
Coke,Gathering,5530,213,168,213,120,215.87583260838517,23071.01238593199
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,662.020102377363
Dark Chestnut Log,Gathering,12578,285,150,300,33,197.55800756620428,1425.2866897589242
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,8637.970416084521
Earth Cluster,Gathering,17,72,50,71,50,53.41200492898782,37922.978000424155
Emery,Gathering,7601,1581,1291,2000,998,1005.8741721854304,90.46517349395076
Fire Cluster,Gathering,14,82,68,84,72,80.32275390625,30674.2058886155
Fire Crystal,Gathering,8,98,98,90,90,99.89995035435479,208166.1834057422
Fire Shard,Gathering,2,90,78,69,85,81.33124783443138,121898.46968454817
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,197.70328589660133
Gold Ore,Gathering,5118,55,50,60,180,130.8934832547455,2477.5751700131195
Grenade Ash,Gathering,5526,149,80,300,123,246.89145793192037,466.3976023160081
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,12516.613783984581
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,726.7016315511318
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,37779.39969328048
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,146662.96553658985
Iron Ore,Gathering,5111,179,19,180,300,144.30030672658535,4199.320357084668
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,6601.953185951286
Mythrite Ore,Gathering,12534,300,299,292,292,390.7885419570672,2148.924204669953
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1905.3905270964383
Native Gold,Gathering,7589,89,40,225,100,46.19230769230769,38.94043899004066
Peacock Ore,Gathering,5119,386,180,386,395,386.645492371706,1079.8455783234335
Platinum Ore,Gathering,5120,700,398,390,595,561.7653478854024,439.12611265049725
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,329.19397445133376
Raw Celestine,Gathering,12223,17,10,28,75,29.675850340136055,880.6440775841538
Raw Larimar,Gathering,12551,400,300,250,250,363.06060606060606,98.84755185946841
Raw Topaz,Gathering,5149,519,498,999,999,193.79676674364896,129.69963818795102
Raziqsand,Gathering,7598,2500,798,1485,2000,787.8,2.995365062765752
Silver Ore,Gathering,5113,330,12,600,339,303.5738662926601,3844.2415520991594
Titanium Ore,Gathering,12537,308,250,890,602,532.9238316550478,1160.0983726507334
Vivianite,Gathering,12224,300,114,396,215,276.8909934286819,1549.789232183255
Water Crystal,Gathering,13,99,90,98,98,98.12458825770504,150951.58171661026
Wind Cluster,Gathering,16,53,30,55,30,1750.972625219452,65345.11156726595
Wind Crystal,Gathering,10,98,86,97,97,99.82848441242275,151950.94232629382
Wind Shard,Gathering,4,75,73,75,70,75.06615497076024,63102.78622163487
Walnut Lumber,Crafting,5371,499,99,500,501,545.6193353474321,297.4334664940502
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,83.56870757134372
Iron Nails,Crafting,7018,,190,443,70,69.8,29.952865735880657
Cobalt Ingot,Crafting,5059,999,695,1000,1299,1103.9592269965594,4091.850466634967
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,102.43827790665958
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,342.65815698714556
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,43.13168533698934
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,8.087170227197097
Electrum Ingot,Crafting,5066,1199,785,1199,1199,943.0815939278938,315.698365565644
Horn Glue,Crafting,5505,1399,500,2000,2450,1467.4887218045112,159.34639972359165
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,278.2564363400658
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,487.62143566748597
