Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,474.61538461538464,57.40469529380691
Aurum Regis Sand,Gathering,12533,270,132,200,450,218.789156626506,129.35509076177385
Cassia Log,Gathering,12221,22,22,70,216,102.5215869311552,222.60456821643663
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7975.564376509914
Coelacanth-Class Bow,Gathering,23903,,1499990,1500000,1500000,,
Coelacanth-Class Bridge,Gathering,23904,,1149999,1444800,19,399679.3333333333,0.7792408511427097
Coelacanth-Class Pressure Hull,Gathering,23905,,1299999,1000000,1000000,,
Coelacanth-Class Stern,Gathering,23906,,1500000,2000019,800000,,
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11505.935660583977
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,416.6304816893619
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,7247.5,17.1431125795688
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1243.9196261682243,138.96280576587594
Dravanian Spring Water,Gathering,12631,549,2,400,113,170.5870870870871,172.98883735186917
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27748.284508448145
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61736.48740374271
Eikon Metal,Gathering,14150,40,40,100,100,,
Eikon Mythrite,Gathering,14147,950,145,300,100,189.51290322580644,80.51962679980412
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,135.32462167186384
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25405.90845740586
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,134300.66402976608
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1708.8194013718507
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8533.948582377534
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,448.56638006820737
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26812.886688243725
Ice Crystal,Gathering,9,80,70,80,75,76.32259312907043,70470.84288420498
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2729.301906986329
Koppranickel Sand,Gathering,19950,200,50,250,299,244.62568306010928,95.06303194744623
Lumythrite Ore,Gathering,14148,728,728,750,700,605.5734597156398,54.80397656482528
Molybdenum Ore,Gathering,19957,524,175,600,390,411.97800586510266,177.13852536059255
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4192.355789912373
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,981.7899036208638
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,939.9708854835346
Pure Titanium Ore,Gathering,26531,8797,8797,9999,6038,6015.724137931034,15.064435360531709
Raw Rhodonite,Gathering,19973,1000,400,95,900,455.78740157480314,32.98584504698156
Raw Triphane,Gathering,19968,199,100,300,105,273.5128205128205,20.258978045016406
Scheelite,Gathering,7597,1394,1200,1000,1000,1180.9539170506912,169.08418254160685
Smithsonite Ore,Gathering,14151,899,899,700,700,,
Sphalerite,Gathering,13750,2999,899,2997,1555,,
Stiperstone,Gathering,5232,73,70,88,190,138.50259067357513,200.51019846808728
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,704.1217124057716
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,93616.29801249845
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,54133.762078856074
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,97970.19019799997
Wyvern Wing,Gathering,12636,898,100,999,999,1362.1875,4.155606149712104
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,199.72837902084274
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,44.15312109252518
Iron Nails,Crafting,7018,,190,443,70,69.8,25.972367384836485
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3464.186694791739
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,54.022285876185634
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,223.880288961128
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.155541446954049
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.89581149491457
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,203.1011932417319
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,90.38243150520381
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,83.11009910850638
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,294.2610431565113
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,244.6542763875228
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,159.20673788853102
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,650.5905507698084
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.272054088000939
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.56872131763418
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4225.797468354431,143.62244312674278
Silver Ingot,Crafting,5064,588,449,599,599,980.3305084745763,214.52419319538643
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,5039.6,1.298569716174752
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2206.557965594615,347.23677619911933
Cobalt Rivets,Crafting,5094,2000,499,802,500,1305.0210970464136,61.55193341115203
Mythril Ingot,Crafting,5065,388,200,393,400,507.06855791962175,329.57479559726244
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1089.955835962145,82.32859093484312
Linseed Oil,Crafting,5485,499,150,499,2000,619.7424892703863,181.5380417826814
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3752.8426035502957,219.45538833481635
Natron,Crafting,5522,500,100,649,1400,779.345971563981,109.59759930060982
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.32285395711642
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.5582530134293162
Garlond Steel,Crafting,12913,6582,4000,7990,7990,8659,0.7791247974796459
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2392.9847328244273,68.04341031536879
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1505.6303448275862,188.28763930086438
Oak Lumber,Crafting,5373,399,331,399,390,549.7515683814304,206.9860927115407
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,28.56765413506105
Steel Plate,Crafting,5073,1101,301,1000,1200,940.0980392156863,13.244973469987489
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,2500,0.25970478685806087
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11799.854545454546,28.567464327809763
Void Glue,Crafting,5506,7399,2500,3102,10003,5295.274509803921,13.244886241926539
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4753.887323943662,18.438919416189027
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1852.148148148148,63.10771427465174
Boar Leather,Crafting,5282,299,149,295,295,998.263440860215,96.60913125691572
Bronze Rivets,Crafting,5091,60,17,93,129,122.44186046511628,11.167159673638556
Bronze Ingot,Crafting,5056,1,1,100,749,86.76210526315789,123.35788767662102
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,609.1666666666666,15.582014996953239
Hippogryph Leather,Crafting,5288,900,150,1000,1000,589.3564356435644,26.229667563723485
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,36.09817698858606
Linen Yarn,Crafting,5336,157,46,990,399,189.83035714285714,145.4311871548382
Cotton Yarn,Crafting,5334,100,20,90,20,105.92611683848797,151.14421844126713
Beeswax,Crafting,5515,700,14,250,20,35.333333333333336,27.268226737174896
Mahogany Lumber,Crafting,5374,200,95,500,500,372.12831858407077,234.76591962493256
Rosewood Lumber,Crafting,5376,68,44,850,895,299.98069241011984,390.06375685092314
Saurian Leather,Crafting,7608,2500,200,1000,1890,1865.2333333333333,7.790870020263067
Silk Thread,Crafting,5338,790,281,500,375,376.3853658536585,53.237478035119494
Vanya Silk,Crafting,5330,1990,900,700,1000,1384.6216216216217,19.21738832757763
Yew Lumber,Crafting,5368,299,30,490,200,180.74318181818182,114.26530664639337
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.3760130652116134
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,2240.3898305084745,15.321872257758399
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1675.7513661202186,95.04732893758515
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1230,211.64864370048227
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.2984550571887559
Gold Ingot,Crafting,5069,4,1,304,30,41.67107438016529,157.11271144061178
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,744.3826530612245,101.79842992755049
Larimar,Crafting,12541,,450,1500,1500,2441.342560553633,75.0502082366333
Basilisk Whetstone,Crafting,5262,999,499,200,291,602.7486338797814,95.04607936813802
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.3759462796279625
Titanium Ingot,Crafting,12525,,1500,1149,400,1929.3556581986143,112.44473456039056
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1315.024193548387,96.60357948356672
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,773.0505050505051,77.1267154485084
Adamantite Nugget,Crafting,12526,820,499,800,1499,869.8023255813954,89.33175683212026
Adamantite Rivets,Crafting,12530,6,6,506,250,573.9527559055118,32.9799643556122
Birch Lumber,Crafting,12583,600,150,600,600,3133.207920792079,26.22809989208915
Cassia Block,Crafting,13758,4000,2096,2000,4650,,
Astral Oil,Crafting,12606,3000,1001,900,969,1054.3333333333333,1.558095984546107
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.5968031893454184
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.2596797231361433
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,4000,3987,3850,3850,3842.75,2.077428707657098
Hardsilver Ingot,Crafting,12521,3000,800,3250,5000,2090.3485714285716,45.44365158952867
Platinum Ingot,Crafting,9360,4,2,98,90,60.44656172328086,313.4306780202256
Pure Titanium Plate,Crafting,26532,,38038,30000,30000,,
Rhodonite,Crafting,19967,2000,1200,1999,1999,5427.576923076923,6.751583026947554
Aurum Regis Ingot,Crafting,12523,249,99,500,480,778.6363636363636,17.13859517973704
Dragon Leather,Crafting,12565,1000,200,1200,152,583.1666666666666,15.580507391276695
Gagana Leather,Crafting,19993,795,98,969,990,686.36,25.967456150375053
High Mythrite Ingot,Crafting,14146,6489,2499,4008,8,3873.722222222222,18.696527117491428
Mythrite Rivets,Crafting,12528,2700,1840,2999,500,2085.4666666666667,3.8951011523054553
Tempered Glass,Crafting,16908,,8495,10000,15420,,
Wing Glue,Crafting,5507,2180,2000,2190,2100,2994.8372093023254,11.165908248368169
Beech Lumber,Crafting,19925,375,9,399,949,1098.5852713178294,66.99530248977062
Eikon Iron Ingot,Crafting,14149,750,647,2099,2099,1735.3725490196077,13.243228384902414
Koppranickel Nugget,Crafting,19938,579,150,320,795,874.81640625,66.47566722561791
Molybdenum Ingot,Crafting,19947,600,600,900,850,1015.4984227129338,82.31539296485272
Triphane,Crafting,19962,200,200,585,900,592.4406779661017,15.320496808935175
Hallowed Chestnut Lumber,Crafting,12582,,495,1000,2500,1411.546511627907,22.331523267063737
Wolfram Square,Crafting,8029,995,200,1200,189,656.5,3.116019561221654
Hallowed Water,Crafting,12605,70,70,80,209,401.36708860759495,20.513750757498705
Clear Glass Lens,Crafting,5512,100,54,200,77,152.34301270417424,143.07660807458916
Cobalt Nails,Crafting,7020,250,20,90,800,,
Cobalt Rings,Crafting,5084,37,37,155,730,469.8888888888889,4.673988587517103
Dhalmel Leather,Crafting,12564,5000,2999,4123,3000,2780.4772727272725,57.12640193493613
High Allagan Chimera Leather,Crafting,12233,1495,493,2000,1000,713.7272727272727,2.8563137127710596
Amphiptere Leather,Crafting,12566,275,50,323,500,328.9264705882353,17.65717375214542
