Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,499.3485714285714,93.93133218030795
Aurum Regis Sand,Gathering,12533,270,132,200,450,213.62276422764228,165.0503936822262
Cassia Log,Gathering,12221,22,22,70,216,94.06517509727627,275.8884852174558
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,12212.594777242804
Coelacanth-Class Bow,Gathering,23903,,1499990,1500000,1500000,,
Coelacanth-Class Bridge,Gathering,23904,,1149999,1444800,19,399679.3333333333,0.8051162408757568
Coelacanth-Class Pressure Hull,Gathering,23905,,1299999,1000000,1000000,,
Coelacanth-Class Stern,Gathering,23906,,1500000,2000019,800000,,
Coke,Gathering,5530,213,150,213,223,216.0039217179409,21145.429153463083
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,593.0969573891011
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,8284.764150943396,28.447118874418422
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1157.3242236024844,216.03659371649726
Dravanian Spring Water,Gathering,12631,549,2,400,113,139.78635346756153,479.8416985670677
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,35584.95868747593
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,75814.9141178669
Eikon Metal,Gathering,14150,40,40,100,100,88.68055555555556,19.322354690081855
Eikon Mythrite,Gathering,14147,950,145,300,100,192.61016949152543,300.8376398016622
Ferberite,Gathering,7588,1,1,430,44,60.208681135225376,160.75045231420904
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,30163.840954180472
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,191857.53748791027
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2219.6285348677407
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,11213.514135802385
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,651.0452042202112
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,33846.22474953093
