Ingredient,Total Quantity,Location Info
Bomb Ash,30.0,Southern Thanalan ( 22.2 / 29.9 )
Cobalt Ore,30.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Cryptomeria Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Dhalmel Saliva,36.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Dravanian Spring Water,18.0,The Dravanian Forelands ( 27.4 / 31.8 )
Earth Cluster,30.0,
Earth Crystal,54.0,
Ferberite,12.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,42.0,
Fire Crystal,54.0,
Fire Shard,60.0,
Hardened Sap,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Ore,120.0,The Dravanian Forelands ( 25.3 / 25 )
Hardsilver Sand,222.0,The Churning Mists ( 15.9 / 28.5 )
Ice Crystal,54.0,
Ice Shard,90.0,
Iron Ore,60.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,60.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Pure Titanium Ore,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Raw Rhodonite,36.0,"The Peaks ( 26.9 / 12.5 ), Timed at 8AM/PM ET"
Scheelite,12.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Shark-Class Bow,1.0,
Silver Ore,30.0,South Shroud ( 16.1 / 19.7 )
Sphalerite,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Stiperstone,12.0,The Peaks ( 23.3 / 13.1 )
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,72.0,
Wind Crystal,396.0,
