Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3327.0321330060237
Cloud Mica,Gathering,12539,245,145,200,190,162.83870967741936,184.66204847297485
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7952.364301377989
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11472.5656283352
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,415.42216859325197
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,7247.5,17.093393953189256
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1243.9196261682243,138.55973565721237
Dravanian Spring Water,Gathering,12631,549,2,400,113,170.5870870870871,172.48705064243245
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27667.795936330785
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61557.40768902981
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,134.93267944976648
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25332.325348742626
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,133911.68511968205
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,83467.36011629435
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1071.4234793943824
Gelato Flesh,Gathering,12635,2,2,1002,700,792.5775862068965,60.084528719174635
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1703.858804463935
Grenade Ash,Gathering,5526,149,80,300,123,239.77895433487757,391.3246888524199
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8509.157262861565
Hardsilver Ore,Gathering,12535,299,200,350,100,267.87738853503186,325.2824109281081
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,447.26235728241204
Ice Crystal,Gathering,9,80,70,80,75,76.32259312907043,70266.13611223767
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,92828.93879873886
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2721.367916325471
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4180.196391216993
Peacock Ore,Gathering,5119,386,180,386,425,375.6617008069522,834.4317914016557
Platinum Ore,Gathering,5120,699,398,555,595,586.2600896860987,57.75229224012889
Pudding Flesh,Gathering,5558,470,200,477,400,454.1089258698941,171.18467715834123
Pure Titanium Ore,Gathering,26531,8797,8797,9999,6038,6015.724137931034,15.020710779440478
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,823.5475188995078
Raw Rhodonite,Gathering,19973,1000,400,95,900,455.78740157480314,32.89003404927377
Raziqsap,Gathering,9369,,480,339,999,,
Scheelite,Gathering,7597,1394,1200,1000,1000,1180.9539170506912,168.5930378419326
Shark-Class Bow,Gathering,21792,699999,624999,699999,625000,514616.1617647059,17.61029451772053
Shark-Class Bridge,Gathering,21793,799999,625000,799999,550000,571807.8235294118,13.207691784546517
Shark-Class Pressure Hull,Gathering,21794,580015,529884,580016,580016,556924.5238095238,16.315348601638725
Shark-Class Stern,Gathering,21795,799999,624999,799999,550000,493105.6883116883,19.940936818245998
Silver Ore,Gathering,5113,330,12,600,340,304.90916597853015,2195.311028122764
Sphalerite,Gathering,13750,2999,899,2997,1555,,
Stiperstone,Gathering,5232,73,70,88,190,138.50259067357513,199.92600639081198
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,237.99430143821658
Titanium Ore,Gathering,12537,308,250,890,398,495.34787735849056,658.8206706398647
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,702.0672153414977
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,93343.13844472509
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28286.115319455035
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,53975.693890491566
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,97684.12299162979
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,199.14563020572328
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,44.02429650873296
Iron Nails,Crafting,7018,,190,443,70,69.8,25.896589247234246
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3454.079370968376
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,53.86466933690061
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,223.22714180498707
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.143418297623321
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.8844460194957677
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,202.50867284337875
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,90.11874258354425
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,82.8676180336514
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,293.4024948624859
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,243.9404638777665
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,158.74222514652064
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,648.6923456207937
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.2508362021559325
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.485365451158064
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4225.797468354431,143.20338889065758
Silver Ingot,Crafting,5064,588,449,599,599,980.3305084745763,213.89828047201507
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,5039.6,1.2947810211544004
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2206.557965594615,346.2236886108773
Cobalt Rivets,Crafting,5094,2000,499,802,500,1305.0210970464136,61.37235191422027
Mythril Ingot,Crafting,5065,388,200,393,400,507.06855791962175,328.6132739575829
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1089.955835962145,82.08840258306483
Linseed Oil,Crafting,5485,499,150,499,2000,619.7424892703863,181.00841503783352
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3752.8426035502957,218.81511619012818
Natron,Crafting,5522,500,100,649,1400,779.345971563981,109.27784334769446
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.278148501997148
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.5537066155525143
Garlond Steel,Crafting,12913,6582,4000,7990,7990,8659,0.7768515538661992
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2392.9847328244273,67.84488246146631
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1505.6303448275862,187.73828158580073
Oak Lumber,Crafting,5373,399,331,399,390,549.7515683814304,206.38217733232855
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,28.484298870318764
Steel Plate,Crafting,5073,1101,301,1000,1200,940.0980392156863,13.206328204884354
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,2500,0.25894704789965817
