Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Bomb Ash,Gathering,5528,400,199,499,220,311.5091774303195,4840.429049932066
Cloud Mica,Gathering,12539,245,145,200,190,204.79851439182914,590.6560243723422
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,12478.334083399906
Coke,Gathering,5530,213,150,213,223,216.0039217179409,21605.735733952733
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,606.0077461666098
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,8284.764150943396,29.06636720059438
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,36359.74003759731
Ferberite,Gathering,7588,1,1,430,44,60.208681135225376,164.25160550618787
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,30820.82442873237
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,196036.27405242625
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,113175.71178363185
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1563.5293960607996
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,180.97633704446994
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2267.9573251534325
Grenade Ash,Gathering,5526,149,80,300,123,246.89145793192037,426.937647206863
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,11457.641297328808
Ice Crystal,Gathering,9,80,70,80,75,74.33984940890312,91989.3990738608
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,134254.87367637776
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3844.0472857885466
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,6043.413205187095
Peacock Ore,Gathering,5119,386,180,386,425,384.2556860784804,1097.079873646772
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,301.3466489630848
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1271.7402645984473
Raw Rhodonite,Gathering,19973,1000,400,95,500,455.78740157480314,34.82333909817463
Scheelite,Gathering,7597,1394,1200,1000,1000,1362.2037037037037,236.907850715503
Shark-Class Bow,Gathering,21792,699999,624999,699999,625000,519677.4197530864,22.210045653947873
Shark-Class Bridge,Gathering,21793,799999,625000,799999,550000,578690.3125,17.548638146204148
Shark-Class Pressure Hull,Gathering,21794,580015,529884,580016,580016,550733.9615384615,21.387355167691773
Shark-Class Stern,Gathering,21795,799999,624999,799999,550000,502461.275862069,23.855072649361052
Sphalerite,Gathering,13750,2999,899,2997,1555,1218.8260869565217,63.064989047406854
Stiperstone,Gathering,5232,73,70,88,190,142.29366812227073,251.1625979820471
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,275.29111921768305
Titanium Ore,Gathering,12537,308,250,890,398,519.6080637599625,1169.7103558176902
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1418.67493321211
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,143218.9286355198
Water Shard,Gathering,7,80,68,70,69,74.60634579843978,44954.019595973135
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,62832.55198163916
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,141946.80286424415
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,278.0285938628243
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,76.49881626328076
