Ingredient,Total Quantity,Location Info
Adamantite Ore,150.0,"Azys Lla ( 23.2 / 5.8 ), Timed at 12AM/PM ET"
Cobalt Ore,30.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,18.0,Central Thanalan ( 19.0 / 26.2 )
Cryptomeria Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Darksteel Ore,30.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Dhalmel Saliva,36.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Dravanian Spring Water,18.0,The Dravanian Forelands ( 27.4 / 31.8 )
Earth Cluster,66.0,
Earth Crystal,54.0,
Eikon Mythrite,36.0,"Nowhere ( 0.0 / 0.0 ), Sold by Spoils Collector"
Ferberite,12.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,96.0,
Fire Crystal,129.0,
Hardened Sap,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Sand,72.0,The Churning Mists ( 15.9 / 28.5 )
Ice Crystal,54.0,
Koppranickel Sand,72.0,The Peaks ( 23.3 / 13.1 )
Lumythrite Ore,54.0,"The Churning Mists ( 9.3 / 38.5 ), Timed at 2AM/PM ET (Legendary)"
Mythrite Ore,36.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Pure Titanium Ore,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Raw Rhodonite,36.0,"The Peaks ( 26.9 / 12.5 ), Timed at 8AM/PM ET"
Scheelite,12.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Sphalerite,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Stiperstone,12.0,The Peaks ( 23.3 / 13.1 )
Syldra-Class Bow,1.0,
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,72.0,
Wind Crystal,180.0,
