Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Abalathian Mistletoe,Gathering,12944,502,50,502,502,442.5823754789272,67.51051221584123
Abalathian Spring Water,Gathering,12632,320,2,400,780,473.9207317073171,84.84054528447466
Adamantite Ore,Gathering,12538,119,119,200,498,238.975916803503,472.5711446310064
Ahriman Wing,Gathering,5553,897,89,800,400,474.61538461538464,57.163654218328574
Astral Moraine,Gathering,5226,544,300,555,299,326.57575757575756,8.535728752460562
Aurum Regis Ore,Gathering,12536,45,45,92,100,,
Aurum Regis Sand,Gathering,12533,270,132,200,450,218.789156626506,128.81133813375658
Bear Fat,Gathering,12609,1002,200,400,2,474.44267515923565,162.436437911961
Cassia Log,Gathering,12221,22,22,70,216,102.5215869311552,221.66834712104338
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7942.014935963633
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11457.634349408843
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,414.88149131633924
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,7247.5,17.071146413421438
Dark Chestnut Log,Gathering,12578,277,150,299,299,184.9675257731959,1003.5742988313838
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4624.967345849893
Dawnborne Aethersand,Gathering,12937,4999,2000,5000,550,3394.315789473684,54.058278212335566
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1243.9196261682243,138.3785415031089
Dravanian Spring Water,Gathering,12631,549,2,400,113,170.5870870870871,172.26151040337936
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27631.617641999506
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61476.885371321594
Eikon Mythrite,Gathering,14147,950,145,300,100,189.51290322580644,80.18121910831724
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,134.75587514145494
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25299.131024947186
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,133736.21628841962
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1701.6374237537605
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8498.081079725693
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,446.6811002257704
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26700.194083269093
Ice Crystal,Gathering,9,80,70,80,75,76.32259312907043,70174.66422654735
Koppranickel Sand,Gathering,19950,200,50,250,299,244.62568306010928,94.66369739627397
Lightning Cluster,Gathering,18,113,110,114,110,107.74088526189374,63102.00986657951
Lumythrite Ore,Gathering,14148,728,728,750,700,605.5734597156398,54.57364258482035
Molybdenum Ore,Gathering,19957,524,175,600,390,411.97800586510266,176.39404282148396
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4174.736153505412
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,977.6635650365056
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,936.020279782168
Pure Titanium Ore,Gathering,26531,8797,8797,9999,6038,6015.724137931034,15.001121010580833
Raw Rhodonite,Gathering,19973,1000,400,95,900,455.78740157480314,32.847210507819334
Raziqcoat,Gathering,12932,400,17,89,42,40.4,1.2931944361988623
Scheelite,Gathering,7597,1394,1200,1000,1000,1180.9539170506912,168.37354132148508
Seventh Heaven,Gathering,12634,490,279,500,240,146.47908745247148,68.02173006973125
Sphalerite,Gathering,13750,2999,899,2997,1555,,
Stiperstone,Gathering,5232,73,70,88,190,138.50259067357513,199.66747868306342
Syldra-Class Bow,Gathering,24344,,3000777,1250000,800000,,
Syldra-Class Bridge,Gathering,24345,,,1250000,1300000,,
Syldra-Class Pressure Hull,Gathering,24346,900000,900000,1000020,1000020,900000,0.25863492599852556
Syldra-Class Stern,Gathering,24347,,999999,997020,1999990,,
Violet Quartz,Gathering,5163,40,40,285,10,,
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,701.1542400351998
Water Cluster,Gathering,19,55,40,57,45,41.76075585159993,45933.38843786965
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,93221.54774325194
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,53905.499564547026
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,97557.08795740597
Wyvern Wing,Gathering,12636,898,100,999,999,1362.1875,4.13808375765544
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,198.88621809348297
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,43.966946651692616
Iron Nails,Crafting,7018,,190,443,70,69.8,25.86285409758274
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3449.5798402799546
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,53.79449880009056
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,222.93633314774831
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.138020406304981
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.8793857352920265
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,202.24486288590887
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,90.00135147888784
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,82.7596838021028
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,293.0203644865374
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,243.62275027200567
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,158.53535725328018
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,647.8469834589673
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.241387350042678
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.448243551887792
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4225.797468354431,143.01675942897012
Silver Ingot,Crafting,5064,588,449,599,599,980.3305084745763,213.61949110295114
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,5039.6,1.293093315364329
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2206.557965594615,345.7724179395996
Cobalt Rivets,Crafting,5094,2000,499,802,500,1305.0210970464136,61.29236105645951
Mythril Ingot,Crafting,5065,388,200,393,400,507.06855791962175,328.1849667285412
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1089.955835962145,81.98141295792985
Linseed Oil,Crafting,5485,499,150,499,2000,619.7424892703863,180.77250603420893
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3752.8426035502957,218.52994430129036
Natron,Crafting,5522,500,100,649,1400,779.345971563981,109.13542779022968
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.258234300722082
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.5516814820886535
Garlond Steel,Crafting,12913,6582,4000,7990,7990,8659,0.77583907803597
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2392.9847328244273,67.75646708661216
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1505.6303448275862,187.49362757571032
Oak Lumber,Crafting,5373,399,331,399,390,549.7515683814304,206.11322621788457
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,28.44718408759257
Steel Plate,Crafting,5073,1101,301,1000,1200,940.0980392156863,13.18911953354467
