Ingredient,Total Quantity,Location Info
Abalathian Mistletoe,120.0,"The Sea of Clouds ( 35.8 / 21.4 ), Timed at 6AM/PM"
Abalathian Spring Water,120.0,The Sea of Clouds ( 34.8 / 30.5 )
Ahriman Wing,24.0,"Northern Thanalan ( 24 / 21 ), Dropped by various Ahriman."
Astral Moraine,12.0,"Coerthas Western Highlands ( 37.2 / 16.4 ), Timed at 12AM/PM ET (Legendary)"
Bear Fat,6.0,"The Dravanian Hinterlands ( 4.7 / 27.8 ), Dropped by Sun Bear"
Cassia Log,18.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cassia Log,18.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cobalt Ore,18.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Cryptomeria Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Dark Chestnut Log,150.0,The Dravanian Forelands ( 26.6 / 27.1 )
Dawnborne Aethersand,6.0,"Nowhere ( 0.0 / 0.0 ), Aetherial Reduction from Certain Items"
Dhalmel Saliva,60.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Dravanian Spring Water,18.0,The Dravanian Forelands ( 27.4 / 31.8 )
Earth Cluster,54.0,
Earth Crystal,54.0,
Eikon Mythrite,36.0,"Nowhere ( 0.0 / 0.0 ), Sold by Spoils Collector"
Fire Cluster,72.0,
Fire Crystal,144.0,
Hardened Sap,135.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Sand,72.0,The Churning Mists ( 15.9 / 28.5 )
Ice Cluster,12.0,
Ice Crystal,144.0,
Lightning Cluster,6.0,
Lumythrite Ore,54.0,"The Churning Mists ( 9.3 / 38.5 ), Timed at 2AM/PM ET (Legendary)"
Mythril Ore,30.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,36.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,150.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Pure Titanium Ore,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Raw Rhodonite,45.0,"The Peaks ( 26.9 / 12.5 ), Timed at 8AM/PM ET"
Seventh Heaven,12.0,"The Churning Mists ( 16.7 / 36.8 ), Timed at 4:00AM/PM ET"
Sphalerite,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Stiperstone,15.0,The Peaks ( 23.3 / 13.1 )
Syldra-Class Pressure Hull,1.0,
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Cluster,12.0,
Water Crystal,420.0,
Wind Cluster,24.0,
Wind Crystal,414.0,
Wyvern Wing,36.0,"The Churning Mists ( 24 / 28 ), Dropped by various wyverns."
