Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Abalathian Mistletoe,Gathering,12944,502,50,502,502,418.8949152542373,78.80375075615677
Abalathian Spring Water,Gathering,12632,320,2,400,780,437.9424307036247,125.28432804157632
Adamantite Ore,Gathering,12538,119,119,200,498,284.61085126286247,571.1243134402729
Ahriman Wing,Gathering,5553,897,89,800,400,499.3485714285714,93.4953587282058
Astral Moraine,Gathering,5226,544,300,555,299,380.5133333333333,40.06934956509658
Aurum Regis Ore,Gathering,12536,45,45,92,100,,
Aurum Regis Sand,Gathering,12533,270,132,200,450,213.62276422764228,164.28360818994048
Bear Fat,Gathering,12609,1002,200,400,2,589.7607655502393,223.3183602780325
Cassia Log,Gathering,12221,22,22,70,216,94.06517509727627,274.6061746302638
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,12155.83750642341
Coke,Gathering,5530,213,150,213,223,216.0039217179409,21047.34682673863
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,590.3458509150017
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,8284.764150943396,28.315167690197924
Dark Chestnut Log,Gathering,12578,277,150,299,299,197.60063025210084,1271.5084511354275
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7702.759557703109
Dawnborne Aethersand,Gathering,12937,4999,2000,5000,550,3389.4572368421054,81.20521733111308
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1157.3242236024844,215.03306903463917
Dravanian Spring Water,Gathering,12631,549,2,400,113,139.78635346756153,477.6124435452694
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,35419.6158222668
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,75462.65006232027
Eikon Mythrite,Gathering,14147,950,145,300,100,192.61016949152543,299.4405014778735
Ferberite,Gathering,7588,1,1,430,44,60.208681135225376,160.0039737231238
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,30023.762793001195
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,190966.42728497123
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2209.319036460384
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,11161.429756113586
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,648.0212719209629
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,33689.018238023724
Ice Crystal,Gathering,9,80,70,80,75,74.33984940890312,89610.84757052835
Koppranickel Sand,Gathering,19950,200,50,250,299,226.72549019607843,177.0961210379371
Lightning Cluster,Gathering,18,113,110,114,110,106.83080327329633,80395.84925045545
Lumythrite Ore,Gathering,14148,728,728,750,700,719.5696202531645,126.61113990026138
Molybdenum Ore,Gathering,19957,524,175,600,390,421.1228978007762,206.47720481064346
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5887.124913390616
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1920.2561429488037
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1699.0850014912612
Pure Titanium Ore,Gathering,26531,8797,8797,9999,6038,6015.724137931034,15.492329274929146
Raw Rhodonite,Gathering,19973,1000,400,95,500,455.78740157480314,33.92278088832312
Raziqcoat,Gathering,12932,400,17,89,42,40.4,1.3355395441927287
Scheelite,Gathering,7597,1394,1200,1000,1000,1362.2037037037037,230.78056699092127
Seventh Heaven,Gathering,12634,490,279,500,240,146.47908745247148,70.24902182162505
Sphalerite,Gathering,13750,2999,899,2997,1555,1218.8260869565217,61.434369070970114
Stiperstone,Gathering,5232,73,70,88,190,142.29366812227073,244.66850679868608
Syldra-Class Bow,Gathering,24344,,3000777,1250000,800000,,
Syldra-Class Bridge,Gathering,24345,,,1250000,1300000,,
Syldra-Class Pressure Hull,Gathering,24346,900000,900000,1000020,1000020,900000,0.26710357187262546
Syldra-Class Stern,Gathering,24347,,999999,997020,1999990,,
Violet Quartz,Gathering,5163,40,40,285,10,,
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1381.984739968033
Water Cluster,Gathering,19,55,40,57,45,40.91338076478313,68138.85340181789
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,139514.57249778582
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,61207.53264620788
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,138275.6826901286
Wyvern Wing,Gathering,12636,898,100,999,999,998.8775510204082,13.08783373943432
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,270.83741835529884
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,74.52018874635267
Iron Nails,Crafting,7018,,190,443,70,69.8,26.70968598869232
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1103.928508707742,3650.1348246086177
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,91.34664979786561
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,305.5565318618438
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,38.46157579281465
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,7.211529079621401
Electrum Ingot,Crafting,5066,1199,785,1199,5250,947.163981042654,281.78319115154875
Horn Glue,Crafting,5505,1399,850,2000,4995,1478.6878504672898,142.89447213031602
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,248.12816706765813
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,434.8242880472652
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,352.5594114400386
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,187.22999223397878
Steel Ingot,Crafting,5058,800,100,799,100,516.7953929539295,788.4475150107968
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,28.311398614480826
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,310.89049194276356
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,152.23984989026025
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,268.15520481969895
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,4568.222222222223,2.403774813915186
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2146.4332810047094,510.3999753255541
Cobalt Rivets,Crafting,5094,2000,499,802,500,1306.28,66.77116818526672
Mythril Ingot,Crafting,5065,388,200,393,400,487.51937046004844,441.2227159864535
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1584.7558139534883,114.84577161097569
Linseed Oil,Crafting,5485,499,150,499,2000,592.5306718597858,274.29364855040023
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3813.5412087912086,291.6533528502788
Natron,Crafting,5522,500,100,649,1400,785.8114406779661,126.06233981084348
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.757746179680606
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.6024790830833517
Garlond Steel,Crafting,12913,6582,4000,7990,7990,4452.1875,8.546535238246554
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2278.1639344262294,81.45897966577017
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1497.5261282660333,224.87969290801615
Oak Lumber,Crafting,5373,399,331,399,390,597.9973498233215,302.331639567564
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,29.378449516110564
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,41.66388854288133
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,5.6085877903565535
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,31.514851603348188
Void Glue,Crafting,5506,7399,2500,3102,10003,5064.125,21.365939265140007
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4658.642857142857,33.6512798956022
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1834.9022222222222,120.18287414353749
Boar Leather,Crafting,5282,299,149,295,295,841.9894551845342,151.96423358582516
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,22.166966026326243
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,251.58114525616094
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,17.626653261885906
Hippogryph Leather,Crafting,5288,900,150,1000,1000,668.2785714285715,37.38978900098704
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,37.122635622650634
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,201.3698158424647
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,244.90142854896612
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,29.644489768870184
Mahogany Lumber,Crafting,5374,200,95,500,500,478.0646448523544,334.63456041281637
Rosewood Lumber,Crafting,5376,68,44,850,895,306.4680337756333,442.7955736752258
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,8.279030265610482
Silk Thread,Crafting,5338,790,281,500,375,520.1896551724138,77.44881528557005
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,39.25844982681237
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,178.93267728175744
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.471820129366405
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,34.98518783175927
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1676.640326975477,98.01171967576647
