Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,474.61538461538464,57.06371681062578
Aurum Regis Ore,Gathering,12536,45,45,92,100,,
Aurum Regis Sand,Gathering,12533,270,132,200,450,218.789156626506,128.58645618944962
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3316.9036217055013
Carbon Fiber,Gathering,5339,2989,2500,2994,4996,5000.95,25.82046100426553
Cloud Mica,Gathering,12539,245,145,200,190,162.83870967741936,184.09948877373307
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7928.138503769775
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11437.615884726534
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,414.1565956631606
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,7247.5,17.041308671744304
Dark Chestnut Log,Gathering,12578,277,150,299,299,184.9675257731959,1001.8202120712473
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4616.883526433068
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1243.9196261682243,138.13697462808383
Dragon Skin,Gathering,12571,500,250,303,300,287.3639846743295,67.39003644078852
Dravanian Spring Water,Gathering,12631,549,2,400,113,170.5870870870871,171.96041126080914
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27583.319402691177
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61369.458787214244
Effervescent Water,Gathering,5491,100,100,100,1000,556.4042553191489,169.8936993150176
Eikon Mythrite,Gathering,14147,950,145,300,100,189.51290322580644,80.04093034842809
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,134.52010989871115
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25254.86787872164
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,133502.23165435047
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,83212.14851372613
Gagana Skin,Gathering,19999,94,55,225,225,156.40448430493274,287.8860086331284
