Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,499.3485714285714,95.26183717287324
Aurum Regis Ore,Gathering,12536,45,45,92,100,,
Aurum Regis Sand,Gathering,12533,270,132,200,450,213.62276422764228,167.38691922746537
Bomb Ash,Gathering,5528,400,199,499,220,311.5091774303195,4804.40172189448
Carbon Fiber,Gathering,5339,2989,2500,2994,4996,5017.740384615385,28.305949496336627
Cloud Mica,Gathering,12539,245,145,200,190,204.79851439182914,586.2581575357958
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,12385.424082677328
Coke,Gathering,5530,213,150,213,223,216.0039217179409,21444.867041857604
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,601.4956949319247
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,8284.764150943396,28.849954470196725
Dark Chestnut Log,Gathering,12578,277,150,299,299,197.60063025210084,1295.5233332143089
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7848.239962282595
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1157.3242236024844,219.094844097647
Dragon Skin,Gathering,12571,500,250,303,300,352.25126903553297,107.23373705347908
Dravanian Spring Water,Gathering,12631,549,2,400,113,139.78635346756153,486.6332156522054
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,36088.58937017137
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,76887.91537354531
Effervescent Water,Gathering,5491,100,100,100,1000,456.0701923076923,283.05074255346034
Eikon Mythrite,Gathering,14147,950,145,300,100,192.61016949152543,305.0953478899595
Ferberite,Gathering,7588,1,1,430,44,60.208681135225376,163.0256036296742
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,30590.773422468916
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,194573.03936545757
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,112330.95538754649
Gagana Skin,Gathering,19999,94,55,225,225,147.8448669201521,357.8910321962076
Glass Fiber,Gathering,15649,1350,1350,1350,1250,1356.8371161548732,203.84773245698747
Gold Ore,Gathering,5118,55,45,60,180,130.8934832547455,2251.029126829699
Grenade Ash,Gathering,5526,149,80,300,123,246.89145793192037,423.7509945267731
Gyr Abanian Alumen,Gathering,19910,400,100,400,894,246.52980132450332,164.3834416078074
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,11372.09763887075
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,660.252422841233
Ice Crystal,Gathering,9,80,70,80,75,74.33984940890312,91302.41234760762
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,133252.26755792633
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3815.3376293937663
Lightning Cluster,Gathering,18,113,110,114,110,106.83080327329633,81913.22675356087
Lightning Crystal,Gathering,12,70,70,71,71,76.59207053405964,67847.33146894448
Lumythrite Ore,Gathering,14148,728,728,750,700,719.5696202531645,129.00048720186524
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5998.236573424067
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1956.4984118391865
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1731.1528791437718
Native Gold,Gathering,7589,89,40,225,100,46.19230769230769,35.37955720594372
Peacock Ore,Gathering,5119,386,180,386,425,384.2556860784804,1088.8713973086449
Platinum Ore,Gathering,5120,699,398,555,595,561.7653478854024,398.970737733963
Potash,Gathering,5501,290,290,266,299,272.0418569254186,715.2063762442265
Pure Titanium Ore,Gathering,26531,8797,8797,9999,6038,6015.724137931034,15.784579180695308
Raw Rhodonite,Gathering,19973,1000,400,95,500,455.78740157480314,34.562706731219976
Raziqcoat,Gathering,12932,400,17,89,42,40.4,1.3607333986254322
Raziqsand,Gathering,7598,2500,798,1485,2000,787.8,2.721460595289689
Raziqsap,Gathering,9369,,480,339,999,,
Red Moko Grass,Gathering,12220,20,13,18,19,36.9375,191.58995090498067
Rock Salt,Gathering,5518,99,1,99,5,88.20771513353115,366.85038297786303
Scheelite,Gathering,7597,1394,1200,1000,1000,1362.2037037037037,235.1320313157584
Silex,Gathering,5523,300,139,480,1401,367.77777777777777,166.55148807671497
Sphalerite,Gathering,13750,2999,899,2997,1555,1218.8260869565217,62.59273407845012
Stiperstone,Gathering,5232,73,70,88,190,142.29366812227073,249.28168046015884
Titanium Ore,Gathering,12537,308,250,890,398,519.6080637599625,1160.9532293467585
Unkiu-Class Bow,Gathering,21796,1784485,800000,1199994,600000,582505.6666666666,1.6328419217136934
Unkiu-Class Bridge,Gathering,21797,1200000,1200000,1190000,1000000,1095000,0.5442794333906539
Unkiu-Class Pressure Hull,Gathering,21798,975000,974998,975000,600000,600000,0.27213910666289365
Unkiu-Class Stern,Gathering,21799,1200000,500000,1199990,1199990,1199990,0.2721384896521578
Violet Quartz,Gathering,5163,40,40,285,10,,
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1408.038118831076
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,142145.12954497486
Water Shard,Gathering,7,80,68,70,69,74.60634579843978,44616.97379271764
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,62361.4632463697
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,140882.55672725633
Wyvern Wing,Gathering,12636,898,100,999,999,998.8775510204082,13.334575613487138
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,275.94345646293436
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,75.92509695640587
Iron Nails,Crafting,7018,,190,443,70,69.8,27.213229900199853
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1103.928508707742,3718.9516521130413
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,93.06881997800176
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,311.3172005724806
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,39.18669140642291
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,7.34748800508415
Electrum Ingot,Crafting,5066,1199,785,1199,5250,947.163981042654,287.09564377680124
Horn Glue,Crafting,5505,1399,850,2000,4995,1478.6878504672898,145.5884661052407
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,252.80630831195487
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,443.02232860573133
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,359.2064481881271
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,190.75993132636617
Steel Ingot,Crafting,5058,800,100,799,100,516.7953929539295,803.3118960012347
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,28.845146169879403
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,316.751639815348
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,155.1099872591516
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,273.21056584660784
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,4568.222222222223,2.4490931010373123
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2146.4332810047094,520.0229212547914
Cobalt Rivets,Crafting,5094,2000,499,802,500,1306.28,68.030052626362
Mythril Ingot,Crafting,5065,388,200,393,400,487.51937046004844,449.54156080086375
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1584.7558139534883,117.01115770700841
Linseed Oil,Crafting,5485,499,150,499,2000,592.5306718597858,279.46555267165627
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3813.5412087912086,297.1525696230725
Natron,Crafting,5522,500,100,649,1400,785.8114406779661,128.43927907366597
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,16.054872870224912
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.632695336757254
Garlond Steel,Crafting,12913,6582,4000,7990,7990,4452.1875,8.7076825576114
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2278.1639344262294,82.99491005071485
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1497.5261282660333,229.1198619224586
Oak Lumber,Crafting,5373,399,331,399,390,597.9973498233215,308.032152814282
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,29.932383447238443
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,42.44946523933421
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,5.714337301648094
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,32.109060878138784
Void Glue,Crafting,5506,7399,2500,3102,10003,5064.125,21.7688059877247
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4658.642857142857,34.28579149102797
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1834.9022222222222,122.44897082893763
Boar Leather,Crafting,5282,299,149,295,295,841.9894551845342,154.82956778665095
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,22.584929363519944
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,256.3247578287422
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,17.95901819133154
Hippogryph Leather,Crafting,5288,900,150,1000,1000,668.2785714285715,38.094799921307704
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,37.82260761416546
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,205.16675573296726
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,249.51920937392904
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,30.203457614541264
Mahogany Lumber,Crafting,5374,200,95,500,500,478.0646448523544,340.94456127794723
Rosewood Lumber,Crafting,5376,68,44,850,895,306.4680337756333,451.14507647329077
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,8.435140240859294
Silk Thread,Crafting,5338,790,281,500,375,520.1896551724138,78.90919709021226
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,39.99871028021011
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,182.3066260284104
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.5372845993257234
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,35.64486339437579
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1676.640326975477,99.85980947119015
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1229.1202749140894,237.540643597613
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.360481709605531
Gold Ingot,Crafting,5069,4,1,304,30,39.29937106918239,216.31610556683262
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,773.1830708661417,138.22431428491936
Larimar,Crafting,12541,,450,1500,1500,2422.853242320819,79.72368930585927
Basilisk Whetstone,Crafting,5262,999,499,200,291,612.2325581395348,105.30033787490599
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.5372126380807636
Titanium Ingot,Crafting,12525,,1500,1149,400,1918.7465753424658,119.17658857729894
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1273.3325991189427,123.52978928391249
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,890.019801980198,109.92468846868697
Adamantite Nugget,Crafting,12526,820,499,800,1499,851.832,102.03375829464686
Adamantite Rivets,Crafting,12530,6,6,506,250,562.8307692307692,35.37162351734612
Birch Lumber,Crafting,12583,600,150,600,600,2359.5,37.54822835728442
Cassia Block,Crafting,13758,4000,2096,2000,4650,4650,2.176703881734835
Astral Oil,Crafting,12606,3000,1001,900,969,1723.5116279069769,11.699757129118394
Kamacite,Crafting,25009,,11111,2000,11110,11110,2.7208675332480357
Galvanized Garlond Steel,Crafting,14935,3993,1500,3993,3993,3993,0.27208613568577794
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,4000,3987,3850,3850,4938.136363636364,5.985867733033853
Hardsilver Ingot,Crafting,12521,3000,800,3250,5000,2104.219895287958,51.96809906837264
Platinum Ingot,Crafting,9360,4,2,98,90,59.38505280259951,334.9349975283157
Pure Titanium Plate,Crafting,26532,,38038,30000,30000,,
Rhodonite,Crafting,19967,2000,1200,1999,1999,5175.413793103448,7.890385119765115
Aurum Regis Ingot,Crafting,12523,249,99,500,480,584.3333333333334,25.30359064421884
Dragon Leather,Crafting,12565,1000,200,1200,152,758.4148936170212,25.57561498604907
Gagana Leather,Crafting,19993,795,98,969,990,689.0071942446043,37.819174847024485
High Mythrite Ingot,Crafting,14146,6489,2499,4008,8,4307.168421052632,25.847578256095144
Mythrite Rivets,Crafting,12528,2700,1840,2999,500,2251.8823529411766,4.625345191134091
Tempered Glass,Crafting,16908,,8495,10000,15420,15420,2.7207851195378354
Wing Glue,Crafting,5507,2180,2000,2190,2100,2934.185185185185,14.692206987205687
