Ingredient,Total Quantity,Location Info
Cobalt Ore,90.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Cryptomeria Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Dhalmel Saliva,36.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Dravanian Spring Water,18.0,The Dravanian Forelands ( 27.4 / 31.8 )
Earth Cluster,66.0,
Earth Crystal,54.0,
Eikon Mythrite,36.0,"Nowhere ( 0.0 / 0.0 ), Sold by Spoils Collector"
Ferberite,12.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,132.0,
Fire Crystal,144.0,
Fire Shard,150.0,
Hardened Sap,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Sand,72.0,The Churning Mists ( 15.9 / 28.5 )
Ice Crystal,144.0,
Ice Shard,150.0,
Iron Ore,30.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,30.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Lumythrite Ore,54.0,"The Churning Mists ( 9.3 / 38.5 ), Timed at 2AM/PM ET (Legendary)"
Mythril Ore,30.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,36.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,150.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Platinum Ore,36.0,"Southern Thanalan ( 16.7 / 10.7 ), Timed at 4:00am ET"
Pure Titanium Ore,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Raw Rhodonite,36.0,"The Peaks ( 26.9 / 12.5 ), Timed at 8AM/PM ET"
Raziqsap,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 250 GC Seals"
Scheelite,12.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Sphalerite,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Stiperstone,12.0,The Peaks ( 23.3 / 13.1 )
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,72.0,
Whale-Class Bow,1.0,
Wind Cluster,36.0,
Wind Crystal,126.0,
