Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,474.61538461538464,56.96634709858157
Beech Log,Gathering,19930,148,100,10,379,286.1018922852984,177.0850451619907
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7914.679295874369
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11418.198504619202
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,7247.5,17.012427211694888
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4609.068942999415
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1243.9196261682243,137.9031642514528
Dravanian Spring Water,Gathering,12631,549,2,400,113,170.5870870870871,171.66973642352224
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27536.69239779633
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61265.68657028223
Eikon Mythrite,Gathering,14147,950,145,300,100,189.51290322580644,79.90575622454851
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,134.29283454236065
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25212.19846185714
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,133276.67207126127
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,83071.55574853599
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1066.3427930165005
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8468.862125014066
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,445.14526569356383
Ice Crystal,Gathering,9,80,70,80,75,76.32259312907043,69933.53561984737
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,92389.5391221372
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2708.4865615890844
Lumythrite Ore,Gathering,14148,728,728,750,700,605.5734597156398,54.386128794547105
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4160.400894527113
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,974.306486115145
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,932.8062545622417
Platinum Ore,Gathering,5120,699,398,555,595,586.2600896860987,57.47868250520488
Pure Titanium Ore,Gathering,26531,8797,8797,9999,6038,6015.724137931034,14.949578920221402
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,819.6475684614488
Raw Rhodonite,Gathering,19973,1000,400,95,900,455.78740157480314,32.73428163181153
Raziqsap,Gathering,9369,,480,339,999,,
Scheelite,Gathering,7597,1394,1200,1000,1000,1180.9539170506912,167.79466994245016
Sphalerite,Gathering,13750,2999,899,2997,1555,,
Stiperstone,Gathering,5232,73,70,88,190,138.50259067357513,198.98144841056236
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,236.869892638794
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,698.7518096381054
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,92902.33915821693
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28152.536848358945
