Ingredient,Total Quantity,Location Info
Ahriman Wing,24.0,"Northern Thanalan ( 24 / 21 ), Dropped by various Ahriman."
Beech Log,48.0,The Fringes ( 10.5 / 16.2 )
Cobalt Ore,18.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Cryptomeria Log,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Darksteel Ore,72.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Dhalmel Saliva,60.0,"The Sea of Clouds ( 17.3 / 32.2 ), Dropped by Dhalmel"
Dravanian Spring Water,18.0,The Dravanian Forelands ( 27.4 / 31.8 )
Earth Cluster,54.0,
Earth Crystal,54.0,
Eikon Mythrite,36.0,"Nowhere ( 0.0 / 0.0 ), Sold by Spoils Collector"
Fire Cluster,120.0,
Fire Crystal,198.0,
Flax,60.0,South Shroud ( 17.6 / 28.6 )
Hardened Sap,81.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Sand,72.0,The Churning Mists ( 15.9 / 28.5 )
Ice Crystal,54.0,
Lumythrite Ore,54.0,"The Churning Mists ( 9.3 / 38.5 ), Timed at 2AM/PM ET (Legendary)"
Mythrite Ore,36.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Platinum Ore,48.0,"Southern Thanalan ( 16.7 / 10.7 ), Timed at 4:00am ET"
Pure Titanium Ore,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Raw Amber,60.0,Eastern Thanalan ( 12.7 / 19.1 )
Raw Rhodonite,45.0,"The Peaks ( 26.9 / 12.5 ), Timed at 8AM/PM ET"
Raziqsap,216.0,"Nowhere ( 0.0 / 0.0 ), Sold for 250 GC Seals"
Sphalerite,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Stiperstone,15.0,The Peaks ( 23.3 / 13.1 )
Terebinth,30.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Vivianite,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Crystal,120.0,
Water Shard,240.0,
Whale-Class Pressure Hull,1.0,
Wind Cluster,48.0,
Wind Crystal,180.0,
Wyvern Wing,36.0,"The Churning Mists ( 24 / 28 ), Dropped by various wyverns."
