Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Ahriman Wing,Gathering,5553,897,89,800,400,499.3485714285714,94.64701469547204
Beech Log,Gathering,19930,148,100,10,379,290.53047989623866,208.49337635242924
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,12305.678475414268
Coke,Gathering,5530,213,150,213,223,216.0039217179409,21306.789161492354
Cryptomeria Log,Gathering,26529,9992,8938,7297,7297,8284.764150943396,28.664260818073533
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,7797.743250522092
Dhalmel Saliva,Gathering,12629,6900,680,7700,787,1157.3242236024844,217.68515937331253
Dravanian Spring Water,Gathering,12631,549,2,400,113,139.78635346756153,483.503345303628
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,35856.5039265981
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,76393.44931978283
Eikon Mythrite,Gathering,14147,950,145,300,100,192.61016949152543,303.13396013357317
Ferberite,Gathering,7588,1,1,430,44,60.208681135225376,161.97752415508089
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,30394.105535223112
Fire Crystal,Gathering,8,98,98,99,192,101.11136957157264,193322.1280909839
Fire Shard,Gathering,2,85,78,84,84,81.37553454136653,111608.77692953633
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1541.8821008581733
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,11299.08788266212
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,656.0134174993893
Ice Crystal,Gathering,9,80,70,80,75,74.33984940890312,90716.22831325176
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,132396.7535657496
Iron Ore,Gathering,5111,179,9,180,300,144.30030672658535,3790.844952354247
Lumythrite Ore,Gathering,14148,728,728,750,700,719.5696202531645,128.17293866408946
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,5959.755901178706
Mythrite Ore,Gathering,12534,300,299,292,292,390.3897621365976,1943.9462365917263
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1720.0464377317805
Platinum Ore,Gathering,5120,699,398,555,595,561.7653478854024,396.4128835287869
Pure Titanium Ore,Gathering,26531,8797,8797,9999,6038,6015.724137931034,15.683420526457365
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1254.129986367985
Raw Rhodonite,Gathering,19973,1000,400,95,500,455.78740157480314,34.34112599265282
Raziqsap,Gathering,9369,,480,339,999,,
Scheelite,Gathering,7597,1394,1200,1000,1000,1362.2037037037037,233.62675349189078
Sphalerite,Gathering,13750,2999,899,2997,1555,1218.8260869565217,62.19216105972626
Stiperstone,Gathering,5232,73,70,88,190,142.29366812227073,247.6864669580142
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,271.48106434846324
Vivianite,Gathering,12224,298,114,396,215,276.8909934286819,1399.043675165195
Water Crystal,Gathering,13,99,99,98,96,98.6423889112247,141237.10404777198
Water Shard,Gathering,7,80,68,70,69,74.60634579843978,44331.958089848085
Whale-Class Bow,Gathering,22526,,800000,979994,799999,799999,0.2703969773632735
Whale-Class Bridge,Gathering,22527,,1200000,2969500,1399998,1399998,1.3519817818818969
Whale-Class Pressure Hull,Gathering,22528,1500000,1198994,1500000,18,733004.3333333334,0.811187167041301
Whale-Class Stern,Gathering,22529,,999999,1000000,1000000,,
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,61962.52231128293
Wind Crystal,Gathering,10,98,85,97,90,99.67355426178399,139981.29075569255
Wyvern Wing,Gathering,12636,898,100,999,999,998.8775510204082,13.249270926778863
Walnut Lumber,Crafting,5371,499,99,500,300,540.5325443786983,274.178162983571
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,75.43938283894865
Iron Nails,Crafting,7018,,190,443,70,69.8,27.039141638083528
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1103.928508707742,3695.160695413818
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,92.4734429132707
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,309.32566466685336
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,38.93600970332215
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,7.300485560934821
Electrum Ingot,Crafting,5066,1199,785,1199,5250,947.163981042654,285.25904729948365
Horn Glue,Crafting,5505,1399,850,2000,4995,1478.6878504672898,144.65698522630737
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,251.18885181913978
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,440.1878632449133
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,356.90825617801977
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,189.53948624237017
Steel Ingot,Crafting,5058,800,100,799,100,516.7953929539295,798.1730506818974
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,28.6606208696805
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,314.7253585128978
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,154.11763225497978
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,271.4627102074064
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,4568.222222222223,2.4334251461046317
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2146.4332810047094,516.6961047645283
Cobalt Rivets,Crafting,5094,2000,499,802,500,1306.28,67.59478551854515
Mythril Ingot,Crafting,5065,388,200,393,400,487.51937046004844,446.66529961074406
Rose Gold Nugget,Crafting,5068,500,500,1200,2200,1584.7558139534883,116.26249792574554
Linseed Oil,Crafting,5485,499,150,499,2000,592.5306718597858,277.67747589936965
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3813.5412087912086,295.2513262651179
Natron,Crafting,5522,500,100,649,1400,785.8114406779661,127.61749283033106
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,15.952139322960129
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.6222477959256687
Garlond Steel,Crafting,12913,6582,4000,7990,7990,4452.1875,8.651968498025086
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2278.1639344262294,82.46388372243231
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1497.5261282660333,227.65388327760073
Oak Lumber,Crafting,5373,399,331,399,390,597.9973498233215,306.0612777995435
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,29.74086906367703
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,42.17782720350876
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,5.677771434692081
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,31.903597212719255
Void Glue,Crafting,5506,7399,2500,3102,10003,5064.125,21.629508982513958
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4658.642857142857,34.06639904368919
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1834.9022222222222,121.66543507717809
Boar Leather,Crafting,5282,299,149,295,295,841.9894551845342,153.83883282244872
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,22.440411531015627
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,254.68456204272957
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,17.844100055728
Hippogryph Leather,Crafting,5288,900,150,1000,1000,668.2785714285715,37.85103605555794
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,37.58058664406681
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,203.85394605759873
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,247.9225983300214
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,30.010192023723995
Mahogany Lumber,Crafting,5374,200,95,500,500,478.0646448523544,338.7629340159885
Rosewood Lumber,Crafting,5376,68,44,850,895,306.4680337756333,448.2583236422511
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,8.381162148291773
Silk Thread,Crafting,5338,790,281,500,375,520.1896551724138,78.4042408246054
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,39.74274881477455
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,181.14001040782347
Celestine,Crafting,12912,,2930,2750,4994,4069.153846153846,3.5146487282908847
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,35.416764150596286
Cobalt Plate,Crafting,5074,3100,100,3094,1790,1676.640326975477,99.2207900657322
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1229.1202749140894,236.02056962750652
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.3517756978235171
Gold Ingot,Crafting,5069,4,1,304,30,39.29937106918239,214.93184982898035
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,773.1830708661417,137.33978912587182
Larimar,Crafting,12541,,450,1500,1500,2422.853242320819,79.21351736023492
Basilisk Whetstone,Crafting,5262,999,499,200,291,612.2325581395348,104.62641401196717
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.514574247440885
Titanium Ingot,Crafting,12525,,1500,1149,400,1918.7465753424658,118.41384222577437
