Walnut Lumber,Walnut Log,3,Wind Shard,2
Spruce Lumber,Spruce Log,3,Wind Crystal,3
Iron Nails,Iron Ingot,1,Ice/Fire Shard,1
Cobalt Ingot,Cobalt Ore,2,Iron Ore,1,Ice/Fire Shard,5
Cedar Lumber,Cedar Log,5,Wind Crystal,3
Iron Rivets,Iron Ingot,1,Ice/Fire Shard,1
Mythril Plate,Mythril Ingot,2,Ice Shard,4
Electrum Ingot,Electrum Ore,4,Wind Shard,5
Horn Glue,Aldgoat Horn,2,Water Shard,3
Mythril Rivets,Mythril Ingot,1,Ice/Fire Shard,5
Rose Gold Ingot,Rose Gold Nugget,2,Peacock Ore,9,Wind Cluster,1
Varnish,Raw Amber,2,Linseed Oil,1,Terebinth,1,Water Shard,5
Steel Rivets,Steel Ingot,1,Ice/Fire Shard,3
Steel Ingot,Bomb Ash,1,Iron Ore,2,Ice/Fire Shard,2
Cobalt Joint Plate,Cobalt Ingot,1,Ice Shard,5
Steel Joint Plate,Steel Ingot,1,Ice Shard,3
Ancient Lumber,Petrified Log,1,Scarlet Sap,1,Wind Cluster,2,Ice Cluster,1
Silver Ingot,Silver Ore,3,Wind Shard,2
Treated Spruce Lumber,Spruce Lumber,2,Hardened Sap,9,Wind Cluster,1
Darksteel Nugget,Darksteel Ore,3,Ice/Fire Crystal,3
Cobalt Rivets,Cobalt Ingot,1,Ice/Fire Shard,5
Mythril Ingot,Mythril Ore,3,Ice/Fire Shard,3
Rose Gold Nugget,Gold Ore,3,Copper Ore,1,Wind Crystal,3
Linseed Oil,Flax,2,Water Shard,3
