Ingredient,Total Quantity,Location Info
Bomb Ash,63.0,Southern Thanalan ( 22.2 / 29.9 )
Cobalt Ore,78.0,Northern Thanalan ( 23.1 / 24.2 )
Darksteel Ingot,24.0,
Darksteel Ore,63.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Electrum Ore,84.0,Upper La Noscea ( 30.4 / 25.4 )
Fire Crystal,63.0,
Fire Shard,594.0,
Hardened Sap,108.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Iron Ingot,42.0,
Iron Ore,165.0,Western Thanalan ( 27.2 / 17.4 )
Spruce Log,72.0,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Wind Cluster,12.0,
Wind Crystal,72.0,
Wind Shard,105.0,
