Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aldgoat Horn,Gathering,5436,700,490,601,1500,791.5693160813308,145.01758601569816
Bomb Ash,Gathering,5528,400,199,499,175,283.38737695425596,462.9292915821825
Cedar Log,Gathering,5384,263,200,264,428,400.98369565217394,49.321819488046714
Cobalt Ore,Gathering,5116,238,179,23,197,239.9666435826408,2322.409182941967
Coke,Gathering,5530,178,140,179,179,182.2980060684872,2473.585392885556
Copper Ore,Gathering,5106,248,4,200,75,68.67287977632805,287.6193238986701
Darksteel Ore,Gathering,5121,995,479,888,1000,627.5593103448276,777.3477908122935
Electrum Ore,Gathering,5115,287,200,201,201,251.72668174109666,948.3621754816265
Fire Cluster,Gathering,14,60,60,75,70,82.38925355794365,9228.953269752279
Fire Crystal,Gathering,8,100,70,99,249,92.4818028413534,143281.38340143333
Fire Shard,Gathering,2,85,61,84,61,72.39240009806325,10933.700254454521
Flax,Gathering,5346,375,125,350,360,370.0383141762452,69.9605140542545
Gold Ore,Gathering,5118,61,40,200,250,92.7623912220961,708.4491083806269
Hardened Sap,Gathering,5532,229,229,200,274,246.58820093457945,458.89600745756934
Ice Cluster,Gathering,15,39,13,59,100,64.55076174625528,4187.416632653057
Ice Shard,Gathering,3,75,75,79,53,94.61938563211358,4380.400131371422
Iron Ore,Gathering,5111,179,20,180,170,121.82456140350877,763.9280920430149
Mythril Ore,Gathering,5114,425,249,425,297,310.3702687877126,488.6448304995057
Peacock Ore,Gathering,5119,380,180,381,290,342.28709288299154,444.4164799287005
Petrified Log,Gathering,7596,992,850,1600,2250,1005.0124223602485,43.15493961962502
Raw Amber,Gathering,5143,400,201,400,850,673.6756756756756,49.58786202052476
Scarlet Sap,Gathering,7590,490,250,573,640,558.1748633879781,49.051664262055475
Silver Ore,Gathering,5113,330,125,600,120,220.75505205143907,437.71141295383495
Spruce Log,Gathering,5395,489,340,450,600,588.60219478738,390.80331714014824
Terebinth,Gathering,5728,333,145,333,145,189.76868829337096,190.0404157367888
Walnut Log,Gathering,5388,300,220,315,315,289.5304948216341,232.92631019107438
Water Shard,Gathering,7,80,68,70,76,92.38979692917286,3788.1936395201524
Wind Cluster,Gathering,16,50,29,60,165,55.91853433451794,18704.784286893813
Wind Crystal,Gathering,10,88,88,85,120,111.0185371057567,46733.17549510178
Wind Shard,Gathering,4,75,70,70,52,71.10472140039448,4348.633532860908
Walnut Lumber,Crafting,5371,499,99,500,2000,1099.3333333333333,28.143829703872097
Spruce Lumber,Crafting,5378,2502,1500,2999,2000,3077.5106382978724,12.59768595091964
Iron Nails,Crafting,7018,,190,443,390,370.8333333333333,3.2164199189867655
Cobalt Ingot,Crafting,5059,,800,995,995,958.7945205479452,58.699529100674376
Cedar Lumber,Crafting,5366,500,500,250,250,555.6666666666666,10.453317074731643
Iron Ingot,Crafting,5057,150,60,1,225,390.1948051948052,20.63853855078221
Iron Rivets,Crafting,5092,700,71,670,670,462.423487544484,75.31709457937305
Mythril Plate,Crafting,5079,,395,2497,1789,1636.313432835821,17.95812696050158
Electrum Ingot,Crafting,5066,1250,700,1000,150,1130.8834782608697,154.1178926286258
Horn Glue,Crafting,5505,1000,850,1000,1000,2849.6346153846152,27.875171741114723
Mythril Rivets,Crafting,5099,2500,500,2400,540,995.8602941176471,36.452063184662585
Rose Gold Ingot,Crafting,5067,123,45,130,130,227.54545454545453,35.379863935036205
Varnish,Crafting,7017,800,800,769,2000,1308.69375,214.42293094618668
Steel Rivets,Crafting,5093,1000,249,1287,1287,689.9783653846154,111.49967346698841
Steel Ingot,Crafting,5058,699,100,999,999,581.9340927583401,329.40575227109827
Cobalt Joint Plate,Crafting,7023,2200,200,1350,1350,1765.1761006289307,42.6162683994189
Steel Joint Plate,Crafting,7022,2000,450,1967,1967,1133.3561643835617,19.565915716393928
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,,
Silver Ingot,Crafting,5064,89,89,150,150,703.9228971962617,114.71471631999756
Treated Spruce Lumber,Crafting,5379,,3000,1000,10000,6418.263157894737,5.092464335886686
Darksteel Nugget,Crafting,5061,2880,1500,2888,2888,1895.948051948052,123.82700368479055
Cobalt Rivets,Crafting,5094,1250,499,762,1499,1349.6750629722922,106.40521148303966
Mythril Ingot,Crafting,5065,388,200,393,850,679.6914893617021,100.77649625895585
Rose Gold Nugget,Crafting,5068,500,500,998,1000,906.4242424242424,8.84472492779837
Linseed Oil,Crafting,5485,499,499,499,801,904.4347826086956,12.328982613452593
Darksteel Ingot,Crafting,5060,,3496,6000,5500,4248.044117647059,18.22541204433515
Natron,Crafting,5522,500,100,649,1500,875.7664233576643,36.71876180494733
Darksteel Rivets,Crafting,5095,1993,1903,993,2000,1839.9333333333334,32.1623468021342
Farreach Canvas,Crafting,12231,779,520,299,3333,,
Garlond Steel,Crafting,12913,3582,3582,7990,9999,6702.727272727273,2.948201854900448
Mythrite Ingot,Crafting,12519,849,849,2999,2995,2909.4214876033056,32.4301479344334
Mythrite Nugget,Crafting,12518,999,780,801,1600,1311.5885558583107,98.36229262310279
Oak Lumber,Crafting,5373,399,331,399,390,,
Steel Nails,Crafting,7019,249,90,249,249,,
Steel Plate,Crafting,5073,1101,301,1000,1200,,
Darksteel Plate,Crafting,5075,,2500,2999,2999,2970.25,28.9455904019118
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,12000,0.26801412991823875
Void Glue,Crafting,5506,7399,2500,3102,10003,,
Wolfram Ingot,Crafting,7607,4889,2500,10000,10000,,
Wyvern Leather,Crafting,12563,3998,1400,4000,5000,1598.6385542168675,22.245021983363596
Boar Leather,Crafting,5282,299,149,175,400,572.3569131832797,83.35164078145353
Bronze Rivets,Crafting,5091,1,1,150,75,64.48936170212765,37.7895642448411
Bronze Ingot,Crafting,5056,90,10,99,230,387.9973190348525,99.96790964909196
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,,
Hippogryph Leather,Crafting,5288,500,150,599,599,599,1.340045206679842
Linen Canvas,Crafting,7026,198,91,150,2400,,
Linen Yarn,Crafting,5336,157,95,990,110,198.0495575221239,151.4244201795419
Cotton Yarn,Crafting,5334,100,20,90,20,,
Beeswax,Crafting,5515,700,14,250,20,,
Mahogany Lumber,Crafting,5374,200,200,500,300,245,2.948065964423127
Rosewood Lumber,Crafting,5376,58,58,65,65,18677.423791821562,288.37380630784736
Saurian Leather,Crafting,7608,2500,200,1000,1890,,
Silk Thread,Crafting,5338,300,281,299,299,211.6315789473684,5.09206407250776
Vanya Silk,Crafting,5330,1490,900,700,800,1297.44,6.700068933533286
Yew Lumber,Crafting,5368,299,30,490,300,300,8.040064804077783
Celestine,Crafting,12912,5000,2930,2750,4994,,
Holy Cedar Lumber,Crafting,12580,3500,600,2098,1699,1699,0.2680009538517126
Cobalt Plate,Crafting,5074,2999,996,2994,2994,1641.457627118644,15.812020074686231
Aurum Regis Nugget,Crafting,12522,2199,995,4000,1500,2270.5925925925926,7.235992748285717
Cassia Lumber,Crafting,12232,3199,3000,4900,2498,2248.5,0.5359982511503157
Gold Ingot,Crafting,5069,6,1,4,48,30.710575139146567,144.45120006400927
Hardsilver Nugget,Crafting,12520,2000,500,1547,995,702.2326732673267,54.13555730484304
Larimar,Crafting,12541,,450,1500,1500,,
Basilisk Whetstone,Crafting,5262,301,301,990,800,532.1584699453551,49.0433651108085
Platinum Nugget,Crafting,9359,,999,2500,2500,2500,0.267995925649766
Titanium Ingot,Crafting,12525,1005,1005,1150,3798,3371.278350515464,25.99554353336811
Titanium Nugget,Crafting,12524,2298,700,2299,2900,2546.5,25.19150086011905
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,500,500,2.9479260793333975
Adamantite Nugget,Crafting,12526,820,725,800,655,560.6923076923077,3.483904998945244
Adamantite Rivets,Crafting,12530,6,6,506,250,,
Birch Lumber,Crafting,12583,600,96,600,1000,1820.4186046511627,11.523633662828361
Cassia Block,Crafting,13758,,2086,4000,4000,4000,1.0719635396351943
Astral Oil,Crafting,12606,3000,1001,900,969,,
Kamacite,Crafting,25009,,11111,2000,11110,,
Galvanized Garlond Steel,Crafting,14935,3819,1500,1000,7994,5829.222222222223,2.411901306014493
Cryptomeria Lumber,Crafting,26530,,30000,28000,30000,,
Enchanted Hardsilver Ink,Crafting,12602,3250,3250,3997,3993,3645.3333333333335,1.6079267695372446
Hardsilver Ingot,Crafting,12521,2000,800,3500,1000,1428.2857142857142,15.007283099917277
Platinum Ingot,Crafting,9360,4,2,10,8,7.540229885057471,23.314832599157246
Pure Titanium Plate,Crafting,26532,,38038,30000,30000,,
Rhodonite,Crafting,19967,2000,1200,1999,4999,3124.8125,4.287766152867815
Aurum Regis Ingot,Crafting,12523,249,90,500,480,,
Dragon Leather,Crafting,12565,1000,200,1200,152,,
Gagana Leather,Crafting,19993,795,83,969,1250,207.52631578947367,5.0916873238900635
High Mythrite Ingot,Crafting,14146,6489,1888,4008,2500,2498.714285714286,3.7517609916819374
Mythrite Rivets,Crafting,12528,2700,1840,2999,500,,
Tempered Glass,Crafting,16908,,8495,10000,8999,8999,2.1438536880429817
Wing Glue,Crafting,5507,2180,2103,2190,2000,2000,13.667036643497667
Beech Lumber,Crafting,19925,375,305,399,959,222.8188976377953,34.033524264794394
Eikon Iron Ingot,Crafting,14149,750,750,2099,500,584,8.57535661722574
Koppranickel Nugget,Crafting,19938,579,150,320,710,958.7972972972973,19.830467585676622
Molybdenum Ingot,Crafting,19947,600,600,900,1000,1526.7368421052631,5.091594819627206
Triphane,Crafting,19962,200,200,585,500,497.77777777777777,2.4118025590305967
Hallowed Chestnut Lumber,Crafting,12582,,495,1000,800,633.3333333333334,1.6078647913113246
Wolfram Square,Crafting,8029,995,200,1200,189,,
Hallowed Water,Crafting,12605,70,70,80,209,,
Clear Glass Lens,Crafting,5512,100,39,200,30,79.15384615384616,45.28788863275523
Cobalt Nails,Crafting,7020,250,20,90,800,,
Cobalt Rings,Crafting,5084,37,37,155,750,,
Dhalmel Leather,Crafting,12564,5000,2999,5000,5000,3964.676470588235,9.111110696601063
High Allagan Chimera Leather,Crafting,12233,1495,493,2000,1000,,
Amphiptere Leather,Crafting,12566,275,50,323,1000,942.8333333333334,3.2156717434357223
