Ingredient,Total Quantity,Location Info
Aldgoat Horn,36.0,"Eastern Thanalan ( 18.2 / 22.7 ), Dropped by Myotragus Billy"
Cedar Log,45.0,Coerthas Western Highlands ( 31.3 / 32.1 )
Cobalt Ore,72.0,Northern Thanalan ( 23.1 / 24.2 )
Copper Ore,42.0,Central Thanalan ( 19.0 / 26.2 )
Electrum Ore,72.0,Upper La Noscea ( 30.4 / 25.4 )
Fire Shard,504.0,
Flax,36.0,South Shroud ( 17.6 / 28.6 )
Gold Ore,126.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Ice Shard,72.0,
Iron Ore,144.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,144.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Mythril Ore,162.0,Southern Thanalan ( 25.2 / 39.9 )
Peacock Ore,189.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Raw Amber,36.0,Eastern Thanalan ( 12.7 / 19.1 )
Spruce Log,54.0,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Terebinth,18.0,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Walnut Log,54.0,South Shroud ( 23.1 / 21.6 )
Water Shard,198.0,
Wind Cluster,21.0,
Wind Crystal,207.0,
Wind Shard,126.0,
