Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aldgoat Horn,Gathering,5436,599,430,599,900,614.583305509182,946.0923639407891
Bomb Ash,Gathering,5528,400,199,499,295,320.56868336226137,5095.9336423665045
Cedar Log,Gathering,5384,263,224,264,264,348.66426642664266,1403.8103158712827
Cobalt Ore,Gathering,5116,200,123,353,309,289.3496680071074,13511.164271022406
Coke,Gathering,5530,213,120,213,213,215.92689929328623,24315.73407745099
Copper Ore,Gathering,5106,248,4,200,10,51.00895381715363,670.3108551562566
Darksteel Ore,Gathering,5121,1598,450,888,686,707.6308266233286,8552.284485486536
Electrum Ore,Gathering,5115,293,200,293,195,264.9985930735931,2918.774465935748
Fire Cluster,Gathering,14,82,70,84,84,80.93076811123674,28215.69283687066
Fire Crystal,Gathering,8,99,53,98,98,100.63226434603858,204070.52791309796
Fire Shard,Gathering,2,90,79,69,78,80.8500136110859,121840.48849192301
Flax,Gathering,5346,375,294,350,500,338.4855831037649,1719.9737056283286
Gold Ore,Gathering,5118,55,55,60,180,132.62747571590765,2503.9844031314465
Hardened Sap,Gathering,5532,220,219,224,291,251.7026398888468,12504.09509732761
Ice Cluster,Gathering,15,39,17,59,150,3081.746564545576,35468.447923641805
Ice Shard,Gathering,3,84,64,140,78,93.76909145991027,141803.28612923666
Iron Ingot,Gathering,5057,150,65,1,125,413.10776255707765,345.8853872324394
Iron Ore,Gathering,5111,179,19,180,149,144.10623259798672,4424.478132049814
Mythril Ore,Gathering,5114,425,220,425,600,337.718989280245,6600.531569460431
Peacock Ore,Gathering,5119,386,180,386,395,386.645492371706,1138.727692075066
Petrified Log,Gathering,7596,992,875,1600,1600,950.7539267015707,180.99562959128176
Raw Amber,Gathering,5143,499,435,145,500,363.38990825688074,1308.3454066361046
Scarlet Sap,Gathering,7590,699,650,788,749,801.6284779050736,385.9956074440162
Silver Ore,Gathering,5113,200,12,300,294,303.20805843543826,4021.671715391931
Spruce Log,Gathering,5395,250,250,695,700,684.8025876800391,3881.7302649468184
Terebinth,Gathering,5728,333,145,333,99,229.2819429778247,299.12838156653595
Walnut Log,Gathering,5388,329,249,329,425,360.244177310293,1261.2633924639536
Water Shard,Gathering,7,68,68,70,112,75.0223712217965,44518.40289707951
Wind Cluster,Gathering,16,54,30,55,30,1998.4886050339123,60262.98562976192
Wind Crystal,Gathering,10,98,72,99,90,96.28017647454662,150205.68483284736
Wind Shard,Gathering,4,75,70,75,77,75.03595531223941,60985.04499154205
Walnut Lumber,Crafting,5371,499,99,500,501,547.5942915392457,309.8629514325411
Spruce Lumber,Crafting,5378,3002,1000,2995,1000,1844.7480916030534,82.756237355281
Iron Nails,Crafting,7018,,190,443,70,69.8,31.586263754669194
Cobalt Ingot,Crafting,5059,999,800,1000,1000,1080.4309378185526,3718.3250453211613
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,108.02444711271453
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,45.48385033051753
Mythril Plate,Crafting,5079,1485,395,3495,1493,1977.6190476190477,6.633043759514513
Electrum Ingot,Crafting,5066,1199,785,1499,1000,943.4900095147478,331.96715138422354
Horn Glue,Crafting,5505,1399,500,2000,998,1423.8464646464647,156.3494765949426
Mythril Rivets,Crafting,5099,950,500,899,1000,550.2909482758621,293.1149836832828
Rose Gold Ingot,Crafting,5067,230,83,301,97,289.70603848706037,475.99471410309684
Varnish,Crafting,7017,1000,1000,999,1300,1303.4703018500486,324.38304188634254
Steel Rivets,Crafting,5093,1200,249,900,600,784.8512,197.4088013777986
Steel Ingot,Crafting,5058,799,100,666,1850,526.4921274258513,862.595176843703
Cobalt Joint Plate,Crafting,7023,1340,499,1285,1150,405.75471698113205,33.480349942251614
Steel Joint Plate,Crafting,7022,1967,450,850,1200,72.81165919282512,352.1744205137121
Ancient Lumber,Crafting,7606,9500,4000,9000,3998,4208.508771929824,180.03486937624132
Silver Ingot,Crafting,5064,598,471,800,800,986.6777777777778,312.69128476734875
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,7000,4152.5,1.8950936175463167
Darksteel Nugget,Crafting,5061,2888,1600,1800,998,2132.7602305475502,547.9964042018698
Cobalt Rivets,Crafting,5094,802,499,802,11895,1243.8,47.37708423222642
Mythril Ingot,Crafting,5065,390,200,393,500,483.9775967413442,465.2417185270704
Rose Gold Nugget,Crafting,5068,500,500,1200,1300,1540.9578163771712,127.28575221950378
Linseed Oil,Crafting,5485,499,499,499,400,564.5769612711023,318.0555960762284
Darksteel Ingot,Crafting,5060,6000,3995,5000,3000,3812.5656759348035,329.4251219342292
