Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aldgoat Horn,Gathering,5436,999,200,601,700,622.7900977740794,1311.493903562199
Bomb Ash,Gathering,5528,497,70,400,400,313.59599156118145,7241.9828031539855
Cedar Log,Gathering,5384,293,150,293,650,373.25990799716914,1542.02819619567
Cobalt Ore,Gathering,5116,195,195,280,300,292.4676335905066,15311.93269806544
Copper Ore,Gathering,5106,29,21,40,16,53.25501324252743,721.0830758195654
Darksteel Ore,Gathering,5121,728,549,728,728,679.0418152154209,13545.036038519771
Electrum Ore,Gathering,5115,310,300,312,330,330.3832433799966,6470.3467043057235
Fire Crystal,Gathering,8,79,79,70,70,80.1569497747372,196205.2603312427
Fire Shard,Gathering,2,93,80,90,90,77.92212520714584,181261.37385589234
Flax,Gathering,5346,200,190,305,800,878.6470525302236,2550.089386201872
Gold Ore,Gathering,5118,68,19,99,349,148.13675614164268,4075.7136430399255
Hardened Sap,Gathering,5532,379,228,225,231,241.18519301637164,9032.082065849163
Ice Cluster,Gathering,15,50,17,50,17,32.22368364310665,12652.961590029367
Ice Shard,Gathering,3,100,84,65,83,78.99421123782453,102318.3032205923
Iron Ingot,Gathering,5057,171,1,63,298,204.2985746436609,363.6707523729664
Iron Ore,Gathering,5111,123,10,177,40,134.59418588592735,3950.98833765536
Mythril Ore,Gathering,5114,649,240,650,549,366.7275655644242,9570.52626210284
Peacock Ore,Gathering,5119,347,347,347,434,338.4681112019624,667.3162427216432
Petrified Log,Gathering,7596,1695,900,1700,1351,997.6767543030073,1442.3928754726487
Raw Amber,Gathering,5143,345,345,425,445,570.6976419878296,2151.989690472682
Scarlet Sap,Gathering,7590,10001,700,10001,892,750.2040241448692,677.9516271972011
Silver Ore,Gathering,5113,139,139,165,600,290.03620998961384,5778.808059279477
Spruce Log,Gathering,5395,849,750,837,837,2683.429294286226,6092.533137063876
Terebinth,Gathering,5728,,175,200,400,276.9425,436.5050724069253
Walnut Log,Gathering,5388,367,290,367,500,371.3148373365765,1794.577312111156
Water Shard,Gathering,7,64,60,70,140,66.4266861631834,44590.97234669794
Wind Cluster,Gathering,16,70,29,57,30,42.02173283705542,13193.275874589403
Wind Crystal,Gathering,10,80,80,71,143,105.65702018033491,244622.0404422112
Wind Shard,Gathering,4,74,74,80,74,77.80827572913265,50951.29613260636
Walnut Lumber,Crafting,5371,800,300,690,1500,579.9951845906902,339.92371032394334
Spruce Lumber,Crafting,5378,1500,499,2500,1550,1941.6361185983828,101.21301039537698
Iron Nails,Crafting,7018,490,50,490,3000,1253.718309859155,19.369559614310838
Cobalt Ingot,Crafting,5059,799,776,975,800,928.103501465371,1768.6278202680483
Cedar Lumber,Crafting,5366,900,500,950,900,1082.838827838828,74.4769828824551
Iron Rivets,Crafting,5092,691,21,700,245,242.37623762376236,247.9832331240747
Mythril Plate,Crafting,5079,3500,1498,2776,2098,2126.7571428571428,38.1931523310088
Electrum Ingot,Crafting,5066,1163,420,1199,1199,1267.555639666919,360.37880899117636
Horn Glue,Crafting,5505,1895,1200,2000,5555,2689.6911764705883,55.65261697471889
Mythril Rivets,Crafting,5099,2400,700,1500,1500,1086.8029689608636,202.14948982738352
Rose Gold Ingot,Crafting,5067,245,100,225,213,296.81970349115255,1711.3100834284528
Varnish,Crafting,7017,1200,1099,1200,1200,1561.2614942528735,189.8723302388708
Steel Rivets,Crafting,5093,990,500,1001,500,997.690737833595,173.77644365794745
Steel Ingot,Crafting,5058,2000,180,899,899,417.15716486902926,885.2484870673775
Cobalt Joint Plate,Crafting,7023,1350,750,1350,2150,1415.804347826087,100.39158970440391
Steel Joint Plate,Crafting,7022,1099,900,1995,1899,1428,2.7280261845334746
Ancient Lumber,Crafting,7606,10000,3995,10000,5003,4421.332236842105,82.93180035851148
Silver Ingot,Crafting,5064,788,788,993,500,852.9287925696594,264.34452163178355
Treated Spruce Lumber,Crafting,5379,3994,3994,5000,7000,5754.285714285715,5.728814940799276
Darksteel Nugget,Crafting,5061,1699,1495,1800,3000,1685.836622303809,594.4314211883838
Cobalt Rivets,Crafting,5094,2195,1395,2190,1195,1768.3606870229007,142.9469181536509
Mythril Ingot,Crafting,5065,229,199,230,800,516.4407313997478,432.658964387765
Rose Gold Nugget,Crafting,5068,1200,500,1200,1800,1275.6102484472049,175.6820526302228
Linseed Oil,Crafting,5485,400,400,600,824,736.6370023419204,116.48457462248557
