Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aldgoat Horn,Gathering,5436,698,100,5,420,612.2167637376551,1302.7288317541359
Bomb Ash,Gathering,5528,599,240,550,240,333.3069085487078,7964.800425680495
Cedar Log,Gathering,5384,296,296,296,296,433.76209751609935,1792.9327792446793
Cobalt Ore,Gathering,5116,279,279,327,349,288.64622479704235,17310.411845312687
Copper Ore,Gathering,5106,40,20,40,125,66.81509945750452,729.7046985628621
Darksteel Ore,Gathering,5121,696,450,696,450,703.5037932364665,10262.020685389609
Electrum Ore,Gathering,5115,318,299,318,330,325.19660663789256,6649.446128959496
Fire Crystal,Gathering,8,69,68,69,69,74.88944196342884,154679.59692035383
Fire Shard,Gathering,2,99,75,94,76,74.52003034929515,177824.5920799428
Flax,Gathering,5346,306,190,200,599,1191.2280820756316,1945.3019343775102
Gold Ore,Gathering,5118,59,59,53,165,138.10929693076375,3697.2837094216275
Hardened Sap,Gathering,5532,225,225,225,228,238.62623940221297,9182.48621473343
Ice Cluster,Gathering,15,59,17,51,51,33.32665367279815,10831.846520432166
Ice Shard,Gathering,3,84,67,72,86,81.31827203421776,85761.87961532702
Iron Ingot,Gathering,5057,248,50,149,274,245.21953896816686,300.51638023123957
Iron Ore,Gathering,5111,179,1,150,198,116.61919552725578,4248.121739471545
Mythril Ore,Gathering,5114,500,160,500,651,352.5647029022219,9115.721978728767
Peacock Ore,Gathering,5119,346,346,440,498,336.72599366865984,937.8272453893707
Petrified Log,Gathering,7596,1890,905,998,916,946.5135882081989,716.1509906597794
Raw Amber,Gathering,5143,445,445,445,445,581.7544857768053,2261.262657386941
Scarlet Sap,Gathering,7590,19999,630,100,703,656.0552611657835,435.75776103529853
Silver Ore,Gathering,5113,310,250,299,849,294.91242905788874,5812.286369054198
Spruce Log,Gathering,5395,815,795,879,879,3154.1302115655853,5846.9061327374075
Terebinth,Gathering,5728,130,130,101,750,293.70304748405385,465.4420911451923
Walnut Log,Gathering,5388,354,250,368,801,352.7591270650622,1617.3324582447315
Water Shard,Gathering,7,59,53,59,100,71.38829505513024,41105.792778224706
Wind Cluster,Gathering,16,58,30,100,74,42.452760865001046,18853.707806373768
Wind Crystal,Gathering,10,67,65,68,130,69.92426039480824,137389.9519370963
Wind Shard,Gathering,4,74,74,73,74,74.13659132867485,52351.43538671342
Walnut Lumber,Crafting,5371,500,400,699,500,469.91179976162095,276.75359150173335
Spruce Lumber,Crafting,5378,2500,800,1500,1900,2012.52,148.4371483603074
Iron Nails,Crafting,7018,498,50,499,2000,978.2162162162163,12.204798131817196
Cobalt Ingot,Crafting,5059,999,350,1100,1100,911.1400545888775,1933.6304198830146
Cedar Lumber,Crafting,5366,1000,300,1000,1000,1203.4169381107492,101.26626302503924
Iron Rivets,Crafting,5092,700,25,699,50,1075.159445407279,190.32726039170305
Mythril Plate,Crafting,5079,3000,1498,2695,2695,2144.6417910447763,44.200660488229715
Electrum Ingot,Crafting,5066,1750,900,1793,1793,1221.686274509804,235.51628814138067
Horn Glue,Crafting,5505,1906,1499,2001,1000,2826.0837988826815,59.043833236285565
Mythril Rivets,Crafting,5099,1500,499,1000,1000,903.4145234493192,218.0327647655143
Rose Gold Ingot,Crafting,5067,243,200,240,200,305.2912981455064,1156.1311669071304
Varnish,Crafting,7017,1899,491,1800,1800,1592.638349514563,135.89863214056717
Steel Rivets,Crafting,5093,1000,573,1250,1250,1059.8589743589744,128.64154055016633
Steel Ingot,Crafting,5058,690,249,690,200,498.5397752808989,733.9144218449111
Cobalt Joint Plate,Crafting,7023,1350,750,1350,1350,1257.4594594594594,73.22631507621168
Steel Joint Plate,Crafting,7022,1099,1000,1995,1899,1163.8333333333333,11.874504698209677
Ancient Lumber,Crafting,7606,10000,3000,10000,10000,3791.742222222222,74.21544360179466
Silver Ingot,Crafting,5064,1000,650,1000,1000,911.1100543478261,242.76627287659107
Treated Spruce Lumber,Crafting,5379,4000,4000,6245,7994,6427.7,9.895335186672527
Darksteel Nugget,Crafting,5061,1798,1550,1002,1002,1756.5145867098865,407.02697871063174
Cobalt Rivets,Crafting,5094,1294,1000,980,1800,1535.3367346938776,129.2983159783761
Mythril Ingot,Crafting,5065,499,200,500,239,484.0369833212473,454.8517329637021
Rose Gold Nugget,Crafting,5068,1200,999,1200,1200,1297.9035639412998,157.33406359368755
Linseed Oil,Crafting,5485,500,500,499,2995,582.2482517482517,94.33420210897158
