Ingredient,Total Quantity,Location Info
Adamantite Ore,150.0,"Azys Lla ( 23.2 / 5.8 ), Timed at 12AM/PM ET"
Aurum Regis Sand,75.0,The Sea of Clouds ( 34.8 / 30.5 )
Cobalt Ore,87.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,216.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Darksteel Ore,264.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Earth Crystal,63.0,
Fire Cluster,15.0,
Fire Crystal,822.0,
Fire Shard,150.0,
Gold Ore,15.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Hardsilver Sand,90.0,The Churning Mists ( 15.9 / 28.5 )
Ice Crystal,27.0,
Ice Shard,150.0,
Iron Ore,30.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Iron Ore,30.0,Western Thanalan ( 27.2 / 17.4 )
Kamacite Ore,27.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Mythril Ore,60.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,240.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,300.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Silver Ore,18.0,South Shroud ( 16.1 / 19.7 )
Wind Crystal,147.0,
