Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Adamantite Ore,Gathering,12538,119,119,200,498,238.975916803503,469.9250741602677
Astral Moraine,Gathering,5226,544,300,555,299,326.57575757575756,8.487955402341926
Aurum Regis Sand,Gathering,12533,270,132,200,450,218.789156626506,128.0906912039853
Bear Fat,Gathering,12609,1002,200,400,2,474.44267515923565,161.52765338337528
Birch Log,Gathering,12579,1,1,100,100,139.27898550724638,141.97941790198124
Cassia Log,Gathering,12221,22,22,70,216,102.5215869311552,220.42771759779927
Cloud Mica,Gathering,12539,245,145,200,190,162.83870967741936,183.3892931518345
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7897.553837953477
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11393.492119686913
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4599.105848649276
Dawnborne Aethersand,Gathering,12937,4999,2000,5000,550,3394.315789473684,53.75600132900732
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27477.229809334367
Earth Crystal,Gathering,11,75,75,70,85,73.78045219703472,61133.426686759456
Ferberite,Gathering,7588,1,1,430,44,62.324376199616125,134.00329798645333
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25157.84400690263
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,132989.34176229592
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,82892.46184730338
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1692.1306987798755
Grenade Ash,Gathering,5526,149,80,300,123,239.77895433487757,388.6309800197063
Hardened Sap,Gathering,5532,322,220,225,220,253.47132943754565,8450.58362011161
Hardsilver Sand,Gathering,12532,500,100,150,240,192.21887666473654,444.1844659049653
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26550.959343261016
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2702.6461279482273
Kamacite Ore,Gathering,25008,,1371,2099,1500,,
Lightning Cluster,Gathering,18,113,110,114,110,107.74088526189374,62749.31282773082
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4151.419680393816
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,972.2030978838851
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,930.792383079206
Scheelite,Gathering,7597,1394,1200,1000,1000,1180.9539170506912,167.43424511666157
Seventh Heaven,Gathering,12634,490,279,500,240,146.47908745247148,67.64225965327084
Silver Ore,Gathering,5113,330,12,600,340,304.90916597853015,2180.2365151999647
Titanium Ore,Gathering,12537,308,250,890,398,495.34787735849056,654.3010473936401
Water Cluster,Gathering,19,55,40,57,45,41.76075585159993,45677.780128737
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,53605.64756319186
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,97014.41964236039
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,197.7803225239019
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,43.72247216220182
Iron Nails,Crafting,7018,,190,443,70,69.8,25.71904345858011
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3430.398391541867
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,53.49537743683025
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,221.69670190243914
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.115010776508553
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.857814402161764
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,201.12028128451087
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,89.50089755219163
Mythril Rivets,Crafting,5099,899,500,899,450,887.315625,82.29949424778673
Rose Gold Ingot,Crafting,5067,230,90,222,90,252.5189761694616,291.39098349935716
Varnish,Crafting,7017,1000,1000,999,1150,1260.2070063694268,242.26803915187557
Steel Rivets,Crafting,5093,998,249,998,998,768.3654159869494,157.65391741208785
Steel Ingot,Crafting,5058,800,100,799,100,561.9369261477046,644.2450268229196
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,1259.25,7.201126177877695
Steel Joint Plate,Crafting,7022,1199,450,799,1200,1339.9363636363637,28.290077752324926
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4225.797468354431,142.2216258271974
