Ingredient,Total Quantity,Location Info
Adamantite Ore,375.0,"Azys Lla ( 23.2 / 5.8 ), Timed at 12AM/PM ET"
Astral Moraine,36.0,"Coerthas Western Highlands ( 37.2 / 16.4 ), Timed at 12AM/PM ET (Legendary)"
Aurum Regis Sand,540.0,The Sea of Clouds ( 34.8 / 30.5 )
Bear Fat,18.0,"The Dravanian Hinterlands ( 4.7 / 27.8 ), Dropped by Sun Bear"
Birch Log,330.0,"The Sea of Clouds ( 24 / 34 ), Hidden"
Cassia Log,54.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cassia Log,54.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Cloud Mica,240.0,The Churning Mists ( 27.6 / 19.2 )
Cobalt Ore,291.0,Northern Thanalan ( 23.1 / 24.2 )
Coke,513.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Dark Chestnut Log,150.0,The Dravanian Forelands ( 26.6 / 27.1 )
Darksteel Ore,642.0,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Dawnborne Aethersand,18.0,"Nowhere ( 0.0 / 0.0 ), Aetherial Reduction from Certain Items"
Earth Cluster,21.0,
Earth Crystal,252.0,
Ferberite,9.0,"Northern Thanalan ( 17.3 / 19.9 ), Timed at 3:00am ET"
Fire Cluster,60.0,
Fire Crystal,2709.0,
Fire Shard,660.0,
Gelato Flesh,36.0,"Coerthas Western Highlands ( 9.4 / 18.8 ),  Dropped by Gelato"
Gold Ore,123.0,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Grenade Ash,60.0,"Nowhere ( 0.0 / 0.0 ), Purchased from Z'ranmaia (Limsa NPC)"
Hardened Sap,162.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Hardsilver Sand,270.0,The Churning Mists ( 15.9 / 28.5 )
Ice Cluster,36.0,
Ice Crystal,81.0,
Ice Shard,150.0,
Iron Ore,141.0,Western Thanalan ( 27.2 / 17.4 )
Iron Ore,141.0,"Nowhere ( 0.0 / 0.0 ), Sold by Material Supplier"
Kamacite Ore,108.0,"Nowhere ( 0.0 / 0.0 ), Collected from Submarine Voyages"
Lightning Cluster,18.0,
Mythril Ore,150.0,Southern Thanalan ( 25.2 / 39.9 )
Mythrite Ore,600.0,Coerthas Western Highlands ( 31.2 / 12.8 )
Mythrite Sand,750.0,Coerthas Western Highlands ( 16.6 / 13.1 )
Native Gold,15.0,"Central Thanalan ( 25.2 / 15.8 ), Timed at 4:00am ET"
Pudding Flesh,24.0,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Raziqsand,15.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Scheelite,9.0,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Seventh Heaven,36.0,"The Churning Mists ( 16.7 / 36.8 ), Timed at 4:00AM/PM ET"
Silver Ore,54.0,South Shroud ( 16.1 / 19.7 )
Sphalerite,12.0,"Nowhere ( 0.0 / 0.0 ), Sold by NPCs for Scrips"
Titanium Ore,300.0,The Dravanian Forelands ( 30.3 / 15.1 )
Vivianite,18.0,"Nowhere ( 0.0 / 0.0 ), Collected from Company Workshop Voyages"
Water Cluster,36.0,
Water Crystal,36.0,
Wind Cluster,102.0,
Wind Crystal,1206.0,
