Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Adamantite Ore,Gathering,12538,120,120,200,498,284.61085126286247,635.8009026261499
Astral Moraine,Gathering,5226,544,300,555,299,380.5133333333333,44.607062099345555
Aurum Regis Sand,Gathering,12533,270,132,200,450,213.62276422764228,182.88849121902206
Bear Fat,Gathering,12609,1002,200,400,400,599.5530864197531,240.87691862665832
Birch Log,Gathering,12579,1,1,100,100,194.04073033707866,635.19972621577
Cassia Log,Gathering,12221,23,23,70,216,94.06517509727627,305.70394590455453
Cloud Mica,Gathering,12539,245,145,200,190,204.79851439182914,640.5492438831965
Cobalt Ore,Gathering,5116,200,200,200,292,289.3555135586516,13532.385691721898
Coke,Gathering,5530,213,168,213,223,216.0039217179409,23430.77744302735
Dark Chestnut Log,Gathering,12578,285,150,300,33,197.55800756620428,1414.9070116742748
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,8575.06361329255
Dawnborne Aethersand,Gathering,12937,4999,3401,5000,550,3389.4572368421054,90.4013184092281
Earth Cluster,Gathering,17,72,50,71,50,53.25761323700207,39430.93342173501
Earth Crystal,Gathering,11,75,75,70,85,72.99445319551866,84008.86607950657
Ferberite,Gathering,7588,1,1,430,44,61.53173241852487,173.36699864744696
Fire Cluster,Gathering,14,82,68,84,80,80.29404176193738,33423.9456572622
Fire Crystal,Gathering,8,98,98,99,197,100.86161535031516,211403.93386746224
Fire Shard,Gathering,2,85,78,85,85,81.3563188093826,121842.34359415084
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,196.26185894654
Gold Ore,Gathering,5118,55,50,60,180,130.8934832547455,2459.511622284222
Grenade Ash,Gathering,5526,149,80,300,123,246.89145793192037,462.9972117433594
Hardened Sap,Gathering,5532,322,220,225,220,250.41747038410912,12425.362918792762
Hardsilver Sand,Gathering,12532,500,100,150,240,195.262572135202,721.4037140084021
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,37503.97641120778
Ice Crystal,Gathering,9,80,70,80,92,74.15194756554307,95274.76234665384
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,145593.36296933432
Iron Ore,Gathering,5111,179,19,180,300,144.30030672658535,4168.691967134383
Kamacite Ore,Gathering,25008,,1371,2099,1500,1500,17.54420470407778
Lightning Cluster,Gathering,18,113,110,114,110,106.83080327329633,89499.29673940508
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,6553.767592675557
Mythrite Ore,Gathering,12534,300,299,292,292,390.7885419570672,2133.2398626328977
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1891.4836960672947
Native Gold,Gathering,7589,89,40,225,100,46.19230769230769,38.656225907279
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,326.79295307342596
Raziqsand,Gathering,7598,2500,798,1485,2000,787.8,2.9735406611524247
Scheelite,Gathering,7597,1394,1200,1000,1000,1362.2037037037037,256.9132570270886
Seventh Heaven,Gathering,12634,490,279,500,240,146.47908745247148,78.20371994977843
Silver Ore,Gathering,5113,330,12,600,340,303.71522819000313,3831.080398091656
Sphalerite,Gathering,13750,2999,899,2997,1555,1218.8260869565217,68.39073643992073
Titanium Ore,Gathering,12537,308,250,890,398,519.5484482350154,1255.1154313391587
Vivianite,Gathering,12224,300,114,396,215,276.8909934286819,1538.48632794583
Water Cluster,Gathering,19,55,40,57,45,40.91338076478313,75855.15245421919
Water Crystal,Gathering,13,99,90,98,500,98.6939595691067,152340.5313274404
Wind Cluster,Gathering,16,53,30,55,30,1668.3041465202743,68138.84139839382
Wind Crystal,Gathering,10,98,85,97,97,99.82848441242275,150842.24826914558
Walnut Lumber,Crafting,5371,499,99,500,501,545.6193353474321,295.26399116010475
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,82.95910784091177
Iron Nails,Crafting,7018,,190,443,70,69.8,29.734369940430202
Cobalt Ingot,Crafting,5059,999,695,1000,1299,1103.9592269965594,4062.0019438932172
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,101.69103210699798
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,340.15859880467775
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,42.817057443393345
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,8.028177859605428
Electrum Ingot,Crafting,5066,1199,785,1199,1199,943.0815939278938,313.39546584071127
Horn Glue,Crafting,5505,1399,500,2000,2450,1467.4887218045112,158.1840007010825
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,276.2266225552688
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,484.06432282563185
Varnish,Crafting,7017,1000,1000,999,1150,1294.8590909090908,392.48356344183213
Steel Rivets,Crafting,5093,998,249,998,998,740.453637660485,208.43201212647196
Steel Ingot,Crafting,5058,800,100,799,799,516.9366316502881,877.4340443229086
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,31.51737400428601
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,346.0954890704001
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,169.47929443256936
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,298.5206458536537
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,6499,4568.222222222223,2.675972880420622
Darksteel Nugget,Crafting,5061,2888,1600,1800,2500,2146.4332810047094,568.1967493910693
Cobalt Rivets,Crafting,5094,802,499,802,500,1306.28,74.3321865292372
Mythril Ingot,Crafting,5065,388,200,393,400,487.51937046004844,491.18574437112585
Rose Gold Nugget,Crafting,5068,500,500,1200,2002,1581.8808411214952,127.25603098245834
Linseed Oil,Crafting,5485,499,150,499,2000,592.5306718597858,305.35423566683744
Darksteel Ingot,Crafting,5060,6000,3995,5000,3999,3813.5412087912086,324.67962567756115
Natron,Crafting,5522,500,100,649,1400,785.8114406779661,140.33736047313587
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,17.542125654521996
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.7839404794361626
Garlond Steel,Crafting,12913,6582,4000,7990,7990,4452.1875,9.514324968393252
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2278.1639344262294,90.68317972487908
Mythrite Nugget,Crafting,12518,1450,900,2300,2000,1497.5261282660333,250.34440548814936
Oak Lumber,Crafting,5373,399,331,399,350,616.6248794599807,308.3212547033341
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,32.70516099934612
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,46.3817428603665
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,6.243679820665774
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,35.0834452929536
Void Glue,Crafting,5506,7399,3002,3102,10003,5064.125,23.785325392616976
Wolfram Ingot,Crafting,7607,5000,2500,4998,4998,4658.642857142857,37.461790759256004
Wyvern Leather,Crafting,12563,3998,1390,4000,4000,1834.534521158129,133.49445517327499
Boar Leather,Crafting,5282,299,149,298,900,842.9524647887324,168.87451056209113
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,24.676997967554982
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,280.0682591356241
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,19.622566137732367
Hippogryph Leather,Crafting,5288,900,175,1000,1000,668.2785714285715,41.62351729512295
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,41.326100593066414
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,224.17120484969485
Cotton Yarn,Crafting,5334,100,20,90,20,126.67829880043621,272.6319055429433
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,33.00116227877158
Mahogany Lumber,Crafting,5374,200,95,500,500,478.0646448523544,372.5256823272842
Rosewood Lumber,Crafting,5376,60,44,140,895,305.81159420289856,492.3391634536164
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,9.216470326389354
Silk Thread,Crafting,5338,790,281,500,1001,521.6202090592335,85.32645929335673
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,43.703683614435775
Yew Lumber,Crafting,5368,299,30,490,200,154.7417910447761,199.19315501049775
Celestine,Crafting,12912,,2929,2750,4994,4069.153846153846,3.864931793893092
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,38.9465205685024
Cobalt Plate,Crafting,5074,3100,100,3094,1702,1676.640326975477,109.10943871688113
Aurum Regis Nugget,Crafting,12522,3000,995,999,999,1136.5807799442896,213.46152155890223
Cassia Lumber,Crafting,12232,3199,3199,3200,3244,2621,1.486496941347901
Gold Ingot,Crafting,5069,4,1,304,7,39.31108312342569,236.05510653167212
Hardsilver Nugget,Crafting,12520,2000,500,1547,333,773.1830708661417,151.0273160359802
Larimar,Crafting,12541,,450,1500,1500,2422.853242320819,87.10805149722633
Basilisk Whetstone,Crafting,5262,999,499,200,291,612.2325581395348,115.05368770207969
Platinum Nugget,Crafting,9359,2400,999,2100,500,3784.769230769231,3.864842661679384
Titanium Ingot,Crafting,12525,,1500,1149,400,1921.584862385321,129.6205426057339
Titanium Nugget,Crafting,12524,2500,700,2499,1495,1273.3325991189427,134.97151063764318
Topaz,Crafting,5190,,4967,4200,3456,,
Dark Chestnut Lumber,Crafting,12581,499,499,498,997,890.019801980198,120.10619214847388
Adamantite Nugget,Crafting,12526,820,499,800,1499,851.832,111.48442490104168
