Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Black Alumen,Gathering,5525,280,45,288,38,60.74418604651163,46.63150218752879
Bomb Ash,Gathering,5528,400,199,499,175,283.38737695425596,468.2117483421383
Cobalt Ore,Gathering,5116,238,179,23,197,239.9666435826408,2348.9156358523783
Coerthan Tea Leaves,Gathering,12882,485,300,799,2000,523.7575757575758,134.20020339923354
Coke,Gathering,5530,178,140,179,179,182.2980060684872,2501.8113357119587
Copper Ore,Gathering,5106,248,4,200,75,68.67287977632805,290.90132360906216
Darksteel Ore,Gathering,5121,995,479,888,1000,627.5593103448276,786.2180017168134
Earth Cluster,Gathering,17,72,50,71,80,83.522462562396,651.746129468714
Earth Crystal,Gathering,11,75,54,70,50,72.51282484602675,14438.150164440303
Effervescent Water,Gathering,5491,100,100,100,201,60.83561643835616,19.790869250426763
Electrum Ore,Gathering,5115,287,200,201,201,251.72668174109666,959.1772356904223
Ferberite,Gathering,7588,10,1,60,60,54.869565217391305,6.235451010688002
Fire Cluster,Gathering,14,60,60,75,70,82.38925355794365,9334.177520054365
Fire Crystal,Gathering,8,100,70,99,90,92.33525955276257,144779.4589536638
Fire Shard,Gathering,2,85,74,84,96,81.05735515111037,6494.58422420865
Flax,Gathering,5346,375,125,350,360,370.0383141762452,70.75816686614398
Gelato Flesh,Gathering,12635,775,500,1000,1000,398.14285714285717,3.7954486319069063
Gold Ore,Gathering,5118,61,40,200,149,80.19646444355163,674.7750269205352
Hardened Sap,Gathering,5532,229,229,200,274,246.58820093457945,464.12704163581094
Ice Cluster,Gathering,15,39,13,59,100,64.55076174625528,4235.149617161525
Ice Crystal,Gathering,9,80,58,80,36,78.06185657431669,24727.39399751586
Ice Shard,Gathering,3,75,75,79,53,94.61938563211358,4430.322642425506
Iron Ore,Gathering,5111,179,20,180,170,121.82456140350877,772.6343538599888
Lightning Cluster,Gathering,18,99,80,99,110,112.647719585743,28454.275655604717
Mythril Ore,Gathering,5114,425,249,425,297,310.3702687877126,494.21218998186436
Mythrite Ore,Gathering,12534,300,250,292,500,372.013353115727,365.4396768311306
Mythrite Sand,Gathering,12531,299,150,298,230,236.91202719932002,637.8914069032624
Oak Log,Gathering,5390,240,174,200,50,,
Peacock Ore,Gathering,5119,380,180,381,290,342.28709288299154,449.47692204412914
Petrified Log,Gathering,7596,992,850,1600,2250,1005.0124223602485,43.64633058902755
Potash,Gathering,5501,278,278,279,279,326.7952380952381,113.85970442171634
Pudding Flesh,Gathering,5558,470,200,477,350,350,0.813281736133835
Raw Amber,Gathering,5143,400,201,400,850,673.6756756756756,50.15225877024975
Red Moko Grass,Gathering,12220,20,13,25,25,20.653658536585365,55.57399534726294
Rock Salt,Gathering,5518,99,1,99,5,,
Scarlet Sap,Gathering,7590,490,250,573,640,558.1748633879781,49.6097285231559
Scheelite,Gathering,7597,1394,1200,1000,1000,,
Silex,Gathering,5523,300,139,480,1401,,
Spruce Log,Gathering,5395,489,340,450,600,588.60219478738,395.24856807985117
Terebinth,Gathering,5728,333,145,333,145,189.76868829337096,192.20205132155388
Uraeus Skin,Gathering,5314,5897,3000,8000,1500,,
Vivianite,Gathering,12224,417,114,475,398,355.0202069985214,550.0369043006151
Water Crystal,Gathering,13,75,75,75,92,90.29739337326923,77021.79809375593
Water Shard,Gathering,7,80,68,70,76,92.38979692917286,3831.2648049141617
Wind Cluster,Gathering,16,50,29,60,165,55.91853433451794,18917.454164584724
Wind Crystal,Gathering,10,88,88,85,120,111.0185371057567,47264.52284932908
Wind Shard,Gathering,4,75,70,70,52,71.10472140039448,4398.076731229304
Wyvern Skin,Gathering,12569,900,200,999,999,,
Walnut Lumber,Crafting,5371,499,99,500,2000,1099.3333333333333,28.46375394823424
Spruce Lumber,Crafting,5378,2502,1500,2999,2000,3077.5106382978724,12.740887236761917
Iron Nails,Crafting,7018,,190,443,390,370.8333333333333,3.2529849864410383
Cobalt Ingot,Crafting,5059,,800,995,995,958.7945205479452,59.36684116704931
Cedar Lumber,Crafting,5366,500,500,250,250,555.6666666666666,10.572153166518122
Iron Ingot,Crafting,5057,150,60,1,225,390.1948051948052,20.873178191745563
Iron Rivets,Crafting,5092,700,71,670,670,462.423487544484,76.1733733389783
Mythril Plate,Crafting,5079,,395,2497,1789,1636.313432835821,18.162292694874797
