Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Black Alumen,Gathering,5525,280,50,288,56,182.4890768146582,442.15836696417836
Bomb Ash,Gathering,5528,400,199,499,295,320.56868336226137,5026.694756502594
Clear Glass Lens,Gathering,5512,189,54,200,90,137.62092391304347,229.33512145643058
Cobalt Ore,Gathering,5116,200,200,353,303,289.28749050217584,13532.913966307711
Coerthan Tea Leaves,Gathering,12882,500,250,799,424,1099.659574468085,336.8340843707364
Coke,Gathering,5530,213,168,213,120,215.87583260838517,23998.04048378205
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,688.6210789370882
Darksteel Ore,Gathering,5121,1598,450,888,708,707.6412499549988,8655.10270719487
Earth Cluster,Gathering,17,72,49,71,71,54.15423779287025,32436.371533961115
Earth Crystal,Gathering,11,67,67,70,77,72.99436171112688,84718.72110812894
Electrum Ore,Gathering,5115,293,200,293,195,264.9985930735931,2879.0909723327395
Ferberite,Gathering,7588,1,1,430,44,48.75132275132275,117.78068493459948
Fire Cluster,Gathering,14,81,70,84,84,80.96474873509516,28143.58623688787
Fire Crystal,Gathering,8,98,98,99,108,100.68221758158163,210531.21875856607
Fire Shard,Gathering,2,90,79,69,78,80.8500136110859,120183.58256638813
Flax,Gathering,5346,375,125,350,124,332.8616087109238,1774.1688675855498
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,205.64582411342334
Gold Ore,Gathering,5118,55,55,60,180,132.62747571590765,2469.9244240636667
Hardened Sap,Gathering,5532,220,219,224,280,251.7438920168912,12396.01467195077
Ice Cluster,Gathering,15,39,17,59,150,3081.746564545576,34985.993500095756
Ice Crystal,Gathering,9,79,53,80,120,73.98941513878258,94844.39650840944
Ice Shard,Gathering,3,84,64,140,78,93.76909145991027,139874.06031139957
Iron Ingot,Gathering,5057,150,60,1,125,413.10776255707765,341.1796527380794
Iron Ore,Gathering,5111,179,19,180,149,144.10623259798672,4364.28354107745
Lightning Cluster,Gathering,18,113,110,114,110,106.03216128453892,78201.38312965042
Mythril Ore,Gathering,5114,425,220,425,600,337.718989280245,6510.714732074716
Mythrite Ore,Gathering,12534,300,300,302,302,391.64974690663666,2215.930331479521
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1981.9312406102538
Oak Log,Gathering,5390,240,50,200,245,241.62884160756502,263.5921025713014
Peacock Ore,Gathering,5119,386,180,386,395,386.645492371706,1123.223353113584
Petrified Log,Gathering,7596,992,875,1600,1600,950.7539267015707,178.53124321829333
Potash,Gathering,5501,290,290,266,266,269.47730891719743,782.6689272168454
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,342.4167462988625
Raw Amber,Gathering,5143,499,435,145,500,363.38990825688074,1290.5243814689097
Red Moko Grass,Gathering,12220,20,13,18,19,36.9375,219.3449577281077
Scarlet Sap,Gathering,7590,699,650,788,749,801.6284779050736,380.7369716246649
Scheelite,Gathering,7597,1000,999,1600,1000,1385.0283911671925,197.53404522339153
Spruce Log,Gathering,5395,250,250,695,700,684.8025876800391,3828.8477519158323
Terebinth,Gathering,5728,333,145,333,101,224.35464535464536,311.8778171957221
Uraeus Skin,Gathering,5314,5898,3000,8000,1500,3446.1739130434785,28.664014688453147
Vivianite,Gathering,12224,300,115,396,396,315.8052009456265,1317.918027997107
Water Crystal,Gathering,13,98,95,100,143,99.03726854170932,143055.7301351091
Water Shard,Gathering,7,68,68,70,112,75.0223712217965,43911.675424013614
Wind Cluster,Gathering,16,53,30,55,30,1947.8596375634622,60999.490672451284
Wind Crystal,Gathering,10,98,86,99,143,99.30708373685839,156027.77688167855
Wind Shard,Gathering,4,75,70,75,77,75.03595531223941,60153.68416385304
Wyvern Skin,Gathering,12569,2,2,399,250,465.9049815498155,337.7293717293511
Walnut Lumber,Crafting,5371,499,99,500,501,545.6193353474321,309.3767334515404
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,86.92434890168184
Iron Nails,Crafting,7018,,190,443,70,69.8,31.155597791084876
Cobalt Ingot,Crafting,5059,999,800,1000,1000,1095.4915320992516,3955.1926063447168
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,106.55158015151412
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,44.86370276897013
Mythril Plate,Crafting,5079,1485,395,3495,1493,1977.6190476190477,6.542605988107906
Electrum Ingot,Crafting,5066,1199,785,1199,1199,943.9753086419753,328.06402768364796
Horn Glue,Crafting,5505,1399,500,2000,998,1423.8464646464647,154.21771693948207
Mythril Rivets,Crafting,5099,899,500,899,1000,550.2909482758621,289.1184944825
Rose Gold Ingot,Crafting,5067,230,83,301,97,289.70603848706037,469.504765817099
Varnish,Crafting,7017,1000,1000,999,1050,1302.9290573372207,320.58336614273503
Steel Rivets,Crafting,5093,1200,249,900,600,784.8512,194.7171763864949
Steel Ingot,Crafting,5058,799,100,666,1850,526.4921274258513,850.833889797466
Cobalt Joint Plate,Crafting,7023,1340,499,1285,1150,405.75471698113205,33.023856658430105
