Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aqueous Whetstone,Gathering,5261,441,274,449,350,285.68454545454546,2550.786079395889
Bomb Ash,Gathering,5528,400,199,499,220,298.92059785147126,3309.831194660459
Cedar Log,Gathering,5384,263,224,264,264,344.1607295525791,904.1081014194395
Cobalt Ore,Gathering,5116,200,200,200,292,281.5307930304511,7911.2508571481585
Coke,Gathering,5530,213,150,213,223,211.39510576336997,11413.251029575424
Copper Ore,Gathering,5106,248,4,200,17,39.49376558603491,413.27439805383653
Darksteel Ore,Gathering,5121,995,696,888,727,704.2452882948381,4607.072234678867
Earth Cluster,Gathering,17,72,50,71,50,53.609678929139754,27524.884838972517
Fire Cluster,Gathering,14,82,68,84,82,75.58335804034229,25201.589417730676
Fire Crystal,Gathering,8,98,98,99,192,103.69280160909759,133220.5935930308
Fire Shard,Gathering,2,85,78,84,84,80.74634562576601,83036.60090447619
Flax,Gathering,5346,375,125,350,124,329.44742567077594,1065.8940082948832
Gelato Flesh,Gathering,12635,2,2,1002,700,792.5775862068965,59.774443073091135
Gold Ore,Gathering,5118,55,45,60,180,135.2108223134215,1695.065543760338
Holy Water,Gathering,12604,2744,1200,1000,1000,1927.9761904761904,21.64237628525284
Ice Cluster,Gathering,15,39,13,59,84,3351.956214702948,26597.132969830862
Ice Shard,Gathering,3,84,65,84,98,93.31263060102278,92350.44600659395
Iron Ore,Gathering,5111,179,9,180,300,156.0537685572897,2707.340423369931
Mythril Ore,Gathering,5114,425,249,425,250,324.1115792082275,4158.649092876628
Mythrite Ore,Gathering,12534,300,299,292,292,396.8272486772487,973.8962555336605
Mythrite Sand,Gathering,12531,299,200,298,298,293.3782812931749,932.4127472599747
Peacock Ore,Gathering,5119,386,180,386,425,375.6617008069522,830.126366403299
Petrified Log,Gathering,7596,992,875,1600,932,927.0458553791888,146.08337110181995
Pudding Flesh,Gathering,5558,470,200,477,400,454.1089258698941,170.30141339912475
Raw Amber,Gathering,5143,400,201,400,400,402.9251572327044,819.3000640004931
Raw Celestine,Gathering,12223,15,10,28,75,37.503,257.64096975886963
Scarlet Sap,Gathering,7590,691,650,3001,3001,810.9346557759627,220.79782951439867
Spruce Log,Gathering,5395,661,600,663,663,697.6260252715584,2324.4265861157487
Terebinth,Gathering,5728,333,145,333,145,182.14145810663766,236.77046820420074
Vivianite,Gathering,12224,298,114,396,215,216.07783105864993,698.4584614292335
Walnut Log,Gathering,5388,329,249,329,540,373.3720487433359,676.557710834958
Water Crystal,Gathering,13,99,99,98,96,99.93326508360592,92863.14314073982
Water Shard,Gathering,7,80,68,70,69,78.5640506839031,28140.660385149306
Wind Cluster,Gathering,16,53,30,55,30,1830.6052747737806,53698.137019983646
Wind Crystal,Gathering,10,98,85,97,90,104.44176126572748,97181.809332833
Wind Shard,Gathering,4,80,73,75,75,78.59073248361983,35939.616414876386
Walnut Lumber,Crafting,5371,499,99,500,300,538.925877763329,198.12115782728142
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1924.3470588235293,43.797819321164006
Iron Nails,Crafting,7018,,190,443,70,69.8,25.763367356906944
Cobalt Ingot,Crafting,5059,999,695,1000,1098,1109.857624831309,3436.310596116163
Cedar Lumber,Crafting,5366,250,250,900,777,1599.9375,53.587573833148575
Iron Ingot,Crafting,5057,150,60,1,600,331.8573085846868,222.0787907839017
Iron Rivets,Crafting,5092,25,25,29,180,258.125,4.122103278353807
Mythril Plate,Crafting,5079,1485,395,3495,3888,2729.9333333333334,3.8644632422057072
Electrum Ingot,Crafting,5066,1199,785,1199,5250,911.4066496163683,201.46691377115937
Horn Glue,Crafting,5505,1399,850,2000,4995,1546.367816091954,89.65516231274403
