Item Name,Category,Item ID,minListing_world,minListing_dc,recentPurchase_world,recentPurchase_dc,averageSalePrice_dc,dailySaleVelocity_dc
Aqueous Whetstone,Gathering,5261,441,274,449,350,284.97930514630303,4427.17920494873
Bomb Ash,Gathering,5528,400,199,499,220,311.3429499971492,5320.913798462361
Cedar Log,Gathering,5384,263,224,264,264,348.66426642664266,1348.198726823299
Cobalt Ore,Gathering,5116,200,200,200,292,289.10588769143504,13371.220088987997
Cobalt Plate,Gathering,5074,3100,100,3094,1702,1676.640326975477,111.3380552243122
Coke,Gathering,5530,213,168,213,120,215.87583260838517,23364.851319366757
Copper Ore,Gathering,5106,248,4,200,17,49.66968325791855,670.4518175660659
Darksteel Ore,Gathering,5121,995,696,888,727,707.1316410043001,8748.009016718488
Earth Cluster,Gathering,17,72,49,71,71,54.15423779287025,31580.518411762074
Fire Cluster,Gathering,14,82,70,84,84,80.96474873509516,27401.221049714168
Fire Crystal,Gathering,8,98,98,99,99,99.92737859034206,210235.8668316115
Fire Shard,Gathering,2,90,78,69,85,81.33124783443138,123451.53864542523
Flax,Gathering,5346,375,125,350,124,332.8856541564363,1729.7981755198903
Gelato Flesh,Gathering,12635,2,2,1002,700,658.0909090909091,200.22165093357964
Gold Ore,Gathering,5118,55,50,60,180,132.97876617665537,2414.4849012450763
Holy Water,Gathering,12604,2744,1200,1000,1000,2032.3765432098764,49.145061931869826
Ice Cluster,Gathering,15,39,13,59,84,2747.971257988297,38260.84866538024
Ice Shard,Gathering,3,84,65,84,98,93.4474079792818,148531.9855953279
Iron Ore,Gathering,5111,179,19,180,300,144.30030672658535,4252.834911329732
Mythril Ore,Gathering,5114,425,249,425,250,332.44088021778583,6686.084999929902
Mythrite Ore,Gathering,12534,300,300,302,302,391.64974690663666,2157.5006977039943
Mythrite Sand,Gathering,12531,299,200,298,298,319.6791385002358,1929.6718928120265
Peacock Ore,Gathering,5119,386,180,386,395,386.645492371706,1093.6093721133711
Petrified Log,Gathering,7596,992,875,1600,932,945.9377431906614,233.88922025863562
Pudding Flesh,Gathering,5558,470,200,477,400,407.7270245677889,333.3898722099808
Raw Amber,Gathering,5143,400,201,400,400,368.0735230702889,1406.9684180351992
Raw Celestine,Gathering,12223,17,10,28,75,29.675850340136055,891.8664066561065
Scarlet Sap,Gathering,7590,699,650,788,749,801.6284779050736,370.69998040129497
Spruce Log,Gathering,5395,250,250,695,830,689.051737756714,3840.46623302134
Terebinth,Gathering,5728,333,145,333,1,223.68725099601593,304.5669943172603
Vivianite,Gathering,12224,300,114,396,215,276.8909934286819,1569.5473907485539
Walnut Log,Gathering,5388,329,249,329,540,360.5289974172341,1291.9762550556995
Water Crystal,Gathering,13,99,90,98,98,98.12520939025558,152117.30031137168
Water Shard,Gathering,7,80,71,70,69,74.69238798829399,48822.13177457174
Wind Cluster,Gathering,16,53,30,55,30,1947.8596375634622,59391.61957820497
Wind Crystal,Gathering,10,98,86,97,97,99.71951332721042,153584.03610185496
Wind Shard,Gathering,4,75,73,75,70,75.06615497076024,63906.955342731846
Walnut Lumber,Crafting,5371,499,99,500,501,545.6193353474321,301.2238986116087
Spruce Lumber,Crafting,5378,3002,1800,2995,1595,1829.5304659498208,84.63368321127071
Iron Nails,Crafting,7018,,190,443,70,69.8,30.33457517658173
Cobalt Ingot,Crafting,5059,999,695,1000,1299,1099.566651291513,3945.9114604459214
Cedar Lumber,Crafting,5366,250,250,900,777,1513.5380116959063,103.74371581859626
Iron Ingot,Crafting,5057,150,60,1,600,431.2019230769231,347.02478723055407
Iron Rivets,Crafting,5092,25,25,29,180,298.43055555555554,43.68131945500033
Mythril Plate,Crafting,5079,1485,395,3495,3888,2402.1481481481483,8.190226139636035
Electrum Ingot,Crafting,5066,1199,785,1199,1199,943.0815939278938,319.7213336466701
Horn Glue,Crafting,5505,1399,500,2000,2450,1455.9765166340508,155.00680965822303
Mythril Rivets,Crafting,5099,899,500,899,450,550.1829924650161,281.80224976546697
Rose Gold Ingot,Crafting,5067,230,90,222,90,275.97972972972974,493.8351766690161
Varnish,Crafting,7017,1000,1000,999,1050,1295.9648854961831,397.37249546254554
Steel Rivets,Crafting,5093,1200,249,900,281,736.7264833574529,209.6058667441678
Steel Ingot,Crafting,5058,800,100,799,799,516.9366316502881,895.145178712738
Cobalt Joint Plate,Crafting,7023,1340,200,1285,1150,405.75471698113205,32.153555836168216
Steel Joint Plate,Crafting,7022,1199,450,799,1200,134.7414089347079,353.08153424410375
Ancient Lumber,Crafting,7606,9500,3999,9000,3998,4208.508771929824,172.90029745873235
Silver Ingot,Crafting,5064,588,449,599,599,981.3057768924302,304.54639181921596
Treated Spruce Lumber,Crafting,5379,6000,1984,7000,7000,4152.5,1.8199936832538133
Darksteel Nugget,Crafting,5061,2888,1600,1800,3000,2161.253623188406,544.1767256423153
Cobalt Rivets,Crafting,5094,802,499,802,500,1306.28,75.83268518812996
Mythril Ingot,Crafting,5065,388,200,393,400,479.96056884292176,469.2514295526801
Rose Gold Nugget,Crafting,5068,500,500,1200,2002,1581.8808411214952,129.82487234000394
Linseed Oil,Crafting,5485,499,150,499,2000,592.5306718597858,311.518225921578
Darksteel Ingot,Crafting,5060,6000,3995,5000,3000,3812.51197053407,329.4137464523831
Natron,Crafting,5522,500,100,649,1400,785.8114406779661,143.17024850966473
Darksteel Rivets,Crafting,5095,1897,1897,1899,1996,1977.7627118644068,17.896235526893427
Farreach Canvas,Crafting,12231,779,499,299,499,435.3333333333333,1.8199513001611078
Garlond Steel,Crafting,12913,6582,4000,7990,7990,4452.1875,9.706381539266703
Mythrite Ingot,Crafting,12519,3100,1000,2999,1989,2278.1639344262294,92.51370667154433
Mythrite Nugget,Crafting,12518,1450,975,1199,2000,1496.6545209176788,224.7622332232866
Oak Lumber,Crafting,5373,399,331,399,350,616.6248794599807,314.5449693801335
Steel Nails,Crafting,7019,249,90,249,249,255.83636363636364,33.36534102037214
Steel Plate,Crafting,5073,1101,301,1000,1200,658.8205128205128,47.31799690585914
Darksteel Plate,Crafting,5075,2999,2500,8999,2000,6280.714285714285,6.369713860162114
Uraeus Leather,Crafting,5287,10000,9999,14998,12000,11560.57627118644,35.79163442611355
Void Glue,Crafting,5506,7399,3002,3102,10003,5064.125,24.265453124227484
Wolfram Ingot,Crafting,7607,5000,2500,5000,5000,4655.928,37.91467263920215
Wyvern Leather,Crafting,12563,3998,1390,4000,1500,1824.8456375838925,135.58252401092508
Boar Leather,Crafting,5282,299,149,298,900,842.9524647887324,172.28338624125922
Bronze Rivets,Crafting,5091,60,17,93,129,108.144578313253,25.175148550596376
Bronze Ingot,Crafting,5056,1,1,100,749,73.45753715498938,285.72203559290165
Hard Hippogryph Leather,Crafting,5289,98,98,650,1000,574.8484848484849,20.018685844430006
Hippogryph Leather,Crafting,5288,900,175,1000,1000,668.2785714285715,42.46377066243497
Linen Canvas,Crafting,7026,198,91,150,2400,1933.294964028777,42.16034971967031
Linen Yarn,Crafting,5336,157,46,990,399,191.0344827586207,228.69655848477225
Cotton Yarn,Crafting,5334,100,20,90,20,117.52646239554318,217.77679890990413
Beeswax,Crafting,5515,700,14,250,20,49.531531531531535,33.66735743271526
Mahogany Lumber,Crafting,5374,201,95,500,500,478.0646448523544,380.0458399969591
Rosewood Lumber,Crafting,5376,60,44,140,895,305.81159420289856,502.27796637680825
Saurian Leather,Crafting,7608,2500,200,1000,1890,1927.6451612903227,9.402521604728577
Silk Thread,Crafting,5338,790,281,500,1001,521.6202090592335,87.0489240048317
Vanya Silk,Crafting,5330,1990,900,700,1000,1347.3809523809523,44.58591971161744
Yew Lumber,Crafting,5368,299,30,490,200,156.62305295950156,194.7216773594171
Celestine,Crafting,12912,,2929,2750,4994,4069.153846153846,3.9429522002078095
Holy Cedar Lumber,Crafting,12580,3500,600,2098,2400,4388.374045801526,39.73272435997998
