Ingredient,Total Quantity,Method,Location Info
Aldgoat Horn,72.0,drop,"Eastern Thanalan ( 18.2 / 22.7 ), Dropped by Myotragus Billy"
Bomb Ash,582.0,normal,Southern Thanalan ( 22.2 / 29.9 )
Cedar Log,90.0,normal,Coerthas Western Highlands ( 31.3 / 32.1 )
Cobalt Ore,900.0,normal,Northern Thanalan ( 23.1 / 24.2 )
Coke,810.0,gc seals,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Copper Ore,84.0,npc,Purchased from BSM/ARM Guild Vendor Outside
Darksteel Ore,666.0,timed node,"Coerthas Central Highlands ( 27.5 / 20.0 ), Timed at 1:00am"
Electrum Ore,312.0,normal,Upper La Noscea ( 30.4 / 25.4 )
Fire Cluster,90.0,,
Fire Crystal,666.0,,
Fire Shard,6156.0,,
Flax,72.0,normal,South Shroud ( 17.6 / 28.6 )
Gold Ore,252.0,timed node,"Eastern Thanalan ( 27.3 / 21.3 ), Timed at 10:00am"
Hardened Sap,216.0,gc seals,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Ice Cluster,36.0,,
Ice Shard,1044.0,,
Iron Ore,2082.0,npc,"Nowhere ( 0.0 / 0.0 ), Purchased from BSM/ARM Guild Vendor Outside"
Mythril Ore,684.0,normal,Southern Thanalan ( 25.2 / 39.9 )
Peacock Ore,378.0,gc seals,"Nowhere ( 0.0 / 0.0 ), Sold for 200 GC Seals"
Petrified Log,36.0,gc seals,"Nowhere ( 0.0 / 0.0 ), Sold for 1500 GC Seals"
Raw Amber,72.0,normal,Eastern Thanalan ( 12.7 / 19.1 )
Scarlet Sap,36.0,timed node,"North Shroud ( 17.7 / 27.7 ), Timed at 1:00am"
Silver Ore,360.0,normal,South Shroud ( 16.1 / 19.7 )
Spruce Log,252.0,timed node,"Coerthas Central Highlands ( 29.5 / 13.1 ), Timed at 10:00am"
Terebinth,36.0,npc,"Nowhere ( 0.0 / 0.0 ), Sold by Main City NPCs"
Walnut Log,108.0,normal,South Shroud ( 23.1 / 21.6 )
Water Shard,396.0,,
Wind Cluster,138.0,,
Wind Crystal,558.0,,
Wind Shard,702.0,,
